
[00:00:00.000 --> 00:00:02.920]  各位主內的弟兄姊妹你們好
[00:00:02.920 --> 00:00:06.640]  多謝你們邀請我來港島
[00:00:06.640 --> 00:00:12.320]  我很有心在這個時間跟大家分享一些
[00:00:12.320 --> 00:00:14.600]  是從《聖經》裏面的領受
[00:00:14.600 --> 00:00:19.080]  來到怎樣去回應現在全球的逆境
[00:00:19.080 --> 00:00:20.680]  不只是香港
[00:00:20.680 --> 00:00:25.160]  所以我選了一個題目叫做《逆境中前行》
[00:00:25.160 --> 00:00:27.080]  《逆境中前行》最重要是什麼呢?
[00:00:27.080 --> 00:00:28.680]  我看回《聖經》的指引
[00:00:28.680 --> 00:00:32.840]  最重要有信心、有盼望、有愛心
[00:00:32.840 --> 00:00:35.040]  所以我選了這個作為題目
[00:00:35.040 --> 00:00:40.920]  我的PowerPoint第一段是講全球的逆境
[00:00:40.920 --> 00:00:44.320]  這個全球逆境我想在過去這麼多年
[00:00:44.320 --> 00:00:46.760]  都未試過這麼嚴重
[00:00:46.760 --> 00:00:49.640]  因為現在這個COVID-19
[00:00:49.640 --> 00:00:53.800]  特別那些發達國家因為它不喜歡戴口罩
[00:00:53.800 --> 00:00:57.120]  譬如英國、美國、歐洲那些
[00:00:57.120 --> 00:00:58.760]  嘩!疫情很厲害
[00:00:58.760 --> 00:01:01.320]  我都追不到它現在死了多少人
[00:01:01.320 --> 00:01:05.520]  所以這個新型冠狀病毒影響很厲害
[00:01:05.520 --> 00:01:07.640]  香港已經算是控制得好
[00:01:07.640 --> 00:01:11.600]  不過袁國勇弟兄他都說叫我們要收緊一點
[00:01:11.600 --> 00:01:14.080]  第二就猜不到這個疫情是什麼呢?
[00:01:14.080 --> 00:01:16.880]  是一個政治的角力
[00:01:16.880 --> 00:01:19.720]  現在全世界的那些列強
[00:01:19.720 --> 00:01:24.160]  都是很想爭做全世界的第一位
[00:01:24.160 --> 00:01:28.120]  所以它其中一個對象都是有針對
[00:01:28.120 --> 00:01:32.600]  我們中國內地和我們香港的
[00:01:32.600 --> 00:01:35.280]  所以這個就出現了兩種現象
[00:01:35.280 --> 00:01:38.440]  一種叫霸權一種叫極權
[00:01:38.440 --> 00:01:42.320]  霸權就是你知道它講了就算了
[00:01:42.320 --> 00:01:45.680]  所以這個是令到全球在管治上
[00:01:45.680 --> 00:01:49.000]  都出現了一個前所未見的一個危機
[00:01:49.000 --> 00:01:51.680]  有個哈佛的教授說
[00:01:51.680 --> 00:01:54.720]  Political development and political decay
[00:01:54.720 --> 00:01:57.160]  就是全世界不斷發展
[00:01:57.160 --> 00:02:02.040]  但是發覺現在原來是外制不停 decay
[00:02:02.040 --> 00:02:04.800]  所以我們發覺多了一個政治的逆境
[00:02:04.800 --> 00:02:09.000]  當然香港的政治空間都收縮了
