
[00:00:00.000 --> 00:00:03.500]  弟兄姊妹,平安,我們一起祈禱
[00:00:03.500 --> 00:00:06.600]  沙爹,我們感謝祢的恩典
[00:00:06.600 --> 00:00:11.400]  雖然這個世界有疫情,但我們在祢的裏面又平安
[00:00:11.400 --> 00:00:15.700]  我們還可以在星期日的早晨來聚集敬拜祢
[00:00:15.700 --> 00:00:18.600]  讚美祢,和思想祢的話
[00:00:18.600 --> 00:00:21.800]  來求聖靈帶領我們以下的時間
[00:00:21.800 --> 00:00:26.300]  幫助我們明白祢的說話,並且能夠活出祢的教導
[00:00:26.300 --> 00:00:29.100]  奉主耶穌基督的名,祈禱,阿門
[00:00:31.000 --> 00:00:37.500]  今天是十二月五日,2021年很快就要過去了
[00:00:37.500 --> 00:00:42.000]  今年全球都經歷了很多事
[00:00:42.000 --> 00:00:46.000]  大部分都是和新冠有關
[00:00:46.000 --> 00:00:52.000]  而我們所住的地方,就封城差不多三個多月
[00:00:52.000 --> 00:00:56.000]  很多人的生活都受到了影響
[00:00:56.000 --> 00:00:59.500]  我們的生活習慣都有所改變
[00:00:59.500 --> 00:01:04.500]  例如我們更加注意時時洗手,戴口罩
[00:01:04.500 --> 00:01:11.500]  在封城期間,很多人的情緒都受到了影響
[00:01:11.500 --> 00:01:13.500]  比較鬱悶
[00:01:13.500 --> 00:01:21.500]  但隨著十二月的到來,很多人的心情又回復到比較開心
[00:01:21.500 --> 00:01:27.500]  現在去到街上,很多人都準備買聖誕禮物
[00:01:27.500 --> 00:01:31.500]  在市中心還砌了一棵大聖誕樹
[00:01:31.500 --> 00:01:37.500]  由於聖誕節臨近,我們會從約翰一書
[00:01:37.500 --> 00:01:42.500]  去思想耶穌帶來給信徒的意義
[00:01:42.500 --> 00:01:45.500]  今次我們會看三個主題
[00:01:45.500 --> 00:01:49.500]  英文就用了三個L來開始
[00:01:49.500 --> 00:01:52.500]  Life, Light, Love
[00:01:52.500 --> 00:01:57.500]  中文來說,我們的主題是「神就是生命」
[00:01:57.500 --> 00:02:03.500]  「神就是光」和「神就是愛」
[00:02:03.500 --> 00:02:08.500]  今天第一講是「神就是生命」
[00:02:08.500 --> 00:02:13.500]  或者給我簡單介紹一下約翰一書
[00:02:13.500 --> 00:02:15.500]  這本書一開始就說
[00:02:15.500 --> 00:02:20.500]  「論道從起初原有的生命之讀」
[00:02:20.500 --> 00:02:25.500]  沒有介紹究竟誰是作者
[00:02:25.500 --> 00:02:32.500]  不過傳統上我們都相信作者是仕途約翰
[00:02:32.500 --> 00:02:37.500]  這本書大概是寫在主後九十年以後
[00:02:37.500 --> 00:02:40.500]  在約翰晚年的作品
[00:02:40.500 --> 00:02:45.500]  我們知道耶路撒冷城在主後七十年
[00:02:45.500 --> 00:02:49.500]  被羅馬的提多將軍攻陷
[00:02:49.500 --> 00:02:54.500]  魯約翰在小亞西亞爾弗所一帶
