
[00:00:00.000 --> 00:00:05.000]  今日我們去了解一段經文
[00:00:05.000 --> 00:00:07.000]  剛才主席和我們一起讀出
[00:00:07.000 --> 00:00:11.000]  透過阿伯蘭的遭遇
[00:00:11.000 --> 00:00:12.000]  其實可以這樣說
[00:00:12.000 --> 00:00:16.000]  其實就是神在阿伯蘭身上的工作
[00:00:16.000 --> 00:00:20.000]  去令到這個世界改變
[00:00:20.000 --> 00:00:23.000]  令到這個世界不再一樣
[00:00:23.000 --> 00:00:27.000]  我們一起去了解到神自己的救贖的作為
[00:00:27.000 --> 00:00:32.000]  神揀選阿伯蘭的背後
[00:00:32.000 --> 00:00:35.000]  其實有一個特別的背景
[00:00:35.000 --> 00:00:38.000]  在創世紀第十二章之前的那一章聖經
[00:00:38.000 --> 00:00:40.000]  就講到一件事情
[00:00:40.000 --> 00:00:42.000]  一件巴別塔的事情
[00:00:42.000 --> 00:00:45.000]  當時的人圍聚在一起
[00:00:45.000 --> 00:00:49.000]  他們希望做一個塔能夠通天
[00:00:49.000 --> 00:00:52.000]  那些人也不會分散在地上
[00:00:52.000 --> 00:00:54.000]  他們希望能夠傳揚自己的名
[00:00:54.000 --> 00:00:56.000]  說人很驕傲
[00:00:56.000 --> 00:00:58.000]  當時令到神很不高興
[00:00:58.000 --> 00:01:01.000]  於是就令到全地的人
[00:01:01.000 --> 00:01:04.000]  變亂了口音
[00:01:04.000 --> 00:01:07.000]  亦都令他們不能夠一起合作
[00:01:07.000 --> 00:01:09.000]  分散在全地上
[00:01:09.000 --> 00:01:12.000]  相信在那時候開始
[00:01:12.000 --> 00:01:14.000]  就變成了今天
[00:01:14.000 --> 00:01:15.000]  人和其他人之間
[00:01:15.000 --> 00:01:17.000]  我們叫做雞同鴨講
[00:01:17.000 --> 00:01:19.000]  有不同的語言
[00:01:19.000 --> 00:01:21.000]  有不同的種族
[00:01:21.000 --> 00:01:22.000]  不同的地方
[00:01:22.000 --> 00:01:24.000]  不同的文化和習慣
[00:01:24.000 --> 00:01:25.000]  在那時候開始
[00:01:25.000 --> 00:01:26.000]  亦都在那時候
