
[00:00:00.000 --> 00:00:04.640]  頂姐妹,這個時代有很多我們未知之數
[00:00:04.640 --> 00:00:08.360]  這個時代有很多事情我們無法控制
[00:00:08.360 --> 00:00:10.800]  也可能大家用人的角度來看
[00:00:10.800 --> 00:00:13.280]  很多黑暗、很多沮喪
[00:00:13.280 --> 00:00:17.440]  但是很多人在這段日子裡不斷地說
[00:00:17.440 --> 00:00:19.640]  這個時代最需要什麼呢?
[00:00:19.640 --> 00:00:21.200]  是信心
[00:00:21.200 --> 00:00:22.640]  只要你帶領我們
[00:00:22.640 --> 00:00:24.920]  等候你的必從心得利
[00:00:24.920 --> 00:00:27.760]  今天我們頂姐妹在不同的地方
[00:00:27.760 --> 00:00:29.080]  我們一起去敬拜你
[00:00:29.080 --> 00:00:30.800]  一起聽主你的說話
[00:00:30.800 --> 00:00:33.080]  讓真正的靈來到我們當中
[00:00:33.080 --> 00:00:36.720]  教曉我們明白並且信服你
[00:00:36.720 --> 00:00:38.280]  跟隨你的心意而行
[00:00:38.280 --> 00:00:40.600]  以至主你的靈繼續去挑冠
[00:00:40.600 --> 00:00:41.880]  主你的愛
[00:00:41.880 --> 00:00:43.480]  這份恩典在我們當中
[00:00:43.480 --> 00:00:44.480]  我們奉耶穌基督的名
[00:00:44.480 --> 00:00:46.200]  吩咐一切驕傲、心硬的
[00:00:46.200 --> 00:00:47.240]  都要離開我們頂姐妹
[00:00:47.240 --> 00:00:49.760]  一切黑暗、世事難阻我們親近你的
[00:00:49.760 --> 00:00:51.680]  都要離開我們頂姐妹的生命
[00:00:51.680 --> 00:00:54.880]  最後帶領我們進到你更深的寺院裡
[00:00:54.880 --> 00:00:56.440]  明白你的心
[00:00:56.440 --> 00:00:57.640]  知道你的心意
[00:00:57.640 --> 00:00:59.760]  請我們多謝你聽我們的禱告
[00:00:59.760 --> 00:01:01.480]  奉耶穌基督的聖名
[00:01:01.480 --> 00:01:02.480]  Amen
[00:01:28.040 --> 00:01:29.920]  是最大的冒險
[00:01:29.920 --> 00:01:30.840]  也有人說
[00:01:30.840 --> 00:01:32.760]  更加豐富的想像力
[00:01:32.760 --> 00:01:34.360]  你去朝鮮
[00:01:34.360 --> 00:01:36.520]  走去金正恩的面前
[00:01:36.520 --> 00:01:38.080]  用韓文跟他說
[00:01:38.080 --> 00:01:39.240]  死肥仔
[00:01:39.240 --> 00:01:41.000]  是最大的冒險
