
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹們,平安。
[00:00:02.000 --> 00:00:09.000]  如果我問你,今天有什麼值得感恩,我不知道你會想起什麼。
[00:00:09.000 --> 00:00:13.000]  或者我邀請你,回答一下你身邊的肢體。
[00:00:13.000 --> 00:00:15.000]  不如說一句,為你感恩好不好?
[00:00:15.000 --> 00:00:18.000]  為你感恩。我們有很多值得感恩的事。
[00:00:18.000 --> 00:00:26.000]  都歡迎大家回來教會,跟我們同敬拜神。
[00:00:26.000 --> 00:00:29.000]  如果是新朋友的話,我更加感謝你選擇了我們的教會。
[00:00:29.000 --> 00:00:33.000]  今天讓你進入到神的同在當中。
[00:00:33.000 --> 00:00:38.000]  今天請聽我讀出崇拜信息裡面的經文。
[00:00:38.000 --> 00:00:43.000]  經文是希伯來書第十一章第六至十六節。
[00:00:43.000 --> 00:00:48.000]  希伯來書第十一章第六至十六節。
[00:00:48.000 --> 00:00:50.000]  請聽我讀出。
[00:00:50.000 --> 00:00:55.000]  人非有信,則不能得神的喜悅。
[00:00:55.000 --> 00:00:59.000]  想到神面前來的人必須信有神,
[00:00:59.000 --> 00:01:03.000]  且信他想似那尋求他的人。
[00:01:03.000 --> 00:01:05.000]  羅亞恩爵信:
[00:01:05.000 --> 00:01:09.000]  既夢神指示他未見的事,
[00:01:09.000 --> 00:01:11.000]  動了敬畏的心,
[00:01:11.000 --> 00:01:14.000]  預備了一隻方舟使他全家得救,
[00:01:14.000 --> 00:01:18.000]  因此就定了那世代的罪,
[00:01:18.000 --> 00:01:22.000]  自己也承受了那從信而來的疑。
[00:01:22.000 --> 00:01:25.000]  阿伯拉罕恩爵信:
[00:01:25.000 --> 00:01:28.000]  夢召的時候就遵命出去,
[00:01:28.000 --> 00:01:32.000]  往將來要得為業的地方去,
[00:01:32.000 --> 00:01:36.000]  出去的時候還不知往哪裡去。
[00:01:36.000 --> 00:01:38.000]  他恩爵信:
[00:01:38.000 --> 00:01:41.000]  就在所應許之地作客,
[00:01:41.000 --> 00:01:45.000]  好像在異地居住帳篷,
[00:01:45.000 --> 00:01:50.000]  與那同夢一個應許的以撒雅閣一樣,
[00:01:50.000 --> 00:01:54.000]  因為他等候那座有根基的城,
[00:01:54.000 --> 00:01:58.000]  就是神所經營所建造的。
