
[00:00:00.000 --> 00:00:04.500]  請大家打開剛才主席和我們一起讀的經文
[00:00:04.500 --> 00:00:10.000]  是《馬太福音》第十五章二十一至二十八節
[00:00:10.000 --> 00:00:11.500]  在大家的聖經
[00:00:11.500 --> 00:00:14.000]  台湧聖經一千四百七十九頁
[00:00:14.000 --> 00:00:16.000]  一四七九
[00:00:16.000 --> 00:00:26.500]  大家找到的時候
[00:00:26.500 --> 00:00:27.500]  請聽我讀
[00:00:27.500 --> 00:00:31.000]  我想大家讀的時候
[00:00:31.000 --> 00:00:35.000]  放一些想像力進去
[00:00:35.000 --> 00:00:36.500]  放一些想像力的時候
[00:00:36.500 --> 00:00:41.000]  自己投身進去這個故事裡面
[00:00:41.000 --> 00:00:45.500]  想像你是其中一個門徒
[00:00:45.500 --> 00:00:48.500]  你和主耶穌一起去到一個地方
[00:00:48.500 --> 00:00:50.000]  打算休息
[00:00:50.000 --> 00:00:53.500]  誰知道忽然間發生一件這樣的事
[00:00:53.500 --> 00:00:57.500]  耶穌離開那裡去到推羅西頓境內
[00:00:57.500 --> 00:01:01.000]  有一個迦南的婦人從那個地區出來
[00:01:01.000 --> 00:01:05.000]  哭著說主下大位的子孫可憐我了
[00:01:05.000 --> 00:01:08.000]  我的女兒被鬼撫得很苦
[00:01:08.000 --> 00:01:10.000]  你是一個門徒
[00:01:10.000 --> 00:01:14.000]  當時當然要看看主耶穌的反應
[00:01:14.000 --> 00:01:18.000]  你看到什麼呢
[00:01:18.000 --> 00:01:21.000]  耶穌一句話都不回答
[00:01:21.000 --> 00:01:24.000]  於是當你是其中一個門徒的時候
[00:01:24.000 --> 00:01:29.000]  請你叫祂離開
[00:01:29.000 --> 00:01:31.000]  祂一直跟著我們在後面
[00:01:31.000 --> 00:01:33.000]  在那裡喊叫
[00:01:33.000 --> 00:01:34.000]  什麼意思呢
[00:01:34.000 --> 00:01:37.000]  在那裡煩著我們很吵
[00:01:37.000 --> 00:01:40.000]  你是其中一個門徒
[00:01:40.000 --> 00:01:44.000]  耶穌接著怎麼回答呢
[00:01:44.000 --> 00:01:51.000]  祂說我是被差遣到以色列迷羊那裡
[00:01:51.000 --> 00:01:56.000]  這個婦人還不心悅
[00:01:56.000 --> 00:01:58.000]  她來到主耶穌面前
[00:01:58.000 --> 00:02:01.000]  接著她跪在主耶穌面前
[00:02:01.000 --> 00:02:02.000]  怎麼說呢
[00:02:02.000 --> 00:02:05.000]  她說主下求你幫我了
[00:02:05.000 --> 00:02:10.000]  主耶穌接著又回答她
[00:02:11.000 --> 00:02:16.000]  可兒類的餅給狗吃是不好的
[00:02:16.000 --> 00:02:18.000]  門徒看著
[00:02:18.000 --> 00:02:21.000]  可能當時的門徒都很愕然
[00:02:21.000 --> 00:02:23.000]  你是門徒的時候
[00:02:23.000 --> 00:02:26.000]  什麼時候見過主這樣對待人的
[00:02:26.000 --> 00:02:29.000]  叫人是狗
[00:02:29.000 --> 00:02:34.000]  可能你是門徒的時候
[00:02:34.000 --> 00:02:37.000]  當時你看看這個婦人的反應
[00:02:37.000 --> 00:02:39.000]  還不走
[00:02:39.000 --> 00:02:41.000]  聰明吧
[00:02:41.000 --> 00:02:43.000]  說了兩次還不走
[00:02:43.000 --> 00:02:45.000]  誰知道這個婦人
[00:02:45.000 --> 00:02:48.000]  你見到她怎麼回應主耶穌呢
[00:02:48.000 --> 00:02:49.000]  她說主啊
[00:02:49.000 --> 00:02:50.000]  是啊
[00:02:50.000 --> 00:02:56.000]  不過狗都吃主人桌上掉下來的餅碎
[00:02:56.000 --> 00:02:58.000]  碎齋兒
[00:02:58.000 --> 00:03:01.000]  這個婦人也很會說話
[00:03:01.000 --> 00:03:03.000]  你既然說是狗
[00:03:03.000 --> 00:03:05.000]  她就說是狗
[00:03:05.000 --> 00:03:08.000]  你作為門徒的時候
[00:03:08.000 --> 00:03:09.000]  你也要想一想
[00:03:09.000 --> 00:03:11.000]  看看主耶穌有什麼反應
[00:03:11.000 --> 00:03:14.000]  誰知道主耶穌說
[00:03:14.000 --> 00:03:17.000]  婦人你的信心真是大
[00:03:17.000 --> 00:03:21.000]  照你們所想的成就回去吧
[00:03:21.000 --> 00:03:24.000]  如果你是門徒的話
[00:03:24.000 --> 00:03:26.000]  什麼都可以
[00:03:26.000 --> 00:03:28.000]  這件事就這樣發生了
[00:03:28.000 --> 00:03:31.000]  當然後來聖經裡面說
[00:03:31.000 --> 00:03:33.000]  那個時候他的女兒就康復了
[00:03:33.000 --> 00:03:37.000]  門徒當時可能都看不到
[00:03:37.000 --> 00:03:39.000]  後來可能傳回給門徒
[00:03:39.000 --> 00:03:41.000]  傳回給主耶穌
[00:03:41.000 --> 00:03:45.000]  知道是這個婦人的女兒康復了
[00:03:45.000 --> 00:03:48.000]  大家想想整件事情裡面
[00:03:48.000 --> 00:03:51.000]  我不知道大家看完之後
[00:03:51.000 --> 00:03:54.000]  這件事有什麼反應
[00:03:54.000 --> 00:03:55.000]  你是門徒
[00:03:55.000 --> 00:03:57.000]  其中一個門徒的時候
[00:03:57.000 --> 00:03:59.000]  你跟了耶穌
[00:03:59.000 --> 00:04:02.000]  在《馬太福音禮律》第十五章
[00:04:02.000 --> 00:04:05.000]  你會看到這幫門徒跟了耶穌
[00:04:05.000 --> 00:04:08.000]  也不是一段太長的時間
[00:04:08.000 --> 00:04:10.000]  同時也不是短的
[00:04:10.000 --> 00:04:12.000]  第十五章
[00:04:12.000 --> 00:04:14.000]  前面跟了耶穌也有一段時間
[00:04:14.000 --> 00:04:17.000]  看到耶穌對待過很多不同的人
