
[00:00:00.000 --> 00:00:04.000]  今日同大家繼續分享
[00:00:04.000 --> 00:00:09.000]  《馬太福音》第十三章天國的比喻
[00:00:09.000 --> 00:00:13.000]  今日這個比喻在一般人的講道
[00:00:13.000 --> 00:00:16.000]  都會稱之為珍珠的比喻
[00:00:16.000 --> 00:00:19.000]  是很有趣的珍珠的比喻
[00:00:19.000 --> 00:00:22.000]  今日的經文是非常之簡短
[00:00:22.000 --> 00:00:25.000]  是兩節的經文
[00:00:25.000 --> 00:00:28.000]  我亦都說過今日的珍珠的比喻
[00:00:28.000 --> 00:00:32.000]  和上一次講藏寶的比喻是一對的
[00:00:32.000 --> 00:00:35.000]  兩個都是講天國的價值
[00:00:35.000 --> 00:00:37.000]  今日的經文剛才讀過了
[00:00:37.000 --> 00:00:41.000]  在《馬太福音》第十三章四十五至四十六節
[00:00:41.000 --> 00:00:44.000]  說天國好賬買賣人
[00:00:44.000 --> 00:00:46.000]  尋找好珠子
[00:00:46.000 --> 00:00:48.000]  遇見一顆重價的珠子
[00:00:48.000 --> 00:00:51.000]  就去變賣他一切所有的
[00:00:51.000 --> 00:00:53.000]  買了這顆珠子
[00:00:53.000 --> 00:00:55.000]  我們見到經文告訴我們
[00:00:55.000 --> 00:00:58.000]  有一個做賣賣的人是一個商人
[00:00:58.000 --> 00:01:00.000]  他是很愛珍珠
[00:01:00.000 --> 00:01:03.000]  於是他到處去尋找
[00:01:03.000 --> 00:01:07.000]  結果他尋找到一顆重價的珠子
[00:01:07.000 --> 00:01:11.000]  於是他就變賣了他所有的一切
[00:01:11.000 --> 00:01:14.000]  然後來買了這顆珍珠
[00:01:14.000 --> 00:01:18.000]  耶穌基督說天國就是好像這樣
[00:01:18.000 --> 00:01:21.000]  在Mishnah米士那
[00:01:21.000 --> 00:01:23.000]  猶太人的經典
[00:01:23.000 --> 00:01:26.000]  亦記載了一件事
[00:01:26.000 --> 00:01:30.000]  有一個人變賣了他所有的一切
[00:01:30.000 --> 00:01:35.000]  來買一顆非常之重價的珍珠
[00:01:35.000 --> 00:01:40.000]  說到這顆有價值的珍珠
[00:01:40.000 --> 00:01:43.000]  就令我想起我曾經在網上
