
[00:00:00.000 --> 00:00:04.880]  很多時候我們都會向神禱告
[00:00:04.880 --> 00:00:12.120]  但是會否發覺很多時候神未必是立刻回答我們的禱告
[00:00:12.120 --> 00:00:16.200]  當我們見到神不立刻回答我們的禱告時
[00:00:16.200 --> 00:00:20.880]  我們就會說神的時間表和我們的時間表是不同的
[00:00:20.880 --> 00:00:24.280]  所以神是未回答我們的禱告
[00:00:24.280 --> 00:00:26.880]  今天我們會見到一個禱告
[00:00:26.880 --> 00:00:28.480]  是但以利的禱告
[00:00:28.480 --> 00:00:32.200]  神是立即回答但以利的禱告
[00:00:32.200 --> 00:00:38.920]  祂是派天使加伯列去到但以利回答祂
[00:00:38.920 --> 00:00:44.720]  我稱今天的題目為「神火速答允的禱告」
[00:00:44.720 --> 00:00:47.000]  讓我們一起來學習一下
[00:00:47.000 --> 00:00:51.480]  一個怎樣的禱告才是為神喜悅的禱告
[00:00:51.480 --> 00:00:58.360]  一個怎樣的禱告神才會立刻來答允
[00:00:58.360 --> 00:01:01.760]  我們也說過但以利書的結構很有趣
[00:01:01.760 --> 00:01:03.520]  十二章的經文
[00:01:03.520 --> 00:01:10.560]  一至六章是照著歷史的事實、歷史的時間來記載
[00:01:10.560 --> 00:01:14.800]  七至十二章是但以利自己的意象
[00:01:14.800 --> 00:01:18.080]  不再是替別人解夢、解意象
[00:01:18.080 --> 00:01:20.080]  是祂自己看到的
[00:01:20.080 --> 00:01:26.560]  花了兩個星期跟大家說69.7和70.7
[00:01:26.560 --> 00:01:32.200]  我們看到是但以利第三個意象
[00:01:32.200 --> 00:01:39.720]  今天的禱告就是神用70.7來回答但以利的禱告
[00:01:39.720 --> 00:01:45.360]  下一次會跟大家說是但以利第四個意象
[00:01:45.360 --> 00:01:48.120]  是第十章、十一和十二章
[00:01:48.120 --> 00:01:50.600]  那裡我們看到但以利的禱告
[00:01:50.600 --> 00:01:52.880]  神也是立即回答
[00:01:52.880 --> 00:01:57.680]  但居然天使來回答但以利禱告的時候
[00:01:57.680 --> 00:02:01.440]  是被阻延了二十一天、三個星期
[00:02:01.440 --> 00:02:05.040]  這個我下一次才跟大家說
[00:02:05.040 --> 00:02:08.040]  今天要先跟大家看看
[00:02:08.040 --> 00:02:14.800]  重溫一下70.7這個這麼偉大的預言
[00:02:14.800 --> 00:02:18.400]  被認為是舊約最偉大的預言
[00:02:18.400 --> 00:02:22.200]  但以利是預言69.7之後
[00:02:22.200 --> 00:02:25.080]  耶穌基督在主后33年
[00:02:25.080 --> 00:02:27.680]  也是祂33歲的時候
[00:02:27.680 --> 00:02:31.000]  騎著驢驅子進入耶路撒冷城
[00:02:31.000 --> 00:02:33.400]  是彌撒月第十天
[00:02:33.400 --> 00:02:37.240]  我們也說過是逾越節前的五天
[00:02:37.240 --> 00:02:40.080]  如果加上前後
[00:02:40.080 --> 00:02:45.160]  是以色列人迎接羔羊進入他們的家
[00:02:45.160 --> 00:02:48.040]  然後在彌撒月的十四天
[00:02:48.040 --> 00:02:51.360]  也是逾越節那一天
[00:02:51.360 --> 00:02:54.920]  耶穌基督成為我們的代罪羔羊
[00:02:54.920 --> 00:02:59.480]  是被釘十字架
[00:02:59.480 --> 00:03:02.240]  經文說之後
[00:03:02.240 --> 00:03:05.680]  有聖殿和耶路撒冷城被毀
[00:03:05.680 --> 00:03:09.520]  這個也是70.7的預言當中
[00:03:09.520 --> 00:03:14.320]  我們見到這個也是主后70年應驗了
[00:03:14.320 --> 00:03:18.680]  真的羅馬帝國毀壞了耶路撒冷城
[00:03:18.680 --> 00:03:21.400]  和毀滅了聖殿
[00:03:21.400 --> 00:03:26.120]  這真是一個不可思議的預言
[00:03:26.120 --> 00:03:30.760]  這是舊約可以說是最偉大的預言
[00:03:30.760 --> 00:03:35.240]  而今天的禱告就是
[00:03:35.240 --> 00:03:39.960]  神為什麼用70.7來回答但義理的原因
[00:03:39.960 --> 00:03:44.080]  完全是因為今天所說的但義理的禱告
[00:03:44.080 --> 00:03:48.240]  當我們說到但義理書第九章的時候
[00:03:48.240 --> 00:03:51.760]  相信大家都會想起70.7的預言
[00:03:51.760 --> 00:03:56.560]  認為這就是第九章最重要的事
[00:03:56.560 --> 00:03:58.800]  但是我可以告訴大家
[00:03:58.800 --> 00:04:01.000]  在但義理書第九章
[00:04:01.000 --> 00:04:04.520]  70.7的預言不是最重要
[00:04:04.520 --> 00:04:07.280]  最重要的是但義理的禱告
[00:04:07.280 --> 00:04:11.080]  我有兩個原因是這樣說
[00:04:11.080 --> 00:04:13.880]  如果我們看但義理書的大綱時
[00:04:13.880 --> 00:04:18.880]  我們知道第一第二節是整個故事的背景
[00:04:18.880 --> 00:04:21.720]  第三至二十節
[00:04:21.720 --> 00:04:25.840]  十八節的經文是但義理的禱告
[00:04:25.840 --> 00:04:28.280]  一共十八節的經文
[00:04:28.280 --> 00:04:30.760]  二十一至二十三節
[00:04:30.760 --> 00:04:37.120]  是神派加伯列來到但義理那裡
[00:04:37.120 --> 00:04:40.680]  和但義理回答但義理的禱告
[00:04:40.680 --> 00:04:47.040]  二十四至二十七節是說70.7的預言
[00:04:47.040 --> 00:04:49.240]  只不過是四節的經文
[00:04:49.240 --> 00:04:52.440]  但但義理的禱告佔了多少節的經文呢?
[00:04:52.440 --> 00:04:53.800]  十八節
[00:04:53.800 --> 00:04:55.680]  你試一下十八除四
[00:04:55.680 --> 00:05:00.680]  你見到篇幅是大致起碼四倍至五倍
[00:05:00.680 --> 00:05:03.520]  所以亦都說但義理的禱告
[00:05:03.520 --> 00:05:08.600]  相信是但義理書第九章最重要的部份
[00:05:08.600 --> 00:05:14.440]  第二個原因為何我說但義理的禱告是最重要
[00:05:14.440 --> 00:05:17.720]  是見到神火速的回應
[00:05:17.720 --> 00:05:23.840]  神立刻派加伯列這個天使來回答但義理
[00:05:23.840 --> 00:05:29.280]  我們亦都說過加伯列是神的公關天使
[00:05:29.280 --> 00:05:37.160]  每逢有很重要的事都會找加伯列來宣佈
[00:05:37.160 --> 00:05:39.720]  在但義理書九章二十一節
[00:05:39.720 --> 00:05:42.480]  但義理說:我正在禱告的時候
[00:05:42.480 --> 00:05:46.640]  先前在異象中所見的那位加伯列
[00:05:46.640 --> 00:05:48.720]  奉命迅速飛來
[00:05:48.720 --> 00:05:51.160]  若在獻晚祭的時候
[00:05:51.160 --> 00:05:53.520]  按手在我身上
[00:05:53.520 --> 00:05:56.680]  當但義理還在禱告的時候
[00:05:56.680 --> 00:05:59.000]  加伯列已經來到他那裡
[00:05:59.000 --> 00:06:00.800]  按手在他的身上
[00:06:00.800 --> 00:06:03.160]  但義理禱告禱到入神
[00:06:03.160 --> 00:06:07.440]  不是這個天使按手在他身上他都不知道
[00:06:07.440 --> 00:06:12.440]  有神學家用希伯來文讀一次
[00:06:12.440 --> 00:06:17.760]  將第三至二十節第九章讀一次
[00:06:17.760 --> 00:06:20.640]  來代表但義理的禱告
[00:06:20.640 --> 00:06:25.800]  他發覺這個禱告大概是三分鐘的時候
[00:06:25.800 --> 00:06:30.160]  三分鐘的時候加伯列就由天堂飛到
[00:06:30.160 --> 00:06:34.840]  三分鐘神就回答:天使為什麼需要這麼多時間
[00:06:34.840 --> 00:06:37.720]  天使不是無處不在
[00:06:37.720 --> 00:06:39.840]  只有神才是無處不在
[00:06:39.840 --> 00:06:43.240]  天使要從天堂飛到但義理那裡
[00:06:43.240 --> 00:06:46.320]  是需要飛了三分鐘
[00:06:46.320 --> 00:06:49.680]  三分鐘神就回答了他的禱告
[00:06:49.680 --> 00:06:51.160]  不是神的延遲
[00:06:51.160 --> 00:06:57.600]  而是天使他有限制
[00:06:57.600 --> 00:06:59.320]  我們來看看
[00:06:59.320 --> 00:07:02.320]  這個究竟是一個怎樣的禱告
[00:07:02.320 --> 00:07:04.760]  以致神會火速回應
[00:07:04.760 --> 00:07:06.160]  我們相信每一個人
[00:07:06.160 --> 00:07:07.760]  每一個弟兄姊妹
[00:07:07.760 --> 00:07:09.800]  都很希望我們的禱告
[00:07:09.800 --> 00:07:11.480]  神會立刻回應
[00:07:11.480 --> 00:07:13.280]  火速地回應
[00:07:13.280 --> 00:07:14.480]  我們今天來看看
[00:07:14.480 --> 00:07:16.880]  究竟一個怎樣的禱告
[00:07:16.880 --> 00:07:18.960]  才是為神所喜悅
[00:07:18.960 --> 00:07:21.640]  神才會火速地回應
[00:07:21.640 --> 00:07:23.800]  一共有六點
[00:07:23.800 --> 00:07:24.800]  第一點
[00:07:24.800 --> 00:07:28.360]  這個禱告是本於神的話語
[00:07:28.360 --> 00:07:30.640]  是出自神的話語
[00:07:30.640 --> 00:07:33.800]  在但義理書九章二節
[00:07:33.800 --> 00:07:34.720]  經文說
[00:07:34.720 --> 00:07:37.040]  「就是他在位第一年
[00:07:37.040 --> 00:07:40.720]  我但義理從書上得知耶和華
[00:07:40.720 --> 00:07:43.840]  的話臨到先知耶利米
[00:07:43.840 --> 00:07:46.600]  論耶路撒冷荒涼的年數
[00:07:46.600 --> 00:07:48.880]  七十年為滿」
[00:07:48.880 --> 00:07:52.280]  當但義理讀耶利米書的話
[00:07:52.280 --> 00:07:55.600]  他知道神的預言說
[00:07:55.600 --> 00:07:59.240]  七十年以色列人將會被擄
[00:07:59.240 --> 00:08:05.320]  七十年後他們將會回歸到以色列
[00:08:05.320 --> 00:08:06.880]  相信他讀的經文就是
[00:08:06.880 --> 00:08:10.920]  耶利米書二十五章十一至十二節
[00:08:10.920 --> 00:08:14.400]  和耶利米書二十九章十節
[00:08:14.400 --> 00:08:15.960]  七十年
[00:08:15.960 --> 00:08:18.720]  以色列人分開三批
[00:08:18.720 --> 00:08:22.600]  被巴比倫擄劫
[00:08:22.600 --> 00:08:25.760]  第一批是主前六百零六年
[00:08:25.760 --> 00:08:28.120]  而最後一批是第三批
[00:08:28.120 --> 00:08:30.480]  是主前五百八十六年
[00:08:30.480 --> 00:08:33.640]  前後是相距二十年
[00:08:33.640 --> 00:08:37.040]  但但義理若他用主前六百零六年
