
[00:00:00.000 --> 00:00:07.000]  在《若紅一書》的一章一至四節
[00:00:07.000 --> 00:00:14.000]  我們講到福音是 tangible
[00:00:14.000 --> 00:00:19.000]  福音是可以被聽見
[00:00:19.000 --> 00:00:22.000]  可以被觸摸
[00:00:22.000 --> 00:00:26.000]  是可以被看見的
[00:00:29.000 --> 00:00:31.000]  福音不是單單一個意念
[00:00:31.000 --> 00:00:34.000]  不是一個價值
[00:00:34.000 --> 00:00:37.000]  不是只是一個世界觀
[00:00:37.000 --> 00:00:41.000]  而是神的愛和憐憫
[00:00:41.000 --> 00:00:46.000]  《若紅》指出福音的盼望
[00:00:46.000 --> 00:00:50.000]  在於耶穌基督是我們的中寶
[00:00:50.000 --> 00:00:55.000]  我們需要耶穌基督去做我們的辯護
[00:00:55.000 --> 00:00:58.000]  叫我們的罪得到寬恕
[00:00:59.000 --> 00:01:01.000]  跟隨耶穌基督的人
[00:01:01.000 --> 00:01:03.000]  是能夠有耶穌基督為中寶
[00:01:03.000 --> 00:01:05.000]  但是耶穌基督又喜歡我們
[00:01:05.000 --> 00:01:08.000]  又要我們去成為其他人的中寶
[00:01:08.000 --> 00:01:11.000]  成為別人的 advocate
[00:01:11.000 --> 00:01:14.000]  結果如果我們這樣做的話
[00:01:14.000 --> 00:01:20.000]  我們的生命就能夠展示神的榮耀和真理
[00:01:20.000 --> 00:01:23.000]  我們動心妥告
[00:01:24.000 --> 00:01:30.000]  親愛的神,我們繼續仰望祢,求祢讓我們有好的記性
[00:01:30.000 --> 00:01:33.000]  聽見祢的話語,我們就記得
[00:01:33.000 --> 00:01:40.000]  相信經歷祢的話語是我們生命的奧秘和力量
[00:01:40.000 --> 00:01:45.000]  親愛的主,在香港水深火熱的地方
[00:01:45.000 --> 00:01:49.000]  求祢讓我們繼續有祢靈的充滿
[00:01:50.000 --> 00:01:54.000]  經歷祢的權能,祢的話語的信實
[00:01:54.000 --> 00:01:56.000]  我們眾人仰望祢
[00:01:56.000 --> 00:02:01.000]  我們的禱告是奉主耶穌基督的名字求,阿門
[00:02:21.000 --> 00:02:23.000]  我讀一次給大家聽
[00:02:23.000 --> 00:02:28.000]  我寫信給你們,不是因你們不知道真理
[00:02:28.000 --> 00:02:36.000]  正是因你們知道,並且知道沒有虛方是從真理出來的
[00:02:36.000 --> 00:02:39.000]  誰是說謊話的呢?
[00:02:39.000 --> 00:02:43.000]  不是那不認耶穌為基督的嗎?
[00:02:44.000 --> 00:02:50.000]  不認父與子的,者就是敵基督的
[00:02:50.000 --> 00:02:54.000]  凡不認子的,就沒有父
[00:02:54.000 --> 00:02:59.000]  認子的,連父也有娘
[00:02:59.000 --> 00:03:06.000]  歷史是充滿著很多的謊話
[00:03:07.000 --> 00:03:14.000]  亞當將罪行推給夏娃
[00:03:14.000 --> 00:03:20.000]  該人殺死他的弟弟亞伯後就說我不知道弟弟在哪裡
