
[00:00:00.000 --> 00:00:02.500]  各位大英姊妹 晚安
[00:00:02.500 --> 00:00:06.500]  很開心能夠再一次跟大家分享上帝的說話
[00:00:06.500 --> 00:00:09.000]  雖然天氣不似預期
[00:00:09.000 --> 00:00:11.500]  但我們相信無論晴天雨天
[00:00:11.500 --> 00:00:13.000]  上帝都與我們同在
[00:00:13.000 --> 00:00:16.000]  也與在座在家中的大英姊妹
[00:00:16.000 --> 00:00:18.500]  在看直播的大英姊妹同在
[00:00:18.500 --> 00:00:20.500]  今天我們會來看
[00:00:20.500 --> 00:00:23.000]  《帖撒來厘加後書》的第二章
[00:00:23.000 --> 00:00:25.000]  可以說來到一個比較核心
[00:00:25.000 --> 00:00:27.000]  一個重要的部分
[00:00:27.000 --> 00:00:29.000]  因為只有那三章的經文
[00:00:29.000 --> 00:00:32.000]  來到第二章的頭十二節
[00:00:32.000 --> 00:00:35.500]  讓我們先一起讀出這段經文 好嗎
[00:00:35.500 --> 00:00:38.000]  不如我請弟兄讀單數節
[00:00:38.000 --> 00:00:40.000]  我本來以為沒有會眾在
[00:00:40.000 --> 00:00:43.500]  弟兄讀單數節 姊妹就讀雙數節 好嗎
[00:00:43.500 --> 00:00:45.500]  我們可以大聲讀
[00:00:45.500 --> 00:00:48.000]  弟兄讀單數節 預備起
[00:00:48.000 --> 00:00:52.500]  弟兄們 關於我們主耶穌基督的來臨
[00:00:52.500 --> 00:00:56.000]  和我們到他那裡聚集
[00:00:56.000 --> 00:00:59.500]  我勸你們 請姊妹
[00:00:59.500 --> 00:01:17.500]  不要讓任何人用什麼法子欺騙你們
[00:01:17.500 --> 00:01:22.000]  因為那日子以前必有叛教的事
[00:01:22.000 --> 00:01:27.000]  並有那不法的人 那沉淪之子出現
[00:01:27.000 --> 00:01:44.000]  好 下一頁 預備起
[00:01:44.000 --> 00:01:47.000]  我還在你們那裡的時候
[00:01:47.000 --> 00:01:50.000]  曾把這些事告訴你們
[00:01:50.000 --> 00:01:52.000]  你們不記得嗎
[00:01:52.000 --> 00:02:05.000]  因為那不法的隱秘已經運作
[00:02:05.000 --> 00:02:08.000]  只是現在有一個阻擋的
[00:02:08.000 --> 00:02:13.000]  要等到那阻擋的被除去才會發作
[00:02:21.000 --> 00:02:25.000]  以自己來臨的江西去圍堂
[00:02:25.000 --> 00:02:27.000]  好 最後幾節 預備起
[00:02:27.000 --> 00:02:32.000]  這不法的人來 是靠撒旦的運作
[00:02:32.000 --> 00:02:38.000]  行各樣的人 臣職和一切虛假的歧視
[00:02:50.000 --> 00:02:55.000]  故此 神就給他們一個引發錯誤的心
[00:02:55.000 --> 00:02:58.000]  叫他們順從虛荒
[00:02:58.000 --> 00:03:06.000]  好 謝謝各位兄弟姐妹
[00:03:06.000 --> 00:03:08.000]  大家會看到今天的這段經文
[00:03:08.000 --> 00:03:10.000]  都頗有挑戰性的
[00:03:10.000 --> 00:03:12.000]  不過我想問大家一個問題
[00:03:12.000 --> 00:03:14.000]  當大家看到第一節
[00:03:14.000 --> 00:03:18.000]  第一節說關於我們主耶穌基督的來臨
[00:03:18.000 --> 00:03:21.000]  以及我們到他那裡聚集
[00:03:21.000 --> 00:03:23.000]  看到這個的時候
[00:03:23.000 --> 00:03:26.000]  不知道大家心裏面有沒有一個感覺
[00:03:26.000 --> 00:03:29.000]  或者和我有同一個疑惑
[00:03:29.000 --> 00:03:33.000]  就是我們之前在貼薩來厘加前書
