
[00:00:00.000 --> 00:00:01.740]  好 各位親愛的電影節目 你們好
[00:00:01.740 --> 00:00:05.340]  我自己很感恩 為什麼呢?
[00:00:05.340 --> 00:00:07.900]  2021年第一個崇拜
[00:00:07.900 --> 00:00:10.820]  可以跟大家一齊分享神的話語
[00:00:10.820 --> 00:00:13.940]  這是神給我一個很大很大的祝福
[00:00:13.940 --> 00:00:18.280]  但我又很肯定 2021年絕對不會好過
[00:00:18.280 --> 00:00:20.420]  如果我們真的預計的時候
[00:00:20.420 --> 00:00:23.500]  無論是疫情或者是政情
[00:00:23.500 --> 00:00:27.140]  都應該是在支撐著我們
[00:00:27.140 --> 00:00:31.500]  很簡單 現在還是六點鐘 之後就沒有飯吃了
[00:00:31.500 --> 00:00:34.120]  只可以兩個人來吃東西
[00:00:34.120 --> 00:00:37.200]  現在暫時我一家三口 一人吃幾粒飯
[00:00:37.200 --> 00:00:39.560]  如果我和我太太和我女兒吃飯
[00:00:39.560 --> 00:00:41.840]  就要分開一張桌子來坐
[00:00:41.840 --> 00:00:47.220]  我記得昨天晚上 我們六點到八點才借她吃飯
[00:00:47.220 --> 00:00:50.280]  其實我是想吃豬手飯的
[00:00:50.280 --> 00:00:53.840]  八十八元很划算 燒豬手
[00:00:53.840 --> 00:00:57.300]  但是那家店舖就說不好意思
[00:00:57.300 --> 00:00:59.840]  做不了了 因為六點鐘要走了
[00:00:59.840 --> 00:01:03.360]  他們很快就吃了一碗公仔麵
[00:01:03.360 --> 00:01:05.480]  就當是一餐
[00:01:05.480 --> 00:01:06.940]  我想其實很多人都是困擾
[00:01:06.940 --> 00:01:09.740]  但其實我們少吃一餐無所謂
[00:01:09.740 --> 00:01:12.640]  我和那些人說 其實你們很辛苦
[00:01:12.640 --> 00:01:14.780]  你們的收入少了很多
[00:01:14.780 --> 00:01:20.140]  甚至工人都少了 開工人工自然就低了
[00:01:20.140 --> 00:01:21.900]  未來的日子我們不知道
[00:01:21.900 --> 00:01:24.840]  雖然這幾天的疫情好像低了一點
[00:01:24.840 --> 00:01:28.800]  但有誰可以擔保盡快康復呢?
[00:01:28.800 --> 00:01:32.180]  還有政情 表面上應該沒有什麼問題
[00:01:32.180 --> 00:01:34.520]  現在沒有什麼社會上的衝擊
[00:01:34.520 --> 00:01:38.860]  但我想很多人的內心裡 那種不安是大的
[00:01:38.860 --> 00:01:41.360]  所以要求神來幫助我們
[00:01:41.360 --> 00:01:45.240]  作為基督徒 我們仍然相信神是掌管一切的
[00:01:45.240 --> 00:01:46.840]  在新的一年開始
[00:01:46.840 --> 00:01:49.920]  我們很想和大家翻溫一下
[00:01:49.920 --> 00:01:52.760]  聖經裡面提到「新」
[00:01:52.760 --> 00:01:54.200]  因為現在是新年
[00:01:54.200 --> 00:01:58.080]  我們看看聖經裡面關於「新」這個課題
[00:01:58.080 --> 00:02:00.580]  這個課題我們可以看到是「救恩」
[00:02:00.580 --> 00:02:03.840]  讓我們重整我們的信仰
