
[00:00:00.000 --> 00:00:03.740]  這裡就約的先知和希亞
[00:00:03.740 --> 00:00:10.220]  他要我們來極力地追求 來認識神
[00:00:10.220 --> 00:00:13.220]  剛才說 姊妹也說到
[00:00:13.220 --> 00:00:18.520]  保羅也是極力追求 要認識基督
[00:00:18.520 --> 00:00:24.320]  這就說到 我們最重要的
[00:00:24.320 --> 00:00:29.560]  我們一生要追求的 就是要來認識神
[00:00:29.560 --> 00:00:39.860]  巴克弟兄他特別講到五個認識神的基本原則
[00:00:39.860 --> 00:00:46.780]  第一個他就講到
[00:00:46.780 --> 00:00:52.080]  第一個就講到聖經是神向我們所說的話
[00:00:52.080 --> 00:00:55.780]  這本聖經就是神要向我們所說的話
[00:00:55.780 --> 00:00:59.460]  我們從聖經裡頭來認識神
[00:00:59.460 --> 00:01:04.060]  這樣的話 神的話就是給我們有得救的智慧
[00:01:04.060 --> 00:01:07.060]  當我們能夠讀聖經
[00:01:07.060 --> 00:01:10.260]  從聖經裡頭我們就明白
[00:01:10.260 --> 00:01:12.960]  神怎麼愛我們 怎麼救我們
[00:01:12.960 --> 00:01:15.860]  我們要有能夠得救
[00:01:15.860 --> 00:01:18.460]  第二個原則就講到
[00:01:18.460 --> 00:01:23.260]  神是世界的主宰和君王
[00:01:23.260 --> 00:01:27.760]  這個是神不單是創造這個世界宇宙
[00:01:27.760 --> 00:01:30.960]  神還統管這一切
[00:01:30.960 --> 00:01:33.760]  在神所做的一切事情上
[00:01:33.760 --> 00:01:36.060]  祂都是很完美的
[00:01:36.060 --> 00:01:38.960]  所以我們人要認識祂
[00:01:38.960 --> 00:01:44.360]  就是為了要敬拜祂 要來尊崇祂
[00:01:44.360 --> 00:01:51.260]  這說到我們要認識神是這個宇宙世界的主宰
[00:01:51.260 --> 00:01:53.860]  而且祂是王
[00:01:53.860 --> 00:01:58.960]  第三個說到神是救主
[00:01:58.960 --> 00:02:02.060]  那麼祂借著耶穌基督
[00:02:02.060 --> 00:02:07.360]  拯救我們信徒脫離罪的刑罰
[00:02:07.360 --> 00:02:10.660]  也拯救我們脫離罪的權勢
[00:02:10.660 --> 00:02:12.560]  祂是我們救主
[00:02:12.560 --> 00:02:17.360]  這個神就包括父神
[00:02:17.360 --> 00:02:20.160]  包括耶穌基督 包括聖靈
[00:02:20.160 --> 00:02:23.160]  所以這個神就是救主
[00:02:23.160 --> 00:02:25.860]  就是把我們 借著耶穌基督
[00:02:25.860 --> 00:02:30.960]  把我們從罪惡中間拯救出來
[00:02:30.960 --> 00:02:36.860]  第四個原則要認識神是三維體
[00:02:36.860 --> 00:02:40.960]  三維體就是有聖父 聖子 聖靈
[00:02:40.960 --> 00:02:46.560]  雖然這個真理不是一下子很容易的理解
[00:02:46.560 --> 00:02:53.360]  但是確實聖經裡頭要認識神的一個很基本的原則
[00:02:53.360 --> 00:02:59.360]  我們知道神是一位神
[00:02:59.360 --> 00:03:01.160]  獨一的真神
[00:03:01.160 --> 00:03:04.960]  但這一位神確實有三個身位
[00:03:04.960 --> 00:03:08.460]  有父 有子 有聖靈
[00:03:08.460 --> 00:03:14.960]  那麼他們都是一同在創造的工作中有份
[00:03:14.960 --> 00:03:18.960]  而且在救贖我們的工作上
[00:03:18.960 --> 00:03:21.560]  他們也是同工的
[00:03:21.560 --> 00:03:27.960]  父是制定救贖的計劃
[00:03:27.960 --> 00:03:34.160]  那子呢 耶穌基督就來完成救贖
[00:03:34.160 --> 00:03:38.360]  所以他受父的差遣來到地上
[00:03:38.360 --> 00:03:41.960]  為了人的罪被掛在木頭上
[00:03:41.960 --> 00:03:43.760]  被釘在十字架上
[00:03:43.760 --> 00:03:45.960]  他成功的救贖
[00:03:45.960 --> 00:03:48.360]  所以在他十字架上
[00:03:48.360 --> 00:03:50.760]  最後他大聲的喊叫說
[00:03:50.760 --> 00:03:51.960]  成了
[00:03:51.960 --> 00:03:55.760]  就是他完成了父給他的使命
[00:03:55.760 --> 00:03:58.160]  他完成了這個救贖
[00:03:58.160 --> 00:03:59.760]  那這個完成救贖
[00:03:59.760 --> 00:04:02.960]  怎麼能夠實現在我們身上呢
[00:04:02.960 --> 00:04:04.760]  這是聖靈的工作
[00:04:04.760 --> 00:04:08.360]  聖靈就把神的愛
[00:04:08.360 --> 00:04:10.160]  把主耶穌的救贖
[00:04:10.160 --> 00:04:11.760]  所成功的救贖
[00:04:11.760 --> 00:04:14.760]  感動我們 做在我們身上
[00:04:14.760 --> 00:04:19.960]  所以聖靈就來應用
[00:04:19.960 --> 00:04:23.360]  主耶穌所完成的這樣的救贖
[00:04:23.360 --> 00:04:27.760]  把這個救贖的效果做在我們身上
[00:04:27.760 --> 00:04:29.160]  所以我們每個地圖圖
[00:04:29.160 --> 00:04:32.760]  我們信主都是聖靈的感動
[00:04:32.760 --> 00:04:34.160]  聖靈感動我們
[00:04:34.160 --> 00:04:37.360]  叫我們看見我們是那麼樣的敗壞
[00:04:37.360 --> 00:04:39.360]  那麼樣的犯罪
[00:04:39.360 --> 00:04:41.360]  我們離開是那麼遠
[00:04:41.360 --> 00:04:42.960]  但是感謝主
[00:04:42.960 --> 00:04:44.560]  聖靈開啓我們
[00:04:44.560 --> 00:04:47.360]  叫我們看見神何等愛我們
[00:04:47.360 --> 00:04:50.560]  他願意把他的兒子來賜給我們
[00:04:50.560 --> 00:04:53.360]  為我們的罪實在實在
[00:04:53.360 --> 00:04:54.760]  所以聖靈的感動
[00:04:54.760 --> 00:04:57.160]  叫我們接受這個救恩
[00:04:57.160 --> 00:04:59.360]  我們屬於神的救贖
[00:04:59.360 --> 00:05:00.760]  就領導我們了
[00:05:00.760 --> 00:05:03.960]  所以一個父是計劃
[00:05:03.960 --> 00:05:06.160]  定下的計劃
[00:05:06.160 --> 00:05:09.760]  子呢 耶穌基督來完成
[00:05:09.760 --> 00:05:13.760]  然後聖靈把這個完成的救贖
[00:05:13.760 --> 00:05:15.560]  做在我們身上
[00:05:15.560 --> 00:05:19.960]  就成為我們的永生的永遠的福氣
[00:05:19.960 --> 00:05:22.960]  這個我們要認識的
[00:05:22.960 --> 00:05:27.560]  第五個就是要有敬畏的生活
[00:05:27.560 --> 00:05:29.360]  你怎麼能夠認識神呢
[00:05:29.360 --> 00:05:30.760]  以為很基本的
[00:05:30.760 --> 00:05:35.160]  你得過一個敬畏敬淺的生活
[00:05:35.160 --> 00:05:36.960]  就是我們的生命
[00:05:36.960 --> 00:05:40.560]  必須是在神的話語的光中
[00:05:40.560 --> 00:05:44.760]  能夠顯明神給我們恩典
[00:05:44.760 --> 00:05:48.160]  我們基督徒在世上過的日子
[00:05:48.160 --> 00:05:52.160]  就是要顯明神給我們的新的生命
[00:05:52.160 --> 00:05:54.960]  顯明我們是神的兒女
[00:05:54.960 --> 00:05:57.360]  所以這個敬淺的生活裡頭
[00:05:57.360 --> 00:06:00.160]  就包括我們信靠神
[00:06:00.160 --> 00:06:02.360]  我們順服神
[00:06:02.360 --> 00:06:06.360]  也包括我們對神的敬拜
[00:06:06.360 --> 00:06:08.360]  我們對神的禱告
[00:06:08.360 --> 00:06:11.560]  我們對神的贊美
[00:06:11.560 --> 00:06:13.760]  我們對神的獻身
[00:06:13.760 --> 00:06:16.160]  把自己奉獻給主
[00:06:16.160 --> 00:06:19.560]  過一個聖潔的生活
[00:06:19.560 --> 00:06:20.760]  這就是奉獻
[00:06:20.760 --> 00:06:22.560]  那我們侍奉
[00:06:22.560 --> 00:06:24.160]  在家裡侍奉
[00:06:24.160 --> 00:06:25.760]  在教會侍奉
[00:06:25.760 --> 00:06:27.360]  在工作的地方侍奉
[00:06:27.360 --> 00:06:29.560]  在我們每天的生活中間侍奉
[00:06:29.560 --> 00:06:31.760]  這就是一個敬淺的生活
[00:06:31.760 --> 00:06:35.560]  這也是很重要的一個基本的原則
[00:06:35.560 --> 00:06:39.360]  所以我們可以看到
[00:06:39.360 --> 00:06:42.960]  他說的五個基本的
[00:06:42.960 --> 00:06:44.960]  認識神的基本原則
[00:06:44.960 --> 00:06:47.160]  你通過這五個方面
[00:06:47.160 --> 00:06:49.760]  你就可以能夠認識神
[00:06:49.760 --> 00:06:51.960]  能夠全面的認識他
[00:06:51.960 --> 00:06:53.760]  而且能夠一步一步的
[00:06:53.760 --> 00:06:57.360]  深入的來認識他
[00:06:57.360 --> 00:06:59.360]  那我們感謝主
[00:06:59.360 --> 00:07:01.560]  我們今天就借著
[00:07:01.560 --> 00:07:04.160]  這個五個基本原則裡頭
[00:07:04.160 --> 00:07:07.960]  我們來交通到聖經
[00:07:07.960 --> 00:07:09.360]  神的話
[00:07:09.360 --> 00:07:11.960]  神的話講我們說的話
[00:07:11.960 --> 00:07:16.560]  叫我們有得救的智慧
[00:07:16.560 --> 00:07:19.960]  認識神是非常重要的
[00:07:19.960 --> 00:07:21.760]  從這個新約裡頭
[00:07:21.760 --> 00:07:23.960]  聖經舊約裡頭的聖經
[00:07:23.960 --> 00:07:28.760]  都是講到要認識神
[00:07:28.760 --> 00:07:32.160]  然後我們讀到這個
[00:07:32.160 --> 00:07:34.760]  以色亞書十一章的時候
[00:07:34.760 --> 00:07:37.760]  在以色亞就講到千年國
[00:07:37.760 --> 00:07:40.160]  這些光景
[00:07:40.160 --> 00:07:41.760]  在講到有預言
[00:07:41.760 --> 00:07:43.960]  講到千年國有些光景
[00:07:43.960 --> 00:07:44.560]  怎麼辦呢
[00:07:44.560 --> 00:07:48.560]  講到獅子跟牛可以在一起
[00:07:48.560 --> 00:07:52.160]  蛇也不會傷人
[00:07:52.160 --> 00:07:58.760]  講到小孩也可以跟蛇一起遊玩
[00:07:58.760 --> 00:08:00.160]  講到一切
[00:08:00.160 --> 00:08:02.760]  耶和華的山上一切的聖物
[00:08:02.760 --> 00:08:04.360]  都不會傷人
[00:08:04.360 --> 00:08:06.360]  講到這個
[00:08:06.360 --> 00:08:07.560]  以色亞書也講到
[00:08:07.560 --> 00:08:09.760]  我們人可以在地上
[00:08:09.760 --> 00:08:15.360]  可以活很長的歲數
[00:08:15.360 --> 00:08:17.560]  那麼以色亞在十一章講到
[00:08:17.560 --> 00:08:20.160]  這個千年國的美景的時候
[00:08:20.160 --> 00:08:22.760]  他在最後特別講到有一句
[00:08:22.760 --> 00:08:24.760]  他說在那個時候
[00:08:24.760 --> 00:08:27.360]  認識耶和華的知識
[00:08:27.360 --> 00:08:30.560]  要像要遍滿全地
[00:08:30.560 --> 00:08:32.560]  就地上所有的人
[00:08:32.560 --> 00:08:34.560]  都要來認識耶和華
[00:08:34.560 --> 00:08:36.960]  他說這個好像就是
[00:08:36.960 --> 00:08:41.360]  這個水充滿陽海一般
[00:08:41.360 --> 00:08:43.360]  所以他說認識耶和華的知識
[00:08:43.360 --> 00:08:45.960]  要遍布要遍滿全地
[00:08:45.960 --> 00:08:49.760]  就好像這個水充滿陽海一樣
[00:08:49.760 --> 00:08:51.560]  這麼的豐富
[00:08:51.560 --> 00:08:53.360]  所以到千年國的光景
[00:08:53.360 --> 00:08:56.960]  不但是獅子跟牛可以在一起玩
[00:08:56.960 --> 00:08:59.960]  這個羊可以跟豹子在一起
[00:08:59.960 --> 00:09:03.160]  更重要的就是認識神的知識
[00:09:03.160 --> 00:09:05.960]  要像水充滿陽海一樣
[00:09:05.960 --> 00:09:08.760]  那麼的普遍
[00:09:08.760 --> 00:09:11.760]  那麼也看到今天
[00:09:11.760 --> 00:09:15.760]  有一些不正常的一些例子
[00:09:15.760 --> 00:09:18.160]  今天一些不正常的例子
[00:09:18.160 --> 00:09:20.360]  就說到我們看到
[00:09:20.360 --> 00:09:22.960]  其實神是很豐富的神
[00:09:22.960 --> 00:09:25.560]  可是我們今天神的兒女常常說
[00:09:25.560 --> 00:09:27.160]  我們很軟弱
[00:09:27.160 --> 00:09:29.760]  我們是很貧窮
[00:09:29.760 --> 00:09:32.960]  可是我們的神又是豐富的神
[00:09:32.960 --> 00:09:35.560]  怎麼會兒女們有這樣的情況呢
[00:09:35.560 --> 00:09:40.360]  就說明我們是對神的認識還不夠
[00:09:40.360 --> 00:09:42.760]  所以有些聚會的話
[00:09:42.760 --> 00:09:46.160]  他就缺少神的話
[00:09:46.160 --> 00:09:47.560]  他們聚會的時候
[00:09:47.560 --> 00:09:51.160]  就拿出一本他們的領袖
[00:09:51.160 --> 00:09:53.160]  他們的領導寫的書
[00:09:53.160 --> 00:09:57.760]  來分享來交通這本書
[00:09:57.760 --> 00:09:59.560]  說你們自己看聖經
[00:09:59.560 --> 00:10:00.960]  你們不一定看得懂
[00:10:00.960 --> 00:10:05.160]  你可以聽聽某某人他寫的
[00:10:05.160 --> 00:10:07.960]  就是變成這樣的很貧窮的地步
[00:10:07.960 --> 00:10:10.160]  如果你沒有神的話
[00:10:10.160 --> 00:10:12.360]  那就是我們就非常的可憐
[00:10:12.360 --> 00:10:14.960]  非常貧窮
[00:10:14.960 --> 00:10:19.560]  再有一個老太太是基督徒
[00:10:19.560 --> 00:10:25.560]  她的生活變得非常貧困
[00:10:25.560 --> 00:10:28.160]  常常是很憂愁
[00:10:28.160 --> 00:10:32.160]  所以她的傳導人看見了
[00:10:32.160 --> 00:10:35.160]  就有一天到她家裡來訪問她
[00:10:35.160 --> 00:10:38.360]  就問她生活怎麼情形
