
[00:00:00.000 --> 00:00:03.000]  弟兄姐妹,我們再一次低頭禱告
[00:00:03.000 --> 00:00:06.000]  天父求你教導我們禱告
[00:00:06.000 --> 00:00:08.000]  正如昔日的門徒
[00:00:08.000 --> 00:00:12.000]  他看到主耶穌在禱告當中
[00:00:12.000 --> 00:00:16.000]  和天父有著親密的關係的時候
[00:00:16.000 --> 00:00:18.000]  他們都羨慕著這種關係
[00:00:18.000 --> 00:00:21.000]  所以他們求主耶穌教的禱告
[00:00:21.000 --> 00:00:22.000]  今天我們都是一樣
[00:00:22.000 --> 00:00:23.000]  我們在你面前
[00:00:23.000 --> 00:00:27.000]  我們都希望跟你有更親密的關係
[00:00:27.000 --> 00:00:29.000]  我們都是求你教導我們禱告
[00:00:29.000 --> 00:00:31.000]  謝謝諸基督的祈求
[00:00:31.000 --> 00:00:32.000]  阿們
[00:00:32.000 --> 00:00:37.000]  我們繼續思想關於禱告的課題
[00:00:37.000 --> 00:00:39.000]  今天第五講的就是
[00:00:39.000 --> 00:00:41.000]  怎樣可以不注意地禱告呢
[00:00:41.000 --> 00:00:43.000]  聖經中這樣說
[00:00:43.000 --> 00:00:47.000]  靠著聖靈隨時多方禱告祈求
[00:00:47.000 --> 00:00:49.000]  並要在此警聖不倦
[00:00:49.000 --> 00:00:51.000]  為眾聖徒祈求
[00:00:51.000 --> 00:00:54.000]  保羅在《義忽所書》中說到
[00:00:54.000 --> 00:00:57.000]  我們可以靠著聖靈隨時
[00:00:57.000 --> 00:00:59.000]  隨時的意思就是說
[00:00:59.000 --> 00:01:04.000]  其實是連續不斷地去禱告祈求
[00:01:04.000 --> 00:01:07.000]  連續不斷地去禱告祈求
[00:01:07.000 --> 00:01:10.000]  可能你看到這一段聖經的時候
[00:01:10.000 --> 00:01:14.000]  都可能會問著同一個問題
[00:01:14.000 --> 00:01:16.000]  我記得初初信耶穌的時候
[00:01:16.000 --> 00:01:18.000]  讀到《義忽所書》這一段的時候
[00:01:18.000 --> 00:01:21.000]  都會問著同一個問題
[00:01:21.000 --> 00:01:25.000]  究竟一個人怎樣可以隨時去禱告呢
[00:01:25.000 --> 00:01:31.000]  你有很多事情一天當中會做的事情
[00:01:31.000 --> 00:01:36.000]  禱告好像是分開一段時間出來
[00:01:36.000 --> 00:01:38.000]  禱告的時候
[00:01:38.000 --> 00:01:42.000]  難道要放下所有東西才可以禱告的時候
[00:01:42.000 --> 00:01:44.000]  當然就不能夠隨時禱告
[00:01:44.000 --> 00:01:46.000]  但隨時禱告的時候
[00:01:46.000 --> 00:01:49.000]  其他的事情又一直在做又怎樣呢
[00:01:49.000 --> 00:01:52.000]  很多時候都有一個這樣的問題
[00:01:52.000 --> 00:01:56.000]  但慢慢慢慢當信主越來越久的時候
[00:01:56.000 --> 00:02:01.000]  就發覺到其實不是這樣的
[00:02:01.000 --> 00:02:10.000]  其實禱告是跟神的一個持續不斷的對話
[00:02:10.000 --> 00:02:14.000]  可能你都會有經歷
[00:02:14.000 --> 00:02:17.000]  有時候你是自己跟自己說話的
[00:02:17.000 --> 00:02:18.000]  有沒有啊
[00:02:18.000 --> 00:02:20.000]  自己跟自己說話的嘛
[00:02:20.000 --> 00:02:22.000]  有時候你自己做事的時候
[00:02:22.000 --> 00:02:24.000]  你一直在計劃這些事情的時候
[00:02:24.000 --> 00:02:26.000]  你自己又說
[00:02:26.000 --> 00:02:28.000]  英文有個說法叫做 think out loud
[00:02:28.000 --> 00:02:30.000]  有些人一直在想事情的時候
[00:02:30.000 --> 00:02:31.000]  一直在說出來
[00:02:31.000 --> 00:02:33.000]  說完之後就好像在想事情一樣
[00:02:33.000 --> 00:02:34.000]  清晰一點
[00:02:34.000 --> 00:02:37.000]  有時候遇到一些事情的時候
[00:02:37.000 --> 00:02:39.000]  你覺得很煩惱
[00:02:39.000 --> 00:02:43.000]  你又會跟自己說話
[00:02:43.000 --> 00:02:46.000]  這個是自己跟自己的對話
[00:02:46.000 --> 00:02:51.000]  但其實你可以想想其實禱告
[00:02:51.000 --> 00:02:54.000]  都可以成為一個對話
[00:02:54.000 --> 00:02:59.000]  而這個對話的對象就不是自己是神
[00:02:59.000 --> 00:03:02.000]  當你明白到原來禱告是一個
[00:03:02.000 --> 00:03:06.000]  可以持續不斷的對話內容的時候
[00:03:06.000 --> 00:03:12.000]  你的禱告生活就再不是很黑板的
[00:03:12.000 --> 00:03:17.000]  或者一定要低頭閉上眼睛
[00:03:17.000 --> 00:03:19.000]  這樣才是禱告
[00:03:19.000 --> 00:03:22.000]  因為你什麼時候都可以禱告
[00:03:22.000 --> 00:03:24.000]  正如你什麼時候都可以跟自己對話
[00:03:24.000 --> 00:03:27.000]  譬如你在看電視的時候
[00:03:27.000 --> 00:03:30.000]  你看到一個很偉大
[00:03:30.000 --> 00:03:33.000]  譬如你看到那個大自然
