
[00:00:00.000 --> 00:00:04.440]  今日想用帖撒羅尼加前書第五章十六至十八節
[00:00:04.440 --> 00:00:08.200]  和大家開始一個關於感恩的講道系列
[00:00:08.200 --> 00:00:10.760]  保羅和帖撒羅尼加人說
[00:00:10.760 --> 00:00:13.120]  要常常喜樂
[00:00:13.120 --> 00:00:14.760]  不住地禱告
[00:00:14.760 --> 00:00:16.080]  凡事者因
[00:00:16.080 --> 00:00:19.000]  因為這是神在基督耶穌裡
[00:00:19.000 --> 00:00:21.120]  向你們所定的旨意
[00:00:21.120 --> 00:00:22.760]  聽到這句說話
[00:00:22.760 --> 00:00:24.800]  很多人會馬上想到幾條問題
[00:00:24.800 --> 00:00:25.640]  第一
[00:00:25.640 --> 00:00:28.040]  怎樣可以常常喜樂呢?
[00:00:28.400 --> 00:00:31.800]  人生的不如意事十常八九
[00:00:31.800 --> 00:00:34.120]  要喜樂就可以喜樂了嗎?
[00:00:34.120 --> 00:00:35.600]  第二
[00:00:35.600 --> 00:00:37.640]  為什麼要不住地禱告呢?
[00:00:37.640 --> 00:00:38.720]  有什麼用呢?
[00:00:38.720 --> 00:00:40.480]  耶穌不是教人
[00:00:40.480 --> 00:00:42.480]  祈禱不要說這麼多
[00:00:42.480 --> 00:00:43.880]  重複說的嗎?
[00:00:43.880 --> 00:00:45.520]  第三
[00:00:45.520 --> 00:00:47.920]  怎樣可以凡事者因呢?
[00:00:47.920 --> 00:00:49.400]  不開心
[00:00:49.400 --> 00:00:51.000]  怎樣感謝啊?
[00:00:51.000 --> 00:00:54.800]  其實這些問題反映的是
[00:00:54.800 --> 00:00:58.600]  有時候基督徒對基督徒生命的一個誤解
[00:00:58.600 --> 00:01:00.200]  但是這些誤解
[00:01:00.200 --> 00:01:03.880]  就為很多信徒產生一些不必要的憂慮
[00:01:03.880 --> 00:01:06.040]  有人可能常常擔心
[00:01:06.040 --> 00:01:08.200]  為什麼人做基督徒
[00:01:08.200 --> 00:01:09.160]  我做基督徒
[00:01:09.160 --> 00:01:10.880]  我做得這麼不開心呢?
[00:01:10.880 --> 00:01:14.200]  每個人回到教會都好像笑咪咪似的
[00:01:14.200 --> 00:01:15.960]  是不是我有什麼不對勁呢?
[00:01:15.960 --> 00:01:18.040]  是不是我做錯什麼事呢?
[00:01:18.040 --> 00:01:22.840]  回教會好像不要讓別人心情好
[00:01:22.840 --> 00:01:25.760]  說一句半句不喜歡的話
[00:01:25.760 --> 00:01:28.320]  就叫你去心理輔導一下
[00:01:28.320 --> 00:01:30.000]  一個個看心理輔導
[00:01:30.000 --> 00:01:31.560]  又叫你吃止痛藥
[00:01:31.560 --> 00:01:33.760]  再不然就開支興奮劑給你
[00:01:33.760 --> 00:01:35.240]  吃藥吃到暈暈頓頓
[00:01:35.240 --> 00:01:36.400]  怎麼上班啊?
[00:01:36.400 --> 00:01:40.320]  是不是做基督徒不可以流眼淚呢?
[00:01:40.320 --> 00:01:41.920]  是不是信耶穌
[00:01:41.920 --> 00:01:44.040]  就不可以傷心難過呢?
[00:01:44.040 --> 00:01:46.240]  是不是回到教會
[00:01:46.240 --> 00:01:47.200]  只可以說
[00:01:47.200 --> 00:01:49.320]  我們在這裡真的好了
[00:01:49.320 --> 00:01:51.080]  我們真的捨不得走了
[00:01:52.280 --> 00:01:53.600]  當然不是
[00:01:53.600 --> 00:01:55.920]  誰說基督徒不可以流眼淚呢?
[00:01:55.920 --> 00:01:58.720]  耶穌也會傷心難過
[00:01:58.720 --> 00:02:01.480]  醫學上有一個精神
[00:02:01.480 --> 00:02:04.000]  或者可以叫做情感的狀態
[00:02:04.000 --> 00:02:05.680]  叫做 euphoria
[00:02:05.680 --> 00:02:06.920]  恩快感
[00:02:06.920 --> 00:02:09.200]  通常可以形容為
[00:02:09.200 --> 00:02:10.320]  心情愉快
[00:02:10.320 --> 00:02:11.560]  無憂無慮
[00:02:11.560 --> 00:02:12.800]  興高采烈
[00:02:12.800 --> 00:02:13.720]  興奮
[00:02:13.720 --> 00:02:14.480]  喜悅
[00:02:14.480 --> 00:02:17.840]  但是醫學上 euphoria 的定義是
[00:02:18.000 --> 00:02:23.520]  情感狀態呈現出誇張的幸福和興高采烈的感覺
[00:02:23.520 --> 00:02:28.120]  尤其是和外界現實不符的情況之下
