
[00:00:00.000 --> 00:00:04.000]  不知大家有沒有記得上一次我講道的題目呢
[00:00:04.000 --> 00:00:07.000]  沒有講內容的題目 記不記得
[00:00:07.000 --> 00:00:10.000]  大家不會記得的
[00:00:10.000 --> 00:00:13.000]  新年啊 記得啊 OK
[00:00:13.000 --> 00:00:16.000]  啊 這麼厲害 新年新心境
[00:00:16.000 --> 00:00:18.000]  啊 還記得啊 厲害
[00:00:18.000 --> 00:00:21.000]  上一次和大家講我是新年新心境
[00:00:21.000 --> 00:00:24.000]  因為在哥倫多後書告訴我們
[00:00:24.000 --> 00:00:28.000]  保羅說雖然我們的肉身會扭壞
[00:00:28.000 --> 00:00:31.000]  但是我們的心一天 什麼啊
[00:00:31.000 --> 00:00:34.000]  生至一天 一個新的心境
[00:00:34.000 --> 00:00:37.000]  特別在新年的時候提醒我們
[00:00:37.000 --> 00:00:40.000]  真的需要一個新的心境
[00:00:40.000 --> 00:00:43.000]  三月 新年過了
[00:00:43.000 --> 00:00:48.000]  但是恩典沒有停止
[00:00:48.000 --> 00:00:51.000]  所以今天和大家講這個叫什麼
[00:00:51.000 --> 00:00:54.000]  新恩 新希望
[00:00:56.000 --> 00:01:00.000]  因為在主的恩典當中 時常都更新
[00:01:00.000 --> 00:01:03.000]  而且我們能夠靠著祂有活潑的盼望
[00:01:03.000 --> 00:01:07.000]  這個就是在耶利米哀歌
[00:01:07.000 --> 00:01:11.000]  Lamb不是姓林的那個 知不知道是什麼
[00:01:11.000 --> 00:01:14.000]  Lamentation 耶利米哀歌
[00:01:14.000 --> 00:01:17.000]  耶利米哀歌三章十九到二十五節
[00:01:17.000 --> 00:01:19.000]  我們應該不會太陌生的
[00:01:19.000 --> 00:01:23.000]  這段經文 就算陌生 起碼有一節都不陌生
[00:01:23.000 --> 00:01:28.000]  我們一起來讀一讀 由三章十九到二十五節
[00:01:28.000 --> 00:01:30.000]  我們同聲讀出 請讀
[00:01:53.000 --> 00:01:56.000]  「至於耶和華諸般的慈愛
[00:01:56.000 --> 00:02:00.000]  是因他的憐憫不自斷絕
[00:02:00.000 --> 00:02:03.000]  每早晨 這都是新的
[00:02:03.000 --> 00:02:07.000]  你的誠實極其廣大
[00:02:07.000 --> 00:02:11.000]  我心裡說 耶和華是我的佛
[00:02:11.000 --> 00:02:14.000]  因此我要仰望他
[00:02:14.000 --> 00:02:18.000]  凡等候耶和華 心裡尋求他的
[00:02:18.000 --> 00:02:22.000]  耶和華必是恩合客」
[00:02:22.000 --> 00:02:28.000]  是不是有一節很熟 哪一節很熟
[00:02:28.000 --> 00:02:30.000]  「每早晨 這都是新的」
[00:02:30.000 --> 00:02:32.000]  知不知道這節的經文
[00:02:32.000 --> 00:02:35.000]  應該很熟吧 熟不熟
[00:02:35.000 --> 00:02:37.000]  「每早晨 這都是新的」
[00:02:37.000 --> 00:02:41.000]  接著是「你的誠實極其廣大」
[00:02:41.000 --> 00:02:47.000]  出自哪裡的
