
[00:00:00.000 --> 00:00:02.260]  讓我們聆聽上帝說話的時候
[00:00:02.260 --> 00:00:04.260]  請我們先低頭祈禱
[00:00:04.260 --> 00:00:09.880]  親祖,我們感謝祢去招聚和帶領我們
[00:00:09.880 --> 00:00:11.880]  在祢的殿裡敬拜
[00:00:11.880 --> 00:00:14.300]  懇求聖靈與我們同在
[00:00:14.300 --> 00:00:17.420]  也與一眾未能夠在禮堂裡
[00:00:17.420 --> 00:00:21.960]  而是要用直播參與崇拜的每位弟兄姊妹
[00:00:21.960 --> 00:00:24.300]  願以我們能夠同感一鈴
[00:00:24.300 --> 00:00:27.300]  也以我們最渴慕和崇敬的心
[00:00:27.300 --> 00:00:28.800]  來到祢的面前
[00:00:29.080 --> 00:00:31.080]  讓聖靈賜予我們悟性
[00:00:31.080 --> 00:00:33.840]  能夠明白祢話語中的奧秘
[00:00:33.840 --> 00:00:36.720]  就算說的和聽的都同盟你的月立
[00:00:36.720 --> 00:00:38.720]  祈禱奉主明寇
[00:00:38.720 --> 00:00:40.720]  對嗎?
[00:00:40.720 --> 00:00:45.060]  最近我看了我的朋友的臉書
[00:00:45.060 --> 00:00:47.060]  他介紹了原來
[00:00:47.060 --> 00:00:49.480]  最近有一套韓劇
[00:00:49.480 --> 00:00:52.260]  叫做《女之女王》爆紅
[00:00:52.260 --> 00:00:58.780]  我的朋友說韓劇有一個很厲害的動作
[00:00:58.780 --> 00:01:02.460]  就是它很能夠描述人心裡的渴慕
[00:01:02.460 --> 00:01:05.160]  他說如果這套片爆紅
[00:01:05.160 --> 00:01:10.360]  正正能夠反映我們人心裡的渴慕
[00:01:10.360 --> 00:01:12.340]  渴慕什麼呢?
[00:01:12.340 --> 00:01:14.340]  因為這套戲只是代表
[00:01:14.340 --> 00:01:17.140]  講述年輕夫婦在危機之中
[00:01:17.140 --> 00:01:19.140]  如何修好的故事
[00:01:19.140 --> 00:01:24.380]  我的朋友說這套片正正是表達了
[00:01:24.380 --> 00:01:26.380]  我們心裡的渴慕
[00:01:26.380 --> 00:01:29.800]  能夠和人建立一個很真摯
[00:01:29.800 --> 00:01:31.800]  很真誠
[00:01:31.800 --> 00:01:35.140]  和能夠地久天長的一份感情
[00:01:35.140 --> 00:01:37.140]  不過我的朋友馬上就說
[00:01:37.140 --> 00:01:39.140]  他其實很諷刺
[00:01:39.140 --> 00:01:41.140]  因為在我們的世界
[00:01:41.140 --> 00:01:43.140]  活在我們的世界當中
[00:01:43.140 --> 00:01:45.140]  我們很講自由
[00:01:45.140 --> 00:01:47.140]  自由的意思是什麼?
[00:01:47.140 --> 00:01:49.140]  我們可以隨心所欲
[00:01:49.140 --> 00:01:51.140]  我可以做我想做的事
[00:01:51.140 --> 00:01:55.140]  但我們這個世界沒有告訴我們
[00:01:55.140 --> 00:01:59.140]  原來自由是伴隨一份的責任
[00:01:59.140 --> 00:02:01.140]  而當我從心所欲
[00:02:01.140 --> 00:02:03.140]  去做我想做的事的時候
[00:02:03.140 --> 00:02:07.140]  其實是要付代價的
