
[00:00:00.000 --> 00:00:04.380]  相信大家在教會的圈子裏面
[00:00:04.380 --> 00:00:09.000]  都會聽到有人這樣說
[00:00:09.000 --> 00:00:13.440]  「願神都與你同在」
[00:00:13.440 --> 00:00:17.780]  我相信很多時候我們都聽到有人這樣去講這些說話
[00:00:17.780 --> 00:00:22.320]  甚至我們可能自己都會講這些說話
[00:00:22.320 --> 00:00:25.080]  「願神與你同在」
[00:00:25.080 --> 00:00:27.180]  為甚麼會講這些說話呢?
[00:00:27.180 --> 00:00:31.760]  因為我們都相信這些是祝福的說話
[00:00:31.760 --> 00:00:36.960]  有神的同在一定是很美好的
[00:00:36.960 --> 00:00:42.480]  有神的同在、有神的保護、有神的看顧
[00:00:42.480 --> 00:00:48.700]  有神的加能、賜力、有神的指引
[00:00:48.700 --> 00:00:52.300]  因為有神的同在就有這樣的福分
[00:00:52.300 --> 00:00:57.060]  所以很多時候我們都願意去講這些祝福的說話
[00:00:57.060 --> 00:01:02.340]  我們亦都很多時候去聽到這些祝福的說話
[00:01:02.340 --> 00:01:06.900]  神的同在是非常美好的
[00:01:06.900 --> 00:01:10.280]  所以當我們有機會去看聖經的時候
[00:01:10.280 --> 00:01:12.200]  我們查考一下整本聖經
[00:01:12.200 --> 00:01:15.300]  我們發現「同在」這個字
[00:01:15.300 --> 00:01:19.000]  出現在聖經裏面差不多有150處
[00:01:19.000 --> 00:01:20.400]  是很多的
[00:01:20.400 --> 00:01:27.180]  而其中很多時候這個「同在」與神的「同在」的關係
[00:01:27.180 --> 00:01:29.380]  是更加的明顯的
[00:01:29.380 --> 00:01:32.620]  所以這個都是值得我們去思想一下
[00:01:32.620 --> 00:01:35.120]  去了解一下
[00:01:35.120 --> 00:01:39.000]  好了,雖然我們聽很多,或者我們都講很多
[00:01:39.000 --> 00:01:41.000]  但是我們有沒有想過
[00:01:41.000 --> 00:01:46.300]  究竟「神同在」的意思是怎樣呢?
[00:01:46.300 --> 00:01:51.020]  一些深入一點的意思又如何呢?
[00:01:51.020 --> 00:01:57.340]  讓我們今天在敬拜中、在整個話語中去學習多一點
[00:01:57.340 --> 00:02:01.280]  當我去嘗試了解這方面的教導的時候
[00:02:01.280 --> 00:02:03.840]  我就發現在聖經裏面
[00:02:03.840 --> 00:02:07.080]  可以說是起碼有兩個層面
[00:02:07.080 --> 00:02:11.480]  關於「神同在」的了解
[00:02:11.480 --> 00:02:12.660]  好了,是什麼呢?
[00:02:12.660 --> 00:02:14.020]  第一樣
[00:02:14.020 --> 00:02:17.160]  原來當我們講到「神同在」的時候
[00:02:17.160 --> 00:02:23.280]  那個意思是講到神是無所不在
[00:02:23.280 --> 00:02:25.340]  因為神是無限的神
[00:02:25.340 --> 00:02:28.740]  所以神是無所不在
[00:02:28.740 --> 00:02:30.840]  無論我們去到哪裡都好
[00:02:30.840 --> 00:02:33.240]  其實神都在的
[00:02:33.240 --> 00:02:37.620]  我們是很難去超越了去到某個地方、某個地域
