
[00:00:00.000 --> 00:00:05.540]  假如你是一個很邪惡的人
[00:00:05.540 --> 00:00:09.680]  你這一生的使命就是要推翻基督教
[00:00:09.680 --> 00:00:11.680]  要打沉基督教
[00:00:11.680 --> 00:00:14.560]  但基督教有這麼多的教義
[00:00:14.560 --> 00:00:16.560]  聖經記載了很多關於神的事
[00:00:16.560 --> 00:00:23.820]  歷屆的神學家 色經家都將這些真理歸納成教義
[00:00:23.820 --> 00:00:25.820]  其實有很多教義
[00:00:25.820 --> 00:00:31.960]  我又沒有那麼多時間一條一條地幫你推翻它
[00:00:31.960 --> 00:00:33.960]  那怎麼辦呢
[00:00:33.960 --> 00:00:35.960]  有沒有一條教義
[00:00:35.960 --> 00:00:40.300]  假如我可以成功地推翻的話
[00:00:40.300 --> 00:00:43.960]  就可以將基督教連根拔起呢
[00:00:43.960 --> 00:00:47.880]  這條教義如果推翻基督教就沒有存在的意義了
[00:00:47.880 --> 00:00:49.880]  有沒有呢 有的
[00:00:49.880 --> 00:00:53.240]  就是今天我們講的這條
[00:00:53.240 --> 00:00:57.260]  如果你可以成功地推翻基督的復活
[00:00:57.260 --> 00:00:59.260]  耶穌基督的死 復活
[00:00:59.260 --> 00:01:03.680]  基督教基本上就再沒有存在的價值了
[00:01:03.680 --> 00:01:05.680]  這是保羅講的
[00:01:05.680 --> 00:01:07.680]  等下解釋完你都會明白為什麼是這樣
[00:01:07.680 --> 00:01:13.680]  所以如果歷屆很有高智慧的人
[00:01:13.680 --> 00:01:15.680]  很憎恨基督教的人
[00:01:15.680 --> 00:01:17.680]  都經過無數次嘗試
[00:01:17.680 --> 00:01:19.680]  都試過說
[00:01:19.680 --> 00:01:21.680]  我們都想方法來推倒基督教
[00:01:21.680 --> 00:01:23.680]  朝哪個方向去呢
[00:01:23.680 --> 00:01:25.680]  所有聰明的人都懂得選擇這條
[00:01:25.680 --> 00:01:27.680]  因為他們都知道
[00:01:27.680 --> 00:01:31.680]  只要我可以證明主耶穌基督沒有復活這件事
[00:01:31.680 --> 00:01:37.680]  基本上如果今天有人成功推翻基督是沒有復活的
[00:01:37.680 --> 00:01:39.680]  基本上下星期開始
[00:01:39.680 --> 00:01:41.680]  就不需要再來敬拜了
[00:01:41.680 --> 00:01:43.680]  這些都是我們浪費時間
[00:01:43.680 --> 00:01:45.680]  下星期回來大家就吃喝玩樂
[00:01:45.680 --> 00:01:47.680]  該做什麼就做什麼
[00:01:47.680 --> 00:01:49.680]  所以這條教義是很重要的
[00:01:49.680 --> 00:01:51.680]  接著我們來看看
[00:01:51.680 --> 00:01:53.680]  這條我信身體復活信永生
[00:01:53.680 --> 00:01:55.680]  我們分兩個部份來講
[00:01:55.680 --> 00:01:57.680]  第一部份我們先來看看
[00:01:57.680 --> 00:01:59.680]  主耶穌基督復活的證據
[00:01:59.680 --> 00:02:01.680]  我想稍微簡單解釋一下
[00:02:01.680 --> 00:02:03.680]  第二部份我們先來看
[00:02:03.680 --> 00:02:05.680]  主耶穌的復活
[00:02:05.680 --> 00:02:07.680]  到底對我們來說
[00:02:07.680 --> 00:02:09.680]  有什麼重要的地方呢
[00:02:09.680 --> 00:02:11.680]  他意味著什麼呢
[00:02:11.680 --> 00:02:13.680]  和我們生活又會帶來什麼改變呢
[00:02:13.680 --> 00:02:15.680]  首先我們先來看
[00:02:15.680 --> 00:02:17.680]  主耶穌復活
[00:02:17.680 --> 00:02:19.680]  主耶穌基督復活的證據
[00:02:19.680 --> 00:02:21.680]  因為這個是牽涉到
[00:02:21.680 --> 00:02:23.680]  基督教生死的
[00:02:23.680 --> 00:02:25.680]  一條很重要的教義
[00:02:25.680 --> 00:02:27.680]  就是基督一定要有復活
[00:02:27.680 --> 00:02:29.680]  我們基督教才可以站得穩
[00:02:29.680 --> 00:02:31.680]  你的信仰才是有根有機的
[00:02:31.680 --> 00:02:33.680]  那基督
[00:02:33.680 --> 00:02:35.680]  耶穌基督的復活呢
[00:02:35.680 --> 00:02:37.680]  基本上他有
[00:02:37.680 --> 00:02:39.680]  三個很大的原因
[00:02:39.680 --> 00:02:41.680]  理由
[00:02:41.680 --> 00:02:43.680]  證據
[00:02:43.680 --> 00:02:45.680]  這三個證據就好像
[00:02:45.680 --> 00:02:47.680]  形成一個鐵三角的
[00:02:47.680 --> 00:02:49.680]  三條邊
[00:02:49.680 --> 00:02:51.680]  一個很堅固的三角形
[00:02:51.680 --> 00:02:53.680]  基本上是無懈可擊的
[00:02:53.680 --> 00:02:55.680]  你很難推翻的
[00:02:55.680 --> 00:02:57.680]  那我解釋給你聽
[00:02:57.680 --> 00:02:59.680]  為什麼很難推翻呢
[00:02:59.680 --> 00:03:01.680]  第一條邊
[00:03:01.680 --> 00:03:03.680]  證據就是空墳墓
[00:03:03.680 --> 00:03:05.680]  主耶穌在世的時候
[00:03:05.680 --> 00:03:07.680]  他死了
[00:03:07.680 --> 00:03:09.680]  但後來他的墳墓
[00:03:09.680 --> 00:03:11.680]  卻是空的
[00:03:11.680 --> 00:03:13.680]  意思是說你找不到他的屍體
[00:03:13.680 --> 00:03:15.680]  他是空的
[00:03:15.680 --> 00:03:17.680]  這是很難推翻的
[00:03:17.680 --> 00:03:19.680]  為什麼呢
[00:03:19.680 --> 00:03:21.680]  有幾個原因
[00:03:21.680 --> 00:03:23.680]  第一個原因
[00:03:23.680 --> 00:03:25.680]  當時猶太人很討厭基督教
[00:03:25.680 --> 00:03:27.680]  因為覺得基督是叛徒
[00:03:27.680 --> 00:03:29.680]  明明耶穌基督是猶太人
[00:03:29.680 --> 00:03:31.680]  我又不信耶穌基督是
[00:03:31.680 --> 00:03:33.680]  尼塞亞
[00:03:33.680 --> 00:03:35.680]  他明明死了
[00:03:35.680 --> 00:03:37.680]  又散播謠言
[00:03:37.680 --> 00:03:39.680]  他三天後會復活
[00:03:39.680 --> 00:03:41.680]  所以猶太人很討厭基督
[00:03:41.680 --> 00:03:43.680]  所以猶太人
[00:03:43.680 --> 00:03:45.680]  根據馬太科林的記載
[00:03:45.680 --> 00:03:47.680]  主耶穌死了之後
[00:03:47.680 --> 00:03:49.680]  他們就去找比拉多
[00:03:49.680 --> 00:03:51.680]  跟比拉多說
[00:03:51.680 --> 00:03:53.680]  這群人散播謠言
[00:03:53.680 --> 00:03:55.680]  說主耶穌基督三天後會復活
[00:03:55.680 --> 00:03:57.680]  那怎麼辦呢
[00:03:57.680 --> 00:03:59.680]  不如我們這樣
[00:03:59.680 --> 00:04:01.680]  可不可以派兵在門口守著呢
[00:04:01.680 --> 00:04:03.680]  所以他們一早就想到
[00:04:03.680 --> 00:04:05.680]  他們可能會來偷屍體
[00:04:05.680 --> 00:04:07.680]  然後騙人說主耶穌基督
[00:04:07.680 --> 00:04:09.680]  復活了
[00:04:09.680 --> 00:04:11.680]  他們一直都是用這個傳說
[00:04:11.680 --> 00:04:13.680]  這種理由去推翻空墳墓
[00:04:13.680 --> 00:04:15.680]  為什麼墳墓空了呢
[00:04:15.680 --> 00:04:17.680]  你們偷走屍體
[00:04:17.680 --> 00:04:19.680]  一直到第四世紀
[00:04:19.680 --> 00:04:21.680]  他們根本就出賣一本書
[00:04:21.680 --> 00:04:23.680]  叫做吐勒多耶穌
[00:04:23.680 --> 00:04:25.680]  吐勒多的意思就是希伯來文說的家譜
[00:04:25.680 --> 00:04:27.680]  那本書是寫到耶穌的生平
[00:04:27.680 --> 00:04:29.680]  耶穌的家譜
[00:04:29.680 --> 00:04:31.680]  那篇文獻
[00:04:31.680 --> 00:04:33.680]  就是從猶太人的角度看耶穌的一生
[00:04:33.680 --> 00:04:35.680]  所以到了最後
[00:04:35.680 --> 00:04:37.680]  耶穌死了之後
[00:04:37.680 --> 00:04:39.680]  他們給出的解釋
[00:04:39.680 --> 00:04:41.680]  就是耶穌死了之後
