
[00:00:00.000 --> 00:00:05.600]  在上一個禮拜,我們有位神學生做了第一任的爸爸
[00:00:05.600 --> 00:00:12.000]  他的兒子起了一個名字,名字叫「活賢」
[00:00:12.000 --> 00:00:14.400]  「活出神的聖賢」
[00:00:14.400 --> 00:00:16.800]  「活出神自己的道」
[00:00:16.800 --> 00:00:18.800]  「活出神自己的話語」
[00:00:18.800 --> 00:00:21.600]  這個名字都頗有意思
[00:00:21.600 --> 00:00:29.000]  日後如果有小朋友出生,都可以試試用這個名字
[00:00:29.000 --> 00:00:34.600]  上一個禮拜,曹牧師和我們來分享一個主題
[00:00:34.600 --> 00:00:40.600]  在耶利米蘇三章講到「我們悔改了嗎?」
[00:00:40.600 --> 00:00:44.400]  不知道大家記不記得曹牧師所講的
[00:00:44.400 --> 00:00:48.400]  他講到耶穌特赦了我們
[00:00:48.400 --> 00:00:53.600]  唯一的要求是我們接受特赦之後需要悔改
[00:00:53.600 --> 00:00:56.600]  一同經歷生命的蛻變
[00:00:56.600 --> 00:01:03.400]  這樣我們就少了驕傲、少了嫉妒、少了憤怒、少了貪心等等
[00:01:03.400 --> 00:01:07.200]  當我們聽完曹牧師的訊息的時候
[00:01:07.200 --> 00:01:15.800]  我們有沒有實踐、應用和真正走出來呢?
[00:01:15.800 --> 00:01:23.000]  我們有沒有少一點的貪心、少一點的憤怒、少一點的嫉妒、少一點的驕傲呢?
[00:01:23.000 --> 00:01:29.000]  又或者在我們的承載班裡,在這一季我們查考《啟示錄》的七教會
[00:01:29.000 --> 00:01:32.600]  經文,神的道有沒有對你說話呢?
[00:01:32.600 --> 00:01:38.000]  神的道有沒有挑戰你去悔改、去更新
[00:01:38.000 --> 00:01:39.800]  甚至去建立一些新的習慣
[00:01:39.800 --> 00:01:44.400]  有沒有一些事情,神叫我們停止去做呢?
[00:01:44.400 --> 00:01:47.600]  所以今天我和大家分享一段經文
[00:01:47.600 --> 00:01:51.600]  是在《雅各書》一章十九至二十七節
[00:01:51.600 --> 00:01:57.400]  題目是「真的虔誠,聽道且行道」
[00:01:57.400 --> 00:02:01.400]  我們一起讀完這一段經文,十九至二十七節
[00:02:01.400 --> 00:02:07.800]  「但你們各人要快快地聽,慢慢地說,慢慢地動腦
[00:02:07.800 --> 00:02:12.800]  因為人的怒氣並不成就神的義
[00:02:12.800 --> 00:02:18.200]  所以你們要脫去一切的污穢和盈餘的邪惡
[00:02:18.200 --> 00:02:22.400]  全溫柔的心領受那所栽種的道
[00:02:22.400 --> 00:02:25.400]  就是能救你們靈魂的道
[00:02:25.400 --> 00:02:29.600]  只是你們要行道,不要單單聽道
[00:02:29.600 --> 00:02:31.800]  自己欺控自己
[00:02:31.800 --> 00:02:34.400]  因為聽道而不行道的
[00:02:34.400 --> 00:02:38.800]  就像人對著鏡子看自己本來的面目
[00:02:38.800 --> 00:02:44.000]  看見走後,隨即忘了他的相貌如何
[00:02:44.000 --> 00:02:51.400]  唯有詳細察看那全被使人自由之律法的事實如此
