
[00:00:00.000 --> 00:00:02.240]  在這幾個月當中
[00:00:02.240 --> 00:00:04.040]  我們常常提及
[00:00:04.040 --> 00:00:06.640]  祝福的行動
[00:00:06.640 --> 00:00:10.360]  祝福的計劃、行動
[00:00:10.360 --> 00:00:13.560]  是只要為別人禱告
[00:00:13.560 --> 00:00:16.280]  聆聽別人的分享
[00:00:16.280 --> 00:00:18.480]  和他們吃飯
[00:00:18.480 --> 00:00:21.680]  幫助那些有需要的人
[00:00:21.680 --> 00:00:25.320]  和別人分享耶穌基督的福音
[00:00:25.320 --> 00:00:27.880]  這個祝福的行動
[00:00:27.880 --> 00:00:33.000]  是關乎我們生活的方式
[00:00:33.000 --> 00:00:35.280]  生活的態度
[00:00:35.280 --> 00:00:38.480]  除此之外我們曾經思想過
[00:00:38.480 --> 00:00:42.080]  守安息、得安息
[00:00:42.080 --> 00:00:43.920]  我們又思想過
[00:00:43.920 --> 00:00:46.520]  要熱切地去工作
[00:00:46.520 --> 00:00:49.760]  要熱切地去侍奉
[00:00:49.760 --> 00:00:53.320]  這些都是關於我們生活的態度
[00:00:53.320 --> 00:00:55.520]  生活的方式
[00:00:55.520 --> 00:00:58.720]  而在今午這段時間
[00:00:58.720 --> 00:01:00.920]  我要和大家思想另一個
[00:01:00.920 --> 00:01:04.440]  生活的態度、生活的方式
[00:01:04.440 --> 00:01:10.120]  就是小事中心的態度和方式
[00:01:10.120 --> 00:01:14.640]  我們一同禱告
[00:01:14.640 --> 00:01:16.320]  親愛的主
[00:01:16.320 --> 00:01:18.360]  我們在祢的當中
[00:01:18.360 --> 00:01:21.480]  我們一同去敬拜祢
[00:01:21.480 --> 00:01:24.960]  光彩我們為我們的國家禱告
[00:01:24.960 --> 00:01:28.000]  我們提及到傳福音
[00:01:28.000 --> 00:01:29.440]  在今早的早上
[00:01:29.440 --> 00:01:34.000]  我們在不同的崇拜當中
[00:01:34.000 --> 00:01:39.480]  我們都提及到傳祢和平的福音
[00:01:39.480 --> 00:01:42.200]  主日求祢幫助我們
[00:01:42.200 --> 00:01:46.000]  讓我們有生命的見證
[00:01:46.000 --> 00:01:49.400]  能夠見證祢的福音的真實
[00:01:49.400 --> 00:01:51.040]  今日我們眾弟兄姊妹們
[00:01:51.040 --> 00:01:54.480]  一同要領受祢給我們的話語
[00:01:54.480 --> 00:01:57.680]  求祢讓我們每一人都聽得見
[00:01:57.680 --> 00:01:59.680]  我們一同去相信
