
[00:00:00.000 --> 00:00:04.000]  鄧英主媒 早安
[00:00:04.000 --> 00:00:11.000]  有人說2008年奧巴馬贏了一場很精彩的選舉
[00:00:11.000 --> 00:00:15.000]  因為那場是一個以弱勝強的經典
[00:00:15.000 --> 00:00:19.000]  當時奧巴馬選了一句口號
[00:00:19.000 --> 00:00:21.000]  叫做「改變」
[00:00:21.000 --> 00:00:25.000]  這個口號成功地擊中了很多美國人的心聲
[00:00:25.000 --> 00:00:28.000]  因為他們一直想求改變
[00:00:28.000 --> 00:00:30.000]  我們現在很多的選舉
[00:00:30.000 --> 00:00:32.000]  我們看到那些新崛起的參選人
[00:00:32.000 --> 00:00:35.000]  都以「改變」作為他們選舉的口號
[00:00:35.000 --> 00:00:38.000]  來爭取選民的支持
[00:00:38.000 --> 00:00:42.000]  人在不滿意的狀況裏面尋求改變
[00:00:42.000 --> 00:00:44.000]  是人之常情
[00:00:44.000 --> 00:00:47.000]  二千多年前一個民族
[00:00:47.000 --> 00:00:49.000]  他們都期待一個領袖
[00:00:49.000 --> 00:00:52.000]  帶領他們脫離一個困境
[00:00:52.000 --> 00:00:54.000]  他們就是以色列民
[00:00:54.000 --> 00:00:57.000]  當時他們正在羅馬統治之下
[00:00:57.000 --> 00:00:59.000]  他們尋求改變
[00:00:59.000 --> 00:01:03.000]  等待聖經所應許的那位救主的出現
[00:01:03.000 --> 00:01:05.000]  但想都沒想過
[00:01:05.000 --> 00:01:08.000]  這位期待已久的領袖
[00:01:08.000 --> 00:01:10.000]  不單止在馬槽出世
[00:01:10.000 --> 00:01:15.000]  更在加利利一個不起眼的地方
[00:01:15.000 --> 00:01:17.000]  加拿大開始了他的工作
[00:01:17.000 --> 00:01:20.000]  向人顯露他的身份
[00:01:20.000 --> 00:01:22.000]  今天我們就一起看看
[00:01:22.000 --> 00:01:24.000]  耶穌所行的頭一個神蹟
[00:01:24.000 --> 00:01:26.000]  以水變酒
[00:01:26.000 --> 00:01:29.000]  我希望用三個問題
[00:01:29.000 --> 00:01:31.000]  來帶領大家一起思考
[00:01:31.000 --> 00:01:34.000]  誰是婚宴的新郎
[00:01:34.000 --> 00:01:36.000]  誰是真正的主人
[00:01:36.000 --> 00:01:40.000]  最後我們看看誰是大能的改變者
[00:01:40.000 --> 00:01:43.000]  經文的開頭說到
[00:01:43.000 --> 00:01:45.000]  耶穌參加過婚禮
[00:01:45.000 --> 00:01:49.000]  猶太人是一個喜歡宴樂和慶典的民族
[00:01:49.000 --> 00:01:51.000]  有婚禮的時間
[00:01:51.000 --> 00:01:55.000]  親朋戚友都從很遠的地方來參加婚禮
[00:01:55.000 --> 00:01:59.000]  婚禮通常都在新郎家舉行
[00:01:59.000 --> 00:02:01.000]  猶太人的婚禮有一個特點
