
[00:00:00.000 --> 00:00:02.000]  各位朋友們早安
[00:00:02.000 --> 00:00:07.000]  很高興今天可以用這個時間來為各位分享心事
[00:00:07.000 --> 00:00:10.000]  那麼第三個禮拜我基本上要分享的是
[00:00:10.000 --> 00:00:15.000]  聖靈的禮道恩賜和祂的功術
[00:00:15.000 --> 00:00:19.000]  因為你要去瞭解祂
[00:00:19.000 --> 00:00:22.000]  如果你去看使徒信經
[00:00:22.000 --> 00:00:25.000]  路德會他們每次都要讀一遍
[00:00:25.000 --> 00:00:27.000]  祂叫做我信耶穌
[00:00:27.000 --> 00:00:29.000]  我信上帝等等
[00:00:29.000 --> 00:00:31.000]  總共有十八句
[00:00:31.000 --> 00:00:35.000]  祂有三句是講說我信上帝
[00:00:35.000 --> 00:00:40.000]  有十二句是講說我信耶穌
[00:00:40.000 --> 00:00:44.000]  各位猜猜有幾句是講說我信聖靈呢
[00:00:44.000 --> 00:00:46.000]  一句
[00:00:46.000 --> 00:00:48.000]  哎呀
[00:00:48.000 --> 00:00:51.000]  所以我們真的是要來好好講一下
[00:00:51.000 --> 00:00:55.000]  這個三義正神的第三位
[00:00:55.000 --> 00:00:58.000]  聖父、聖子、聖女
[00:00:58.000 --> 00:01:01.000]  有的時候我們問人家說
[00:01:01.000 --> 00:01:03.000]  到底什麼叫三義正神呢
[00:01:03.000 --> 00:01:05.000]  有的人他會說
[00:01:05.000 --> 00:01:08.000]  是聖父、聖子、聖女
[00:01:08.000 --> 00:01:10.000]  但是我們不知道
[00:01:10.000 --> 00:01:13.000]  是聖父、聖子、聖女
[00:01:13.000 --> 00:01:15.000]  那麼我以前剛出來的時候
[00:01:15.000 --> 00:01:18.000]  我是靜心會的牧師
[00:01:18.000 --> 00:01:21.000]  我記得我那個時候我的主任牧師呢
[00:01:21.000 --> 00:01:24.000]  他最喜歡講的一句話就是
[00:01:24.000 --> 00:01:29.000]  念三章六節數字三六
[00:01:29.000 --> 00:01:32.000]  三愛四仁是我們講的儒釋字
[00:01:32.000 --> 00:01:36.000]  釋迦牟教一些信上不知滅亡的凡惡用詞
[00:01:36.000 --> 00:01:39.000]  不錯吧很好
[00:01:39.000 --> 00:01:42.000]  但是我們更喜歡的是
[00:01:42.000 --> 00:01:45.000]  或者我們更執著的是
[00:01:45.000 --> 00:01:49.000]  十一八又叫五十八句
[00:01:49.000 --> 00:01:51.000]  它是說除了靈在我身上
[00:01:51.000 --> 00:01:54.000]  它有高傲
[00:01:54.000 --> 00:01:56.000]  叫我穿冰與貧窮的人
[00:01:56.000 --> 00:01:59.000]  醫治瞎眼的人都看見
[00:01:59.000 --> 00:02:03.000]  才叫我報告被虜的人都釋放
[00:02:03.000 --> 00:02:07.000]  所以越納人的洗臉不是更棒嗎
[00:02:07.000 --> 00:02:09.000]  他也講述傳統英文
[00:02:09.000 --> 00:02:12.000]  但是他也講到聖人的工作
[00:02:12.000 --> 00:02:13.000]  醫治
[00:02:13.000 --> 00:02:19.000]  他也講到聖靈在我們中間運行等等
[00:02:19.000 --> 00:02:21.000]  這一個主日
[00:02:21.000 --> 00:02:23.000]  我們都要講聖靈很好
[00:02:23.000 --> 00:02:25.000]  人事方面的事情
[00:02:25.000 --> 00:02:27.000]  上次我講的是
[00:02:27.000 --> 00:02:31.000]  釋迦永沒有醫治很高
[00:02:31.000 --> 00:02:33.000]  我們有的時候看到
[00:02:33.000 --> 00:02:35.000]  你為某某大牌將軍
[00:02:35.000 --> 00:02:38.000]  為人暗手人就病得醫治
[00:02:38.000 --> 00:02:43.000]  卻為什麼你暗手為人
[00:02:43.000 --> 00:02:46.000]  人就病不得醫治呢
[00:02:46.000 --> 00:02:50.000]  其實道理也蠻簡單的
[00:02:50.000 --> 00:02:52.000]  我們看聖經就知道
[00:02:52.000 --> 00:02:55.000]  耶穌基督祂是上十字架
[00:02:55.000 --> 00:02:58.000]  所以釋迦能高永留
[00:02:58.000 --> 00:03:00.000]  醫治能高永留
[00:03:00.000 --> 00:03:03.000]  如果說我們有一個心智
[00:03:03.000 --> 00:03:07.000]  我們願意背起我們的釋迦來跟隨神
[00:03:07.000 --> 00:03:11.000]  我們願意像耶穌一樣
[00:03:11.000 --> 00:03:14.000]  受鞭撒受鞭打
[00:03:14.000 --> 00:03:18.000]  甚至於獻上生命當作活祭
