
[00:00:00.000 --> 00:00:02.000]  頂姊妹當我站在這裏的時候
[00:00:02.000 --> 00:00:04.000]  我要感恩
[00:00:04.000 --> 00:00:06.000]  因為生命不是必然的
[00:00:06.000 --> 00:00:10.000]  能夠有機會來崇拜
[00:00:10.000 --> 00:00:12.000]  我們真的要好好珍惜
[00:00:12.000 --> 00:00:16.000]  知名企業家華倫巴菲特
[00:00:16.000 --> 00:00:18.000]  曾經在一次演講當中
[00:00:18.000 --> 00:00:20.000]  問他
[00:00:20.000 --> 00:00:22.000]  你認為甚麼是真正的成功呢?
[00:00:22.000 --> 00:00:24.000]  幸福的人生
[00:00:24.000 --> 00:00:26.000]  是怎樣呢?
[00:00:26.000 --> 00:00:28.000]  可能大家都會想
[00:00:28.000 --> 00:00:30.000]  講一些投資之道
[00:00:30.000 --> 00:00:32.000]  但很奇怪
[00:00:32.000 --> 00:00:34.000]  他說
[00:00:34.000 --> 00:00:36.000]  其實一個人的成功
[00:00:36.000 --> 00:00:38.000]  成就
[00:00:38.000 --> 00:00:40.000]  並非完全是用物質來衡量
[00:00:40.000 --> 00:00:42.000]  而在你一生當中
[00:00:42.000 --> 00:00:44.000]  你善待過
[00:00:44.000 --> 00:00:46.000]  多少人
[00:00:46.000 --> 00:00:48.000]  幫助多少人實現他們的夢想
[00:00:48.000 --> 00:00:52.000]  最後他說
[00:00:52.000 --> 00:00:54.000]  幸福的關鍵在於我們有沒有活在
[00:00:54.000 --> 00:00:56.000]  愛的關係裏面
[00:00:58.000 --> 00:01:00.000]  巴菲特擁有很多財富
[00:01:00.000 --> 00:01:02.000]  對於他所賺的錢
[00:01:02.000 --> 00:01:04.000]  他沒有任何的
[00:01:04.000 --> 00:01:06.000]  罪惡感
[00:01:06.000 --> 00:01:08.000]  因為他不是偷不是搶
[00:01:08.000 --> 00:01:10.000]  他也知道他的錢將來
[00:01:10.000 --> 00:01:12.000]  會成為社會
[00:01:12.000 --> 00:01:14.000]  可以兌現的支票
[00:01:14.000 --> 00:01:18.000]  他在2006年的時候
[00:01:18.000 --> 00:01:20.000]  承諾將他的資產
[00:01:20.000 --> 00:01:22.000]  捐給不同的慈善機構
[00:01:22.000 --> 00:01:26.000]  有一次我去探望
[00:01:26.000 --> 00:01:28.000]  一位弟兄的爸爸
[00:01:28.000 --> 00:01:30.000]  我希望透過
[00:01:30.000 --> 00:01:32.000]  那次的探訪
[00:01:32.000 --> 00:01:34.000]  除了關心世伯之外
[00:01:34.000 --> 00:01:36.000]  能夠將福音帶給他
[00:01:36.000 --> 00:01:38.000]  當我向世伯
[00:01:38.000 --> 00:01:40.000]  說到信耶穌的事
[00:01:40.000 --> 00:01:42.000]  世伯就這樣說
[00:01:42.000 --> 00:01:44.000]  說是沒有用的
[00:01:44.000 --> 00:01:46.000]  最重要是做出來
[00:01:46.000 --> 00:01:48.000]  多次都這樣說
[00:01:48.000 --> 00:01:50.000]  當他說的時候
[00:01:50.000 --> 00:01:52.000]  不是看著我
[00:01:52.000 --> 00:01:54.000]  是看著他的兒子
[00:01:54.000 --> 00:01:56.000]  我坐在他們之間
[00:01:56.000 --> 00:01:58.000]  多次都這樣說
[00:01:58.000 --> 00:02:00.000]  說是沒有用的
[00:02:00.000 --> 00:02:02.000]  要做出來
[00:02:02.000 --> 00:02:04.000]  我心裡就這樣想
[00:02:04.000 --> 00:02:06.000]  這位世伯
[00:02:06.000 --> 00:02:08.000]  可能他也聽過
[00:02:08.000 --> 00:02:10.000]  他的兒子要去信耶穌的事
[00:02:10.000 --> 00:02:12.000]  但同時他也看不到
[00:02:12.000 --> 00:02:14.000]  他的兒子的生命
[00:02:14.000 --> 00:02:16.000]  有什麼不同
[00:02:16.000 --> 00:02:18.000]  他也看不到他的兒子
[00:02:18.000 --> 00:02:20.000]  有什麼積極的人生方向
[00:02:22.000 --> 00:02:24.000]  之後我也勸勉這位弟兄
[00:02:24.000 --> 00:02:26.000]  提醒他
[00:02:26.000 --> 00:02:28.000]  你要你爸爸信耶穌
[00:02:28.000 --> 00:02:30.000]  你的見證也非常重要
[00:02:30.000 --> 00:02:34.000]  一位企業家
[00:02:34.000 --> 00:02:36.000]  他看到成功或幸福
[00:02:36.000 --> 00:02:38.000]  是在於如何善待人
[00:02:38.000 --> 00:02:40.000]  或幫助過多少人
[00:02:40.000 --> 00:02:42.000]  去實現他們的夢想
[00:02:42.000 --> 00:02:44.000]  活在愛的關係裡面
[00:02:44.000 --> 00:02:48.000]  事實上
[00:02:48.000 --> 00:02:50.000]  他兌現了他的承諾
[00:02:50.000 --> 00:02:52.000]  他把不同的錢
[00:02:52.000 --> 00:02:54.000]  放在不同的基金裡面
[00:02:54.000 --> 00:02:56.000]  幫助有需要的人
[00:02:56.000 --> 00:02:58.000]  以至於這位企業家
[00:02:58.000 --> 00:03:00.000]  在2007年的時候
[00:03:00.000 --> 00:03:02.000]  獲選時代雜誌
[00:03:02.000 --> 00:03:04.000]  其中一位很有影響力的人
[00:03:04.000 --> 00:03:06.000]  相反
[00:03:06.000 --> 00:03:08.000]  一個沒有積極的人生
[00:03:08.000 --> 00:03:10.000]  目標或好的
[00:03:10.000 --> 00:03:12.000]  見證的基督徒
[00:03:12.000 --> 00:03:14.000]  原來可能成為他家人
[00:03:14.000 --> 00:03:16.000]  信主的絆腳石
[00:03:18.000 --> 00:03:20.000]  你對自己的人生
[00:03:20.000 --> 00:03:22.000]  有什麼期望
[00:03:22.000 --> 00:03:24.000]  抱負呢?
[00:03:24.000 --> 00:03:26.000]  信仰對於你來說
[00:03:26.000 --> 00:03:28.000]  是一回事嗎?
[00:03:28.000 --> 00:03:32.000]  今天很願意
