
[00:00:00.000 --> 00:00:04.040]  讓我們在正道之先一起同心祈禱
[00:00:04.040 --> 00:00:08.840]  慈悲仁愛的上主
[00:00:08.840 --> 00:00:10.760]  願我口中的言語
[00:00:10.760 --> 00:00:12.160]  心裡的意念
[00:00:12.160 --> 00:00:13.960]  都蒙你月亮
[00:00:13.960 --> 00:00:16.080]  祈禱奉主名求
[00:00:16.080 --> 00:00:18.080]  誠心所願
[00:00:18.080 --> 00:00:22.640]  今天是章林祈的第一主日
[00:00:22.640 --> 00:00:25.040]  牧師已經跟我們說了
[00:00:25.040 --> 00:00:33.640]  即是我們已經進入了教會禮儀年新的一年開始
[00:00:33.640 --> 00:00:36.000]  在這個新的一年裡
[00:00:36.000 --> 00:00:40.760]  我們會經歷一個四個星期的預備期
[00:00:40.760 --> 00:00:45.200]  這個預備期就叫做章林期
[00:00:45.200 --> 00:00:51.320]  我們要預備一件很重要很重要很重要的事
[00:00:51.320 --> 00:00:53.760]  重要的事要說三次
[00:00:53.760 --> 00:00:58.840]  就是我們的救主耶穌基督降臨的日子
[00:00:58.840 --> 00:01:03.160]  基督的降臨為這個世界帶來了盼望
[00:01:03.160 --> 00:01:05.480]  根深和拯救
[00:01:05.480 --> 00:01:08.840]  就好像我們今天點燃的第一支蠟燭
[00:01:08.840 --> 00:01:10.720]  盼望之燭一樣
[00:01:10.720 --> 00:01:15.080]  基督的降臨就是為這個世界帶來一點光明
[00:01:15.080 --> 00:01:18.280]  以照亮整個黑暗的世界
[00:01:18.280 --> 00:01:23.000]  基督的降臨實在是一個普世歡騰的日子
[00:01:23.000 --> 00:01:25.000]  既然主基督的降臨
[00:01:25.000 --> 00:01:28.520]  對我們每一位無論是已經信了耶穌
[00:01:28.520 --> 00:01:30.600]  還是未認識主耶穌的人
[00:01:30.600 --> 00:01:32.600]  都是這麼重要的話
[00:01:32.600 --> 00:01:35.000]  我們當然作為信徒
[00:01:35.000 --> 00:01:41.120]  要好好地預備去迎接這個神聖的時刻
[00:01:41.120 --> 00:01:45.600]  而事實上章林期這個準備的節期
[00:01:45.600 --> 00:01:50.120]  不單止是為了我們準備進入聖誕節
[00:01:50.120 --> 00:01:54.000]  一個很歡樂的氣氛裏面這麼簡單
[00:01:54.000 --> 00:01:55.840]  更加重要的是
[00:01:55.840 --> 00:01:58.120]  我們怎樣去做好準備
[00:01:58.120 --> 00:02:03.320]  迎接我們的主基督再臨的日子
[00:02:03.320 --> 00:02:08.720]  所以如果大家有閱讀《三代經課》的習慣
[00:02:08.720 --> 00:02:13.560]  你不難發現到章林期的《三代經課》的主題
[00:02:13.560 --> 00:02:16.680]  其實一開始特別是頭兩個星期
[00:02:16.680 --> 00:02:21.560]  就會圍繞著主基督再來臨的時候
[00:02:21.560 --> 00:02:25.760]  末後發生的情況
[00:02:25.760 --> 00:02:30.680]  當然這個情況究竟何時會來臨呢?
[00:02:30.680 --> 00:02:34.440]  這個就真的好像我的題目裏面所說
[00:02:34.440 --> 00:02:39.120]  是一個沒有人知道的日子
[00:02:39.120 --> 00:02:43.000]  既然是一個不會有人知道的日子
[00:02:43.000 --> 00:02:47.040]  那麼時間就不是一個重點
[00:02:47.040 --> 00:02:49.920]  我們就不要搞錯重點
[00:02:49.920 --> 00:02:52.440]  重點是我們的主耶穌
[00:02:52.440 --> 00:02:54.640]  祂親自告訴我們
