
[00:00:00.000 --> 00:00:05.000]  明天是父親節,但是不知道有沒有機會有跨家庭的聚會
[00:00:05.000 --> 00:00:10.000]  願神祝福我們香港能夠在我們的生活當中有祂的恩典
[00:00:10.000 --> 00:00:19.000]  正因為明天是父親節,所以我就想不如今天跟大家分享有關家庭的訊息
[00:00:19.000 --> 00:00:26.000]  香港每年的六月第三個禮拜就是父親節,大家知道五月第二個禮拜就是母親節
[00:00:26.000 --> 00:00:30.000]  不知道大家有沒有聽過國際家庭年呢?
[00:00:30.000 --> 00:00:39.000]  在每一年的五月十五日,聯合國定為國際家庭年
[00:00:39.000 --> 00:00:43.000]  一九九四年開始,還有兩年就三十年了
[00:00:43.000 --> 00:00:50.000]  究竟這三十年來全球家庭的狀況是怎樣呢?
[00:00:50.000 --> 00:01:00.000]  既然聯合國要定一個家庭日的話,相信全球是一個思想的狀況
[00:01:00.000 --> 00:01:03.000]  你和我都有家庭經驗的
[00:01:03.000 --> 00:01:11.000]  以後我給大家十秒鐘的時間,給家一個定義,開始!
[00:01:18.000 --> 00:01:20.000]  我心酸了十下了
[00:01:20.000 --> 00:01:26.000]  每一個人對家都有一個經驗,你怎樣為家做一個定義呢?
[00:01:26.000 --> 00:01:33.000]  英國多年前有個報館邀請一些讀者,不如給家一個定義,收了很多份
[00:01:33.000 --> 00:01:38.000]  當中其中有一兩份覺得不錯的,我將其中一份跟大家去講
[00:01:38.000 --> 00:01:40.000]  先給大家一個英文
[00:01:40.000 --> 00:01:44.000]  Home the father's kingdom, the mother's world, and the child's paradise
[00:01:44.000 --> 00:01:52.000]  好靚呀!家係父親的王國,母親的世界,孩子的樂園,靚唔靚呀?
[00:01:52.000 --> 00:02:00.000]  每一個人在家裡都有這個地位,每一個人都有一個身份
[00:02:00.000 --> 00:02:03.000]  的確家好像一個樂園一樣
[00:02:03.000 --> 00:02:09.000]  換言之,我們在這個家當中可以互相享受愛,可以有這個接納
[00:02:09.000 --> 00:02:15.000]  好似溫室一樣,外面風雨多大都好,回到家裡,我們是受保護的
[00:02:15.000 --> 00:02:19.000]  我們不需要在家裡有什麼作狀
[00:02:19.000 --> 00:02:23.000]  在外面,我們給一個好的印象
[00:02:23.000 --> 00:02:27.000]  回到家裡,真的可以流露的
[00:02:27.000 --> 00:02:32.000]  是一個溫室,有休息,有成長,還有被栽培
[00:02:32.000 --> 00:02:37.000]  像一個宮殿一樣,每一個人都有尊貴的身份
[00:02:37.000 --> 00:02:41.000]  爸爸好像王國那樣,媽媽來講,這個就是他那個的世界
[00:02:41.000 --> 00:02:46.000]  孩子來講,這個是一個宮殿,每一個都是小王子,小公主
[00:02:46.000 --> 00:02:52.000]  多靚呀!但當我們看新聞的時候,是不是仍然這麼靚呢?
[00:02:52.000 --> 00:02:58.000]  至少我們基督教的家庭長大,因為我們父母不是完全人
[00:02:58.000 --> 00:03:04.000]  所以在教養過程當中,難免因著他們的原生家庭影響我們的父母
[00:03:04.000 --> 00:03:08.000]  因此要在我的父母帶領的原生家庭之下,產生了我
[00:03:08.000 --> 00:03:11.000]  你和我都是家庭的產品來的
[00:03:11.000 --> 00:03:16.000]  究竟我這個家的成長,那個經驗會是怎樣呢?
[00:03:16.000 --> 00:03:20.000]  上帝讓我們出生之後,放在家裡
[00:03:20.000 --> 00:03:22.000]  大家聽得明白我說什麼嗎?
[00:03:22.000 --> 00:03:27.000]  很多的動物出生之後,很快就能夠某一方面獨立
[00:03:27.000 --> 00:03:35.000]  大家看一些紀錄片,一些四隻腳那些,一落地,很快就可以站立
[00:03:35.000 --> 00:03:39.000]  就可以走,當然那些貓貓狗狗可能一兩個星期才會贏
