
[00:00:00.000 --> 00:00:04.000]  今天我們來講的題目是我們怎麼樣能夠建立一間
[00:00:04.000 --> 00:00:08.000]  一起來建立一間能夠幫助我們逆流而上的教會
[00:00:08.000 --> 00:00:12.000]  其實要找教會並不簡單並不容易
[00:00:12.000 --> 00:00:16.000]  過去我接觸在這六年當中接觸很多很多的學生
[00:00:16.000 --> 00:00:19.000]  在我們的教會信主在教會侍奉
[00:00:19.000 --> 00:00:23.000]  然後畢業之後他們無論是因為找不到工作的原因
[00:00:23.000 --> 00:00:27.000]  還是其他的原因他們要回國要回到香港
[00:00:27.000 --> 00:00:31.000]  大部分我所認識的離開這邊回到香港的
[00:00:31.000 --> 00:00:33.000]  都說很難找到教會
[00:00:33.000 --> 00:00:36.000]  也很難找到一間他真的覺得可以融入在裡面
[00:00:36.000 --> 00:00:40.000]  他覺得很喜歡的教會所以他們找了很久
[00:00:40.000 --> 00:00:44.000]  有些很可惜在這邊回教會回得不錯
[00:00:44.000 --> 00:00:48.000]  可是去到香港或者回到國內就很難找到適合的教會
[00:00:48.000 --> 00:00:49.000]  後來就沒去了
[00:00:49.000 --> 00:00:51.000]  那麼我記得我剛剛信主的時候
[00:00:51.000 --> 00:00:54.000]  我的牧師也有跟我講過找教會的事情
[00:00:54.000 --> 00:00:57.000]  他說不要期待去找一間完美的教會
[00:00:57.000 --> 00:01:00.000]  因為第一那種教會不存在
[00:01:00.000 --> 00:01:03.000]  那麼第二就算你找到一間完美的你也千萬不要去
[00:01:03.000 --> 00:01:05.000]  因為你一去人家就變得不完美了
[00:01:05.000 --> 00:01:08.000]  人家教會本來相處得非常和睦
[00:01:08.000 --> 00:01:11.000]  你一去人家就鬧分裂那到底是誰的問題呢
[00:01:11.000 --> 00:01:13.000]  那當然是我們自己的問題
[00:01:13.000 --> 00:01:15.000]  所以教會並沒有完美的教會
[00:01:15.000 --> 00:01:19.000]  可是在教會當中我們需要建立一間
[00:01:19.000 --> 00:01:26.000]  能夠幫助弟兄姊妹能夠在世俗的洪流當中
[00:01:26.000 --> 00:01:29.000]  能夠站立得穩能夠有見證的教會
[00:01:29.000 --> 00:01:33.000]  那麼今天我們來繼續看哥羅西書二章一到五節
[00:01:33.000 --> 00:01:36.000]  那麼我們這個系列其實一直在看哥羅西書
[00:01:36.000 --> 00:01:39.000]  所以我們一直一章一節的看
[00:01:39.000 --> 00:01:41.000]  我們今天看到二章一到五節
[00:01:41.000 --> 00:01:45.000]  我們看看保羅對教會有一個什麼樣的期待
[00:01:45.000 --> 00:01:48.000]  他希望哥羅西教會變成一個什麼樣的教會
[00:01:48.000 --> 00:01:50.000]  那麼我們一起來讀這段聖經好不好
[00:01:50.000 --> 00:01:52.000]  一到五節一段不是很長的聖經
[00:01:52.000 --> 00:01:55.000]  也印在上面我們一起來讀
[00:01:55.000 --> 00:01:56.000]  我願意你們曉得
[00:01:56.000 --> 00:01:58.000]  我為你們和老底家人
[00:01:58.000 --> 00:02:01.000]  並一切沒有與我親自見面的人
[00:02:01.000 --> 00:02:06.000]  是何等的盡心洩力要教他們的心得安慰
[00:02:06.000 --> 00:02:08.000]  因愛心互相聯絡
[00:02:08.000 --> 00:02:12.000]  以致豐豐足足的在悟性中有充足的信心
[00:02:12.000 --> 00:02:15.000]  使他們真知道神的奧秘
[00:02:15.000 --> 00:02:21.000]  就是基督所積蓄的一切智慧知識都在他裡面藏著
[00:02:21.000 --> 00:02:26.000]  我說這話免得有人用花言巧語迷惑你們
[00:02:26.000 --> 00:02:28.000]  我生子雖與你們相離
[00:02:28.000 --> 00:02:30.000]  心卻與你們同在
[00:02:30.000 --> 00:02:33.000]  見你們循規蹈矩
[00:02:33.000 --> 00:02:35.000]  信基督的心也堅固
[00:02:35.000 --> 00:02:37.000]  我就歡喜了
[00:02:37.000 --> 00:02:38.000]  所以這是保羅的一段話
[00:02:38.000 --> 00:02:40.000]  他就跟他們說
[00:02:40.000 --> 00:02:43.000]  希望他們有一間什麼樣的教會
[00:02:43.000 --> 00:02:45.000]  保羅說我很辛苦為了教會
[00:02:45.000 --> 00:02:47.000]  也就是為了這樣的事情
[00:02:47.000 --> 00:02:49.000]  那麼我第一點要分享的時候
[00:02:49.000 --> 00:02:52.000]  大家請注意第一點的時候
[00:02:52.000 --> 00:02:54.000]  我有兩個字打錯了
[00:02:54.000 --> 00:03:00.000]  是我們一起建立是一間不是異間
[00:03:00.000 --> 00:03:03.000]  如果你眼力的話應該catch得到
[00:03:03.000 --> 00:03:07.000]  我們一起建立一間能夠安慰人心的教會
[00:03:07.000 --> 00:03:09.000]  我那時候打的時候打錯
[00:03:09.000 --> 00:03:11.000]  應該是一間不是異間
[00:03:11.000 --> 00:03:13.000]  禮拜五馮牧師看到我打的
[00:03:13.000 --> 00:03:15.000]  他說你第一個point是這樣講
[00:03:15.000 --> 00:03:18.000]  我們來建立一間異間多多的教會
[00:03:18.000 --> 00:03:20.000]  我說沒有剛好相反
[00:03:20.000 --> 00:03:22.000]  我想建立一間沒有異間的教會
[00:03:22.000 --> 00:03:24.000]  所以請大家把異間刪掉
[00:03:24.000 --> 00:03:26.000]  沒有異間
[00:03:26.000 --> 00:03:28.000]  是異間
[00:03:28.000 --> 00:03:30.000]  我們建立一間安慰人心的教會
[00:03:30.000 --> 00:03:32.000]  就像剛剛保羅所說的
