
[00:00:00.000 --> 00:00:02.760]  今日講到的講題叫做
[00:00:02.760 --> 00:00:05.320]  「前輩教後輩打美好的仗」
[00:00:05.320 --> 00:00:09.840]  Odi's teach youngster how to fight a good war
[00:00:09.840 --> 00:00:12.080]  前輩即是走在前面的人
[00:00:12.080 --> 00:00:14.480]  累積了很多很多的經驗
[00:00:14.480 --> 00:00:16.480]  他怎樣給後輩
[00:00:16.480 --> 00:00:18.720]  這些打過美好的仗的經驗
[00:00:18.720 --> 00:00:21.080]  怎樣傳給後輩呢
[00:00:21.080 --> 00:00:25.520]  就算傳了 經驗都很容易過時
[00:00:25.520 --> 00:00:28.080]  經驗需要借助一件事
[00:00:28.080 --> 00:00:30.440]  叫做T 英文字T
[00:00:30.440 --> 00:00:33.640]  來提煉才會成為一些智慧
[00:00:33.640 --> 00:00:37.360]  然後後輩就在自己的根生變化當中
[00:00:37.360 --> 00:00:40.880]  才會對新的處境有新的對應
[00:00:40.880 --> 00:00:43.720]  應時這樣去回應
[00:00:43.720 --> 00:00:46.720]  意思是說 單單前輩將經驗傳給後輩
[00:00:46.720 --> 00:00:49.200]  是不是就是用得到呢
[00:00:49.200 --> 00:00:51.520]  那我就認為是需要通過一個
[00:00:51.520 --> 00:00:54.280]  Transformation 這個T
[00:00:54.280 --> 00:00:56.720]  T究竟是什麼呢
[00:00:56.720 --> 00:00:58.360]  有四個可能
[00:00:58.360 --> 00:01:01.560]  第一個T就是Theory 理論
[00:01:01.560 --> 00:01:05.320]  第二個T就是Theology 神學
[00:01:05.320 --> 00:01:07.920]  第三個T就是Secret Text
[00:01:07.920 --> 00:01:12.120]  即是一個聖經帶有神聖的經文
[00:01:12.120 --> 00:01:16.320]  T第四個可以是Tradition 傳統
[00:01:16.320 --> 00:01:19.960]  今天講到我試一下用四個不同的T
[00:01:19.960 --> 00:01:24.120]  來解讀保羅這位前輩教提摩太
[00:01:24.120 --> 00:01:28.320]  這位後輩打過美好的仗這個經驗
