
[00:00:00.000 --> 00:00:02.000]  鳳子明問候靜姐妹平安
[00:00:02.000 --> 00:00:04.000]  鳳姐問候靜姐妹平安
[00:00:04.000 --> 00:00:12.000]  我今天和大家分享的題目是以色列彰顯上帝的權能
[00:00:12.000 --> 00:00:15.000]  第三講
[00:00:15.000 --> 00:00:20.000]  今天和大家分享的題目是以麗莎彰顯上帝的權能第三講
[00:00:20.000 --> 00:00:28.000]  我今天第四講是在變幻默契戰爭中全奧西斯的終站
[00:00:28.000 --> 00:00:32.000]  就是今天的題目是在變幻默契戰爭中全奧西斯的終站
[00:00:32.000 --> 00:00:34.000]  大家手上應該有大綱
[00:00:34.000 --> 00:00:36.000]  大家手上有大綱
[00:00:36.000 --> 00:00:46.000]  其實這個亞蘭王要攻打以色列
[00:00:46.000 --> 00:00:51.000]  這一段的序文是開始於力王記下六章三十二節
[00:00:51.000 --> 00:00:57.000]  這個信息是開始於力王記下六章三十二節
[00:00:57.000 --> 00:00:59.000]  直到七章二十節
[00:00:59.000 --> 00:01:01.000]  直到七章二十節
[00:01:01.000 --> 00:01:06.000]  我上次已經和大家分享了六章三十二
[00:01:06.000 --> 00:01:10.000]  六章的記載已經講了
[00:01:10.000 --> 00:01:15.000]  第一章我已經和大家分享了六章的信息
[00:01:15.000 --> 00:01:25.000]  現在繼續講到王對耶和華絕望
[00:01:25.000 --> 00:01:29.000]  這章講到王對耶和華絕望
[00:01:29.000 --> 00:01:31.000]  這句話是在六章三十三節
[00:01:31.000 --> 00:01:33.000]  這句話是在六章三十三節
[00:01:33.000 --> 00:01:35.000]  正位東方的同盟
[00:01:35.000 --> 00:01:39.000]  這句話是來到王爺道
[00:01:39.000 --> 00:01:41.000]  這傢伙是從耶和華那兒來的
[00:01:41.000 --> 00:01:44.000]  我何必再仰望耶和華呢
[00:01:44.000 --> 00:01:50.000]  大家知道這一段經文
[00:01:50.000 --> 00:01:52.000]  大家知道這一段經文
[00:01:52.000 --> 00:01:57.000]  這個以色列王我相信他的名字叫做約蘭
[00:01:57.000 --> 00:02:00.000]  我相信這個王的名字叫做約蘭
[00:02:00.000 --> 00:02:02.000]  為什麼聖經不講他的名字呢
[00:02:02.000 --> 00:02:04.000]  為什麼聖經不講他的名字呢
[00:02:04.000 --> 00:02:07.000]  我相信在舊約聖經有這樣的習慣
[00:02:07.000 --> 00:02:09.000]  我相信舊約聖經有這樣的習慣
[00:02:09.000 --> 00:02:11.000]  作者不喜歡那個王呢
[00:02:11.000 --> 00:02:13.000]  作者不喜歡那個王呢
[00:02:13.000 --> 00:02:14.000]  不提他的名字
[00:02:14.000 --> 00:02:15.000]  連他的名字都不提
[00:02:15.000 --> 00:02:16.000]  只講他的頭銜
[00:02:16.000 --> 00:02:19.000]  只講他的頭銜
[00:02:19.000 --> 00:02:23.000]  只講他的名稱稱呼
[00:02:23.000 --> 00:02:28.000]  但是這個記載應該是講阿哈的弟弟約蘭王
[00:02:28.000 --> 00:02:31.000]  應該是講阿哈的第二個兒子約蘭王
[00:02:31.000 --> 00:02:36.000]  這是他的第九章就死了
