
[00:00:00.000 --> 00:00:03.320]  上個禮拜跟大家講到基督徒的起落
[00:00:03.320 --> 00:00:07.160]  從這個肥納比書第二章
[00:00:07.160 --> 00:00:09.160]  最後的一部分
[00:00:09.160 --> 00:00:18.320]  在這裡我再提一下大家的手機有沒有關掉或者改成震機
[00:00:18.320 --> 00:00:22.600]  剛才提了一遍那個主席
[00:00:22.600 --> 00:00:28.280]  上個禮拜我們從第二章看到有兩個人物
[00:00:28.480 --> 00:00:33.800]  就是使得自圖保羅和肥納比的教會
[00:00:33.800 --> 00:00:38.080]  當然就是這兩個人自己起落的原因
[00:00:38.080 --> 00:00:41.920]  這兩個人是誰?不知道大家還記不記得
[00:00:41.920 --> 00:00:45.200]  第一個是提摩塞
[00:00:45.200 --> 00:00:47.200]  這個比較容易記得
[00:00:47.200 --> 00:00:51.000]  因為現在很多人都還改這個名字Timothy
[00:00:51.000 --> 00:00:55.960]  另外一個比較難記的因為他是譯音
[00:00:55.960 --> 00:00:57.960]  記不記得叫什麼名字?
[00:00:58.520 --> 00:01:00.520]  爾伯弗提
[00:01:00.520 --> 00:01:05.800]  這兩個人我們看到一個是從肥納比教會拆去保羅那裡
[00:01:05.800 --> 00:01:10.240]  一個就是從保羅那裡準備要拆去肥納比教會
[00:01:10.240 --> 00:01:12.240]  這種相向的愛
[00:01:12.240 --> 00:01:15.640]  相向的問候關懷
[00:01:15.640 --> 00:01:17.640]  真的是一家人
[00:01:17.640 --> 00:01:20.000]  讓我們看見起落的原因
[00:01:20.000 --> 00:01:22.680]  今天我們從第三章看
[00:01:22.680 --> 00:01:27.720]  第三章這裡第一至第十四節這段經文
[00:01:28.120 --> 00:01:30.440]  是帶出另一個起落的原因
[00:01:30.440 --> 00:01:34.640]  就是脫離律法主義
[00:01:34.640 --> 00:01:37.400]  然後進入恩典的生活
[00:01:37.400 --> 00:01:40.200]  脫離律法主義進入恩典的生活
[00:01:40.200 --> 00:01:42.640]  就帶給我們基督徒的真正的自由
[00:01:42.640 --> 00:01:44.640]  在這個真正的自由當中
[00:01:44.640 --> 00:01:47.120]  起落就產生了
[00:01:47.120 --> 00:01:50.240]  所以我們今天來看看這十四節的經文
[00:01:50.240 --> 00:01:54.720]  我覺得這段的信息雖然比較
[00:01:54.720 --> 00:02:00.000]  好像很硬的一開始
[00:02:00.000 --> 00:02:02.560]  後來那幾節我們是很熟悉的
[00:02:02.560 --> 00:02:06.040]  但是這段的經文是非常重要
[00:02:06.040 --> 00:02:08.040]  對於我們基督徒的追求的生活
[00:02:08.040 --> 00:02:11.120]  可以說是一個根基性的重要
[00:02:11.120 --> 00:02:15.160]  我們一起來看看我們起落的原因
[00:02:15.160 --> 00:02:17.160]  第三章第一節
[00:02:17.160 --> 00:02:20.520]  我們一起讀完這十四節好嗎?請讀
[00:02:20.520 --> 00:02:23.720]  弟兄們,我還有話說
[00:02:23.720 --> 00:02:26.800]  你們要靠主起落
[00:02:26.800 --> 00:02:30.240]  我把這話再捨給你們
[00:02:30.240 --> 00:02:32.600]  於我並不為難
[00:02:32.600 --> 00:02:35.680]  於你們卻是妥當
[00:02:35.680 --> 00:02:38.600]  應當防備犬類
[00:02:38.600 --> 00:02:40.800]  防備作惡的
[00:02:40.800 --> 00:02:44.520]  防備妄自行各的
[00:02:44.520 --> 00:02:47.560]  因為真各禮的
[00:02:47.560 --> 00:02:52.120]  乃是我們者以上帝的靈敬拜
[00:02:52.120 --> 00:02:55.520]  在基督耶穌裡誇口
[00:02:55.520 --> 00:02:58.000]  不靠著肉體的
