
[00:00:00.000 --> 00:00:02.360]  各位頂主妹 主奈平安
[00:00:02.360 --> 00:00:07.600]  當看完《盧家福音》這段經文
[00:00:07.600 --> 00:00:11.320]  其實我想起有一個頗有趣的故事
[00:00:11.320 --> 00:00:14.560]  不過這個故事純屬虛構
[00:00:14.560 --> 00:00:18.880]  但內容也是按聖經的內容來編寫
[00:00:18.880 --> 00:00:22.120]  其實剛剛在上個月
[00:00:22.120 --> 00:00:26.920]  兒童級的清幼廟的合班感恩崇拜祭升級禮
[00:00:27.040 --> 00:00:31.960]  也有將這個故事由一班小五小六的小朋友演繹出來
[00:00:31.960 --> 00:00:37.280]  所以上個月有出席的家長可能有機會聽過
[00:00:37.280 --> 00:00:39.040]  不過上次小朋友演繹
[00:00:39.040 --> 00:00:44.160]  這次由我演繹這個故事給其他未聽過的人聽聽
[00:00:44.160 --> 00:00:46.800]  這個故事的名字叫《真正的義》
[00:00:46.800 --> 00:00:50.480]  話說有一次有兩位弟兄
[00:00:50.480 --> 00:00:52.520]  一個叫阿明 一個叫阿德
[00:00:52.520 --> 00:00:56.120]  在安息日在會堂裏聽到
[00:00:56.680 --> 00:01:00.920]  當時文士正在講解如何守安息日
[00:01:00.920 --> 00:01:03.080]  文士說:各位
[00:01:03.080 --> 00:01:07.240]  請聽著主頒佈十誡中第四誡名
[00:01:07.240 --> 00:01:10.320]  當紀念安息日 首為聖日
[00:01:10.320 --> 00:01:13.720]  第六日要勞碌作你一切的功
[00:01:13.720 --> 00:01:15.560]  但第七日是香夜
[00:01:15.560 --> 00:01:18.280]  我為你的神當守的安息日
[00:01:18.280 --> 00:01:20.040]  各位弟兄
[00:01:20.040 --> 00:01:21.600]  你們要記住
[00:01:21.600 --> 00:01:24.720]  安息日即是甚麼都不可以做
[00:01:24.840 --> 00:01:27.760]  否則就違背了神的誡命
[00:01:27.760 --> 00:01:30.720]  違背神的誡命很嚴重
[00:01:30.720 --> 00:01:33.360]  神必定會懲罰你們
[00:01:33.360 --> 00:01:37.120]  於是當中的阿明就問老師
[00:01:37.120 --> 00:01:38.120]  老師
[00:01:38.120 --> 00:01:40.800]  在安息日真的甚麼都不可以做嗎?
[00:01:40.800 --> 00:01:43.760]  煮飯 洗澡可以嗎?
[00:01:43.760 --> 00:01:45.800]  文士回應說
[00:01:45.800 --> 00:01:48.280]  飯就早一天煮好
[00:01:48.280 --> 00:01:50.480]  洗澡也可以第二天洗
[00:01:50.480 --> 00:01:53.680]  總之安息日甚麼都不可以做
[00:01:53.800 --> 00:01:55.000]  還有沒有問題?
[00:01:55.000 --> 00:01:56.720]  沒有就散會吧
[00:01:56.720 --> 00:02:00.560]  於是阿明和阿德就走出會堂
[00:02:00.560 --> 00:02:02.120]  討論起來
[00:02:02.120 --> 00:02:03.600]  阿明就說
[00:02:03.600 --> 00:02:06.400]  我是一個奸田佬
[00:02:06.400 --> 00:02:08.520]  上一個安息日
[00:02:08.520 --> 00:02:12.000]  在我家裡有頭牛掉進溝渠裡
[00:02:12.000 --> 00:02:13.640]  這麼大的牛
[00:02:13.640 --> 00:02:17.160]  我們幾家人合力才把牠拉上來
[00:02:17.160 --> 00:02:17.760]  糟了
[00:02:17.760 --> 00:02:21.000]  會不會違反了安息日的誡命呢?
[00:02:21.000 --> 00:02:22.240]  那怎麼辦呢?
[00:02:22.640 --> 00:02:23.880]  阿德就說
[00:02:23.880 --> 00:02:25.480]  我是一個醫生
[00:02:25.480 --> 00:02:28.120]  如果有人在安息日病了
[00:02:28.120 --> 00:02:29.920]  難道我不去醫治他嗎?
[00:02:29.920 --> 00:02:31.080]  如果我去醫治
[00:02:31.080 --> 00:02:33.800]  會不會又違反了安息日的誡命呢?
[00:02:33.800 --> 00:02:35.560]  但是不去醫治
[00:02:35.560 --> 00:02:37.480]  那個人如果死了的話
[00:02:37.480 --> 00:02:39.200]  我會不會又違反了第六誡
[00:02:39.200 --> 00:02:41.400]  不可殺人的誡命呢?
[00:02:41.400 --> 00:02:43.640]  於是他們都害怕起來了
[00:02:43.640 --> 00:02:44.880]  那怎麼辦呢?
[00:02:44.880 --> 00:02:48.120]  不如去問問文士釋法吧
[00:02:48.120 --> 00:02:49.320]  但是想著想著
[00:02:49.320 --> 00:02:50.440]  阿德又說
[00:02:50.840 --> 00:02:52.640]  文士釋法的後果
[00:02:52.640 --> 00:02:55.720]  會不會令我們反而有更多的限制呢?
[00:02:55.720 --> 00:02:58.240]  我怕我們失去高度自治
[00:02:58.240 --> 00:03:00.120]  阿明就回應了
[00:03:00.120 --> 00:03:03.080]  在猶太人裡面
[00:03:03.080 --> 00:03:03.960]  除了神之外
[00:03:03.960 --> 00:03:05.240]  文士就是最大了
[00:03:05.240 --> 00:03:07.240]  因為他們有權釋法
[00:03:07.240 --> 00:03:09.200]  律法怎樣詮釋
[00:03:09.200 --> 00:03:11.120]  都是由他們去說的
[00:03:11.120 --> 00:03:13.560]  就算今天我們不去找他們
[00:03:13.560 --> 00:03:15.000]  問一下怎樣釋法
[00:03:15.000 --> 00:03:18.120]  明天他們自己都隨時會去自己說
[00:03:18.120 --> 00:03:19.400]  怎樣釋法的
[00:03:19.600 --> 00:03:22.120]  早釋法有早釋法的好處
