
[00:00:00.000 --> 00:00:03.200]  我們在銅體聖經徒立彼書
[00:00:03.200 --> 00:00:05.200]  三章
[00:00:05.200 --> 00:00:08.500]  十三至十四節
[00:00:08.500 --> 00:00:11.800]  在螢光幕那裏應該是有的
[00:00:11.800 --> 00:00:14.900]  好 我們同心一齊去重讀
[00:00:14.900 --> 00:00:17.000]  弟兄們
[00:00:17.000 --> 00:00:33.000]  (廣東話)
[00:00:33.000 --> 00:00:35.000]  我們同心禱告
[00:00:35.000 --> 00:00:41.500]  親愛的主多謝您讓我們在2017年1月1日
[00:00:41.500 --> 00:00:43.000]  第一個主日
[00:00:43.000 --> 00:00:46.000]  我們一同去敬拜
[00:00:46.000 --> 00:00:47.500]  在您面前去感恩
[00:00:47.500 --> 00:00:49.500]  在您面前去立願
[00:00:49.500 --> 00:00:52.000]  在您面前要聽您的話語
[00:00:52.000 --> 00:00:55.000]  如今我們眾人是預備我們的心
[00:00:55.000 --> 00:00:56.500]  我們預備好了
[00:00:56.500 --> 00:00:58.000]  主求您的靈
[00:00:58.000 --> 00:01:01.000]  交灌在我們眾人的身上
[00:01:01.000 --> 00:01:03.000]  您與我們同在
[00:01:03.000 --> 00:01:06.000]  在我們聽您的話語
[00:01:06.000 --> 00:01:07.000]  在我們手
[00:01:07.000 --> 00:01:10.500]  您叫我們手的主餐當中
[00:01:10.500 --> 00:01:13.000]  我們一同的經歷您
[00:01:13.000 --> 00:01:15.500]  主求您將您的話語賜給我們
[00:01:15.500 --> 00:01:17.500]  主下幫助我們
[00:01:17.500 --> 00:01:19.500]  多謝主您的供應
[00:01:19.500 --> 00:01:21.000]  我們這樣的祈禱
[00:01:21.000 --> 00:01:23.000]  是奉主耶穌基督的名字
[00:01:23.000 --> 00:01:24.000]  阿們
[00:01:24.000 --> 00:01:27.500]  有一套名片叫做
[00:01:27.500 --> 00:01:30.500]  《屋上的提琴手》
[00:01:30.500 --> 00:01:35.000]  就是劇中的一位主角
[00:01:35.000 --> 00:01:36.500]  就是一個男人
[00:01:36.500 --> 00:01:37.500]  是一個猶太人
[00:01:37.500 --> 00:01:39.500]  他的名字叫做泰維
[00:01:39.500 --> 00:01:42.500]  他是一位樂天知命
[00:01:42.500 --> 00:01:47.500]  安分守己的猶太人
[00:01:47.500 --> 00:01:49.500]  他有三個女兒
[00:01:49.500 --> 00:01:51.500]  他和他太太和他三個女兒
[00:01:51.500 --> 00:01:54.500]  一起住在一個小村子裡
[00:01:54.500 --> 00:01:56.500]  爸爸泰維是賣牛奶的
[00:01:56.500 --> 00:01:58.500]  很希望生個兒子
