
[00:00:00.000 --> 00:00:01.120]  第一節會早晨
[00:00:01.120 --> 00:00:02.040]  早晨
[00:00:02.040 --> 00:00:04.000]  聖誕會會出門了嗎?
[00:00:04.000 --> 00:00:06.360]  不會啊
[00:00:06.360 --> 00:00:08.360]  是否在教會報道會呢?
[00:00:08.360 --> 00:00:10.440]  我很喜歡旅行的
[00:00:10.440 --> 00:00:14.200]  一生當中有些地方就覺得要必去
[00:00:14.200 --> 00:00:17.480]  巴黎的艾菲爾鐵塔
[00:00:17.480 --> 00:00:20.040]  是巴黎的地標
[00:00:20.040 --> 00:00:22.760]  因為這麼多年來
[00:00:22.760 --> 00:00:26.120]  無可取代旅遊人士
[00:00:26.120 --> 00:00:28.440]  三甲一定入
[00:00:29.320 --> 00:00:31.840]  就一定要去巴黎看鐵塔
[00:00:31.840 --> 00:00:34.640]  有沒有想過另一個角度就是
[00:00:34.640 --> 00:00:38.040]  登鐵塔看巴黎呢?
[00:00:38.040 --> 00:00:39.520]  不同的
[00:00:39.520 --> 00:00:43.200]  有一位很有名的法國文學家說過
[00:00:43.200 --> 00:00:45.520]  當我登上艾菲爾鐵塔
[00:00:45.520 --> 00:00:47.240]  可以看到四個巴黎
[00:00:47.240 --> 00:00:50.880]  第一個叫做史前的巴黎
[00:00:50.880 --> 00:00:54.440]  就是當巴黎還沒有成為一個城市
[00:00:54.440 --> 00:00:56.120]  甚至在法國之前
[00:00:56.920 --> 00:00:59.880]  這些山川、塞納河
[00:00:59.880 --> 00:01:02.600]  所有東西本來就存在
[00:01:02.600 --> 00:01:05.200]  這是史前的巴黎
[00:01:05.200 --> 00:01:08.840]  然後登上鐵塔可以看到
[00:01:08.840 --> 00:01:11.560]  巴黎聖母院
[00:01:11.560 --> 00:01:14.880]  那是中世紀的巴黎
[00:01:14.880 --> 00:01:16.280]  要懂得歷史
[00:01:16.280 --> 00:01:20.520]  然後看看最近都被人破壞了的海船門
[00:01:20.520 --> 00:01:23.640]  那裡是帝制時代
[00:01:23.640 --> 00:01:25.280]  拿破崙時代的巴黎
[00:01:26.160 --> 00:01:27.920]  接著看看鄉鎮的大道
[00:01:27.920 --> 00:01:30.200]  這就是現代的巴黎
[00:01:30.200 --> 00:01:33.800]  一個巴黎四重面貌
[00:01:33.800 --> 00:01:36.560]  能夠了解到這些歷史
[00:01:36.560 --> 00:01:40.440]  整個巴黎完全不同了
[00:01:40.440 --> 00:01:44.200]  我們在鐵塔下面拍照、打卡
[00:01:44.200 --> 00:01:46.920]  完全不同那種味道
[00:01:46.920 --> 00:01:49.600]  就是說一個地方、一個城市
[00:01:49.600 --> 00:01:51.520]  你從外面看上去
[00:01:51.520 --> 00:01:53.480]  從裡面看出去
[00:01:53.480 --> 00:01:55.960]  可能是兩幅完全不同的圖畫
[00:01:57.160 --> 00:01:58.960]  教會有時候我們很講求
[00:01:58.960 --> 00:02:02.480]  我們的自我裝備、自我完善
[00:02:02.480 --> 00:02:04.040]  很講求自我感覺
[00:02:04.040 --> 00:02:06.560]  所以有時候我們難免有些離地
[00:02:06.560 --> 00:02:10.320]  就是我們跟外面的世界好像劃分了
[00:02:10.320 --> 00:02:13.520]  我都重視我怎麼看自己
[00:02:13.520 --> 00:02:15.840]  很重視我會友怎麼看教會
[00:02:15.840 --> 00:02:17.320]  但有沒有想過
[00:02:17.320 --> 00:02:19.320]  外面的人怎麼看我們呢?
[00:02:19.320 --> 00:02:23.240]  在馬英九做總統的時候
[00:02:24.120 --> 00:02:26.680]  海峽兩岸的關係相對是和諧
[00:02:26.680 --> 00:02:29.200]  有出現過兩三年的蜜月期
[00:02:29.200 --> 00:02:33.800]  當時廣州有本雜誌派了一隊採訪隊
[00:02:33.800 --> 00:02:39.120]  去到台灣做一個相當深入詳盡的報導
[00:02:39.120 --> 00:02:41.560]  回來之後出了一期專題
[00:02:41.560 --> 00:02:42.280]  很多頁的
[00:02:42.280 --> 00:02:45.040]  叫《台灣最美的風景》
[00:02:45.040 --> 00:02:45.800]  是什麼?
[00:02:45.800 --> 00:02:47.040]  阿里山?
[00:02:47.040 --> 00:02:48.760]  雷坦?
[00:02:48.760 --> 00:02:49.400]  101?
[00:02:49.400 --> 00:02:49.800]  不是
[00:02:49.800 --> 00:02:51.880]  《台灣最美的風景》
[00:02:52.280 --> 00:03:00.840]  詩人、人、人情味、純樸、樂於助人
[00:03:00.840 --> 00:03:05.080]  這些就是深入一個城市去生活到的感受
[00:03:05.080 --> 00:03:09.560]  當台灣人覺得我們是不是被人說得太好了
[00:03:09.560 --> 00:03:11.200]  其實我們也不是那麼好
[00:03:11.200 --> 00:03:13.480]  都有不同的說法
[00:03:13.480 --> 00:03:14.720]  但挺特別的
[00:03:14.720 --> 00:03:17.600]  就是在外面的人怎麼看我們
[00:03:19.400 --> 00:03:24.240]  去年我看台灣的一本報紙
[00:03:24.240 --> 00:03:24.840]  聯合報的
[00:03:24.840 --> 00:03:28.840]  有一個認識的朋友很多年了
[00:03:28.840 --> 00:03:30.520]  不過也很多年沒見面
[00:03:30.520 --> 00:03:34.400]  他是台灣一個詩人、一個文化人
[00:03:34.400 --> 00:03:41.600]  也做過台灣駐香港文化經濟辦事處的主任
[00:03:41.600 --> 00:03:43.480]  台灣最港最高代表
[00:03:43.480 --> 00:03:44.240]  羅致勝
[00:03:44.240 --> 00:03:47.240]  他寫了一篇文章叫《香港的風景》
[00:03:47.960 --> 00:03:52.000]  看完之後我感到無限的汗顏
[00:03:52.000 --> 00:03:53.320]  慚愧
[00:03:53.320 --> 00:03:54.520]  慚愧
[00:03:54.520 --> 00:03:55.320]  他怎麼看呢?
[00:03:55.320 --> 00:03:59.320]  這一座杜猛岸然光鮮亮麗的城市
[00:03:59.320 --> 00:04:01.600]  竟然可以容忍這種未預期
[00:04:01.600 --> 00:04:06.040]  未規劃自發性的擠湧和雜亂
[00:04:06.040 --> 00:04:10.280]  在最精華的市中心長期定期存在
[00:04:10.280 --> 00:04:11.360]  是什麼?
[00:04:11.360 --> 00:04:14.880]  就是香港鬧區幾乎是沒有錯的
[00:04:14.880 --> 00:04:17.560]  但是歡聚的容宮
