
[00:00:00.000 --> 00:00:05.000]  今天我繼續講無償服事的題目
[00:00:05.000 --> 00:00:07.240]  如果大家知道我們今年教會的年慶
[00:00:07.240 --> 00:00:08.880]  就是這個在我後面的
[00:00:08.880 --> 00:00:10.600]  史仁德建的教會
[00:00:10.600 --> 00:00:13.320]  可能在熒光幕後面都看得到
[00:00:13.320 --> 00:00:16.000]  我不斷去揣摩我們不是要做些什麼
[00:00:16.000 --> 00:00:17.800]  而是教會本身是些什麼呢
[00:00:17.800 --> 00:00:22.360]  本身教會應該是一羣真誠
[00:00:22.360 --> 00:00:24.560]  有關係的羣體
[00:00:24.560 --> 00:00:27.720]  同時是願意無償服事的羣體
[00:00:27.720 --> 00:00:30.160]  願意活現真誠的羣體
[00:00:30.160 --> 00:00:32.040]  在我們不同的講道里面
[00:00:32.040 --> 00:00:38.160]  都將這個信息不斷向大家傳講
[00:00:38.160 --> 00:00:41.360]  我們會再看多些什麼叫無償教會
[00:00:41.360 --> 00:00:44.480]  之前林明旭教授都講過
[00:00:44.480 --> 00:00:47.680]  不過今天很想讓大家知道
[00:00:47.680 --> 00:00:50.240]  這個無償教會
[00:00:50.240 --> 00:00:52.640]  其實應該正確地講就是一羣
[00:00:52.640 --> 00:00:55.920]  願意無償服事的門徒羣體
[00:00:55.920 --> 00:01:00.080]  因爲教會其實就是一羣願意跟隨耶穌的門徒
[00:01:00.080 --> 00:01:01.640]  他願意效法耶穌
[00:01:01.640 --> 00:01:03.400]  聚集在一起的羣體
[00:01:03.400 --> 00:01:06.400]  我們聚集在一起就是爲了一同敬拜耶穌
[00:01:06.400 --> 00:01:08.400]  一同去學習耶穌基督的教導
[00:01:08.400 --> 00:01:11.480]  並且承繼了耶穌基督給我們的使命
[00:01:11.480 --> 00:01:15.560]  將他的使命實踐在我們今天這個時代
[00:01:15.560 --> 00:01:16.960]  而無償服事這個字
[00:01:16.960 --> 00:01:19.600]  其實我就是在針對一個錯誤的觀念
[00:01:19.600 --> 00:01:21.120]  這個觀念是什麼呢
[00:01:21.120 --> 00:01:23.720]  就是教會就好像一個堂鎖
[00:01:23.720 --> 00:01:26.560]  堂鎖就是有天花板 有地板
[00:01:26.560 --> 00:01:28.200]  有四面牆圍住的
[00:01:28.200 --> 00:01:31.280]  我們每個星期回來就在這個建築物裏面
[00:01:31.280 --> 00:01:33.880]  這個就是教會 絕對不對
[00:01:33.880 --> 00:01:35.960]  教會其實是一羣門徒羣體
[00:01:35.960 --> 00:01:38.520]  是一羣人 不是一個建築物
[00:01:38.520 --> 00:01:40.240]  我們不是封閉的
[00:01:40.240 --> 00:01:41.560]  就如兩個星期之前
[00:01:41.560 --> 00:01:43.440]  陳牧師 陳志權牧師都講
[00:01:43.440 --> 00:01:45.160]  教會應該是透明的
[00:01:45.160 --> 00:01:46.160]  應該被人見到的
[00:01:46.160 --> 00:01:47.560]  不應該遮蔽的
[00:01:47.560 --> 00:01:51.160]  是要讓人看見教會
