
[00:00:00.000 --> 00:00:01.760]  有一次有一個非洲的牧師
[00:00:01.760 --> 00:00:03.760]  是非洲的牧師,所以剛才停頓了一下
[00:00:03.760 --> 00:00:06.800]  在一間非洲的教會裏面
[00:00:06.800 --> 00:00:09.920]  盡是一個全教會性
[00:00:09.920 --> 00:00:12.040]  很隆重的一個祈禱會
[00:00:12.040 --> 00:00:15.720]  這個是一個求雨的祈禱會
[00:00:15.720 --> 00:00:18.000]  是一個求雨的祈禱會
[00:00:18.000 --> 00:00:21.240]  因為這個地方已經太久沒有下雨了
[00:00:21.240 --> 00:00:23.240]  種的地方都很乾旱
[00:00:23.240 --> 00:00:25.320]  他們的東西就會失收
[00:00:25.320 --> 00:00:29.800]  祈禱會之後,這個非洲的牧師就離開
[00:00:30.520 --> 00:00:32.960]  他拿著一把雨傘就離開
[00:00:32.960 --> 00:00:36.680]  那些信徒就問,牧師,是不是很熱呀
[00:00:36.680 --> 00:00:38.680]  你拿著雨傘就離開
[00:00:38.680 --> 00:00:40.680]  你遮太陽呀
[00:00:40.680 --> 00:00:42.680]  牧師說
[00:00:42.680 --> 00:00:46.680]  我相信當我禱告的時候
[00:00:46.680 --> 00:00:48.680]  神就會工作
[00:00:48.680 --> 00:00:51.680]  當我禱告的時候
[00:00:51.680 --> 00:00:53.680]  神就會工作
[00:00:53.680 --> 00:00:55.680]  所以我相信
[00:00:55.680 --> 00:00:58.200]  當我走出這個門沒多久的時候
[00:00:58.200 --> 00:01:00.200]  就會下雨
[00:01:00.200 --> 00:01:02.200]  所以我帶著雨傘
[00:01:02.200 --> 00:01:04.200]  我的講題就是
[00:01:04.200 --> 00:01:06.200]  當我們禱告的時候
[00:01:06.200 --> 00:01:08.200]  神就會工作
[00:01:08.200 --> 00:01:11.200]  我只是用歷代之下20章
[00:01:11.200 --> 00:01:13.200]  1到26節
[00:01:13.200 --> 00:01:16.200]  因為我現在都在讀歷代之下
[00:01:16.200 --> 00:01:20.200]  其實整個聖經,特別是舊約
[00:01:20.200 --> 00:01:23.200]  是反映很多上帝的作為
[00:01:23.200 --> 00:01:25.200]  而在新約裏面
[00:01:25.200 --> 00:01:27.200]  是濃縮地,精義地
[00:01:27.200 --> 00:01:30.200]  將這些作為去表白
[00:01:30.200 --> 00:01:32.200]  譬如今天這個故事
[00:01:32.200 --> 00:01:34.200]  我講這個故事,是一個歷史的故事
[00:01:34.200 --> 00:01:36.200]  是表白一件事
[00:01:36.200 --> 00:01:38.200]  在危難的時候
[00:01:38.200 --> 00:01:40.200]  這些禱告是真實
[00:01:40.200 --> 00:01:42.200]  我想告訴你
[00:01:42.200 --> 00:01:44.200]  你在面對危難的時候
[00:01:44.200 --> 00:01:47.200]  禱告是可以解決你的問題的真實
[00:01:47.200 --> 00:01:50.200]  我們不是皇大先識的神
[00:01:50.200 --> 00:01:53.200]  我們無論是這個解決
[00:01:53.200 --> 00:01:55.200]  按不按你的心的方法
[00:01:55.200 --> 00:01:57.200]  當我們禱告的時候
[00:01:57.200 --> 00:01:59.200]  神為我們解決
[00:01:59.200 --> 00:02:01.200]  你有沒有經歷這個情況
[00:02:01.200 --> 00:02:03.200]  經歷大患難
[00:02:03.200 --> 00:02:05.200]  如果是我們進入這個經文裏面
[00:02:05.200 --> 00:02:08.200]  和約沙伐一起面對
[00:02:08.200 --> 00:02:10.200]  如果你沒有的
[00:02:10.200 --> 00:02:12.200]  我們作為一個學習的預備
[00:02:12.200 --> 00:02:15.200]  這個經文是記載在歷代之下
[00:02:15.200 --> 00:02:17.200]  20章1到26節
[00:02:17.200 --> 00:02:19.200]  我只是用下面的powerpoint
[00:02:19.200 --> 00:02:21.200]  稍微講一講
[00:02:21.200 --> 00:02:23.200]  那個的背景
[00:02:23.200 --> 00:02:25.200]  因為實在太長
[00:02:25.200 --> 00:02:27.200]  26節讀完
[00:02:27.200 --> 00:02:29.200]  大家可能不知道怎樣
[00:02:29.200 --> 00:02:31.200]  所以稍微講
[00:02:31.200 --> 00:02:33.200]  在分題的時候稍微讀
[00:02:33.200 --> 00:02:35.200]  這幅圖很簡短
[00:02:35.200 --> 00:02:37.200]  是一個濃縮版的
[00:02:37.200 --> 00:02:41.200]  當陣時的猶大國的地圖
[00:02:41.200 --> 00:02:43.200]  當陣時的情況
[00:02:43.200 --> 00:02:47.200]  大概公元前800多年左右
[00:02:47.200 --> 00:02:49.200]  有分北國
[00:02:49.200 --> 00:02:51.200]  以色列國
[00:02:51.200 --> 00:02:53.200]  南國猶大國
[00:02:53.200 --> 00:02:55.200]  為什麼會分呢
[00:02:55.200 --> 00:02:57.200]  因為索羅門死了之後
[00:02:57.200 --> 00:02:59.200]  他的兒子因為不太聽眾神的意見
[00:02:59.200 --> 00:03:01.200]  所以分了成兩個國家
[00:03:01.200 --> 00:03:03.200]  這個地圖裏面
[00:03:03.200 --> 00:03:05.200]  有一支紅色的箭嘴
[00:03:05.200 --> 00:03:07.200]  和一支藍色的箭嘴
[00:03:07.200 --> 00:03:09.200]  準備約沙伐
[00:03:09.200 --> 00:03:11.200]  去面對一個大軍
[00:03:11.200 --> 00:03:13.200]  來壓境的時候
[00:03:13.200 --> 00:03:17.200]  他的心裏面
[00:03:17.200 --> 00:03:19.200]  很慌張
[00:03:19.200 --> 00:03:21.200]  當一班壓境的軍來到的時候
[00:03:21.200 --> 00:03:23.200]  他的國家有機會
[00:03:23.200 --> 00:03:25.200]  會變亡
[00:03:25.200 --> 00:03:27.200]  這幅圖雖然是這麼簡單
[00:03:27.200 --> 00:03:29.200]  但有些背景
[00:03:29.200 --> 00:03:31.200]  在北邊上午
[00:03:31.200 --> 00:03:33.200]  這個上面
[00:03:33.200 --> 00:03:35.200]  間間的死海
[00:03:35.200 --> 00:03:37.200]  或者嚴海的上面
[00:03:37.200 --> 00:03:39.200]  就是剛才講的北國
[00:03:39.200 --> 00:03:41.200]  北國就是以色列國
