
[00:00:00.000 --> 00:00:06.140]  智慧是一個很重要的字眼和概念
[00:00:06.140 --> 00:00:10.840]  亦代表著預表著耶穌基督
[00:00:10.840 --> 00:00:15.000]  是神的話語,亦是神的靈在當中的工作
[00:00:15.000 --> 00:00:18.300]  今天講的題目是有少少嚴肅的
[00:00:18.300 --> 00:00:21.100]  可能我個人比較嚴肅,講的題目都比較嚴肅
[00:00:21.100 --> 00:00:22.900]  上次講責備
[00:00:22.900 --> 00:00:25.700]  不過我回去聽聞,原來有些人誤解了我的意思
[00:00:25.700 --> 00:00:27.500]  回去立即罵他的家人
[00:00:27.500 --> 00:00:29.000]  以為是他責備
[00:00:29.000 --> 00:00:31.600]  我是想講怎樣去接受責備
[00:00:31.600 --> 00:00:33.200]  不是怎樣去責備別人
[00:00:33.200 --> 00:00:34.900]  我想大家聽到這裡要小心一點
[00:00:34.900 --> 00:00:37.500]  今天講這個憤怒的話題都是
[00:00:37.500 --> 00:00:40.200]  希望大家回去不要發更多的憤怒
[00:00:40.200 --> 00:00:43.400]  而是能夠去轉化你的生命
[00:00:43.400 --> 00:00:46.500]  更加去在耶穌基督裡面成長
[00:00:46.500 --> 00:00:50.800]  在講這個二路和二路這個題目之前
[00:00:50.800 --> 00:00:55.800]  我想推介一個我們的宣教小組
[00:00:55.800 --> 00:00:58.600]  都是一個職場宣教小組
[00:00:58.600 --> 00:01:01.600]  我們一班的頂尖妹很熱心
[00:01:01.600 --> 00:01:06.000]  有幾年的時間在一個機構裡面去接受訓練
[00:01:06.000 --> 00:01:09.400]  並且他們工作崗位都積極地去推動福音的工作
[00:01:09.400 --> 00:01:10.600]  建立小組
[00:01:10.600 --> 00:01:15.500]  他們不想將這些好處留在他們自己的生命裡面
[00:01:15.500 --> 00:01:17.000]  很想跟大家分享
[00:01:17.000 --> 00:01:18.700]  所以我們有一班的核心
[00:01:18.700 --> 00:01:22.300]  頂尖妹很想去推動一個職場的宣教運動
[00:01:22.300 --> 00:01:24.900]  我們希望每個月有一次的小組
[00:01:24.900 --> 00:01:29.000]  讀一下他們很漂亮的黃色那兩句話
[00:01:29.000 --> 00:01:30.300]  好 請讀
[00:01:30.300 --> 00:01:33.000]  相織傳道建和祥
[00:01:33.000 --> 00:01:35.200]  實踐使命把愛揚
[00:01:35.200 --> 00:01:37.000]  很正 很清楚了 是不是
[00:01:37.000 --> 00:01:38.700]  目的就是很想
[00:01:38.700 --> 00:01:41.200]  不單止我們有一份賺錢的工作
[00:01:41.200 --> 00:01:45.700]  也真的在這個地方成為建立神的和祥
[00:01:45.700 --> 00:01:48.700]  是去將愛去分享去宣揚
[00:01:48.700 --> 00:01:51.500]  接下來有下一章 麻煩你
[00:01:51.500 --> 00:01:54.500]  有幾個月我們定了題目和內容
[00:01:54.500 --> 00:01:58.900]  希望大家基本上是每個月的第四個禮拜日
[00:01:58.900 --> 00:02:01.300]  下午那段時間去舉行
[00:02:01.300 --> 00:02:03.000]  有不同的題目
[00:02:03.000 --> 00:02:08.500]  今天說的憤怒在十月都會再有些處理
[00:02:08.500 --> 00:02:09.100]  是個人一點
[00:02:09.100 --> 00:02:11.200]  因為今天是我一個人說
[00:02:11.200 --> 00:02:12.400]  你們大部份人聽
[00:02:12.400 --> 00:02:15.500]  但是在小組裡面大家可以個別的分享
[00:02:15.500 --> 00:02:17.100]  我們說到要在職場裡面
[00:02:17.100 --> 00:02:20.100]  在你工作崗位要作見證 建立神的角度
[00:02:20.100 --> 00:02:21.500]  不單止在那裡去做事
[00:02:21.500 --> 00:02:24.300]  在家裡 在自己生命裡面
