
[00:00:00.000 --> 00:00:02.700]  今天和大家思想到《聖上主第六章》
[00:00:02.700 --> 00:00:04.800]  《聖上主第六章》有一個很重的突破
[00:00:04.800 --> 00:00:07.900]  就是早期講到仕途的服事
[00:00:07.900 --> 00:00:09.600]  《聖上主第六章》那裡
[00:00:09.600 --> 00:00:12.900]  神要興起其他信徒參與的服事
[00:00:12.900 --> 00:00:16.200]  來代稱這個信徒皆祭司一個神學
[00:00:16.200 --> 00:00:19.900]  仕途面對一個可能是分裂的教會的危機
[00:00:19.900 --> 00:00:23.000]  他們有一個因典轉危為機
[00:00:23.000 --> 00:00:26.300]  他們能夠將這個危機成為更多人參與侍奉
[00:00:26.300 --> 00:00:28.100]  又能夠同心配搭
[00:00:28.100 --> 00:00:32.000]  建立一個好像飛鷹相約齊飛的教會
[00:00:32.000 --> 00:00:33.300]  能夠飛得更遠
[00:00:33.300 --> 00:00:34.900]  將福音帶到更遠
[00:00:34.900 --> 00:00:37.900]  將福氣建立到更遠的地區
[00:00:37.900 --> 00:00:39.500]  聖經裡面提醒
[00:00:39.500 --> 00:00:42.400]  信徒有責任成為主的見證人
[00:00:42.400 --> 00:00:44.900]  我們看今天經文第六章一到七節
[00:00:44.900 --> 00:00:46.700]  我請弟兄讀單數節
[00:00:46.700 --> 00:00:48.000]  姊妹讀雙數節
[00:00:48.000 --> 00:00:50.000]  我先請弟兄
[00:00:50.000 --> 00:00:52.200]  那時門徒增多
[00:00:52.200 --> 00:00:54.400]  有說希臘話的猶太人
[00:00:54.400 --> 00:00:56.600]  向希伯來人發怨言
[00:00:56.600 --> 00:00:58.500]  因為在天天的供給上
[00:00:58.500 --> 00:01:01.300]  忽了了他們的寡婦
[00:01:01.300 --> 00:01:11.800]  所以弟兄們
[00:01:11.800 --> 00:01:15.500]  當從你們中間說出七個有好名聲
[00:01:15.500 --> 00:01:18.500]  被聖靈充滿智慧充足的人
[00:01:18.500 --> 00:01:21.500]  我們就派他們管理這事
