
[00:00:00.000 --> 00:00:02.920]  如果你讀過《創世紀》的話
[00:00:02.920 --> 00:00:04.960]  你都知道一些事情的發生
[00:00:04.960 --> 00:00:07.800]  讓我先複述一下
[00:00:07.800 --> 00:00:09.440]  第一章的時候
[00:00:09.440 --> 00:00:11.760]  真的有一個很美麗的圖畫
[00:00:11.760 --> 00:00:16.560]  耶和華創造宇宙萬物
[00:00:16.560 --> 00:00:19.080]  在第六天就做了人
[00:00:19.080 --> 00:00:22.360]  他照着自己的形象做了人
[00:00:22.360 --> 00:00:26.000]  哇 讓人有一些任務
[00:00:26.000 --> 00:00:26.680]  要什麼呢
[00:00:26.680 --> 00:00:28.080]  生養衆多
[00:00:28.080 --> 00:00:29.480]  遍滿全地
[00:00:29.480 --> 00:00:30.680]  治理這地
[00:00:30.680 --> 00:00:33.200]  又要管理海里的魚
[00:00:33.200 --> 00:00:34.400]  空中的鳥
[00:00:34.400 --> 00:00:37.360]  和地上各樣的活物
[00:00:37.360 --> 00:00:38.720]  第二章呢
[00:00:38.720 --> 00:00:42.600]  他將生氣吹在人的鼻孔裏面
[00:00:42.600 --> 00:00:45.800]  讓人成爲有靈的活人
[00:00:45.800 --> 00:00:47.400]  名叫阿當
[00:00:47.400 --> 00:00:48.720]  和合盤這樣說
[00:00:48.720 --> 00:00:50.160]  阿當是什麼意思呢
[00:00:50.160 --> 00:00:51.840]  是人的意思
[00:00:51.840 --> 00:00:53.760]  是人翻譯的意思
[00:00:53.760 --> 00:00:54.880]  所以當刻
[00:00:54.880 --> 00:00:57.000]  阿當是和誰同行
[00:00:57.000 --> 00:00:59.000]  和耶和華同行
[00:00:59.000 --> 00:01:00.800]  和我們的神同行
[00:01:00.800 --> 00:01:02.320]  毫無難阻
[00:01:02.320 --> 00:01:04.600]  溝通很緊密
[00:01:04.600 --> 00:01:06.080]  但是大家都知道
[00:01:06.080 --> 00:01:08.560]  第三章就發生了一些
[00:01:08.560 --> 00:01:10.040]  不太好的事情
[00:01:10.040 --> 00:01:13.880]  不過我們也會先看第二章的事情
[00:01:13.880 --> 00:01:16.880]  沒看到第三章這麼惡劣的環境
[00:01:16.880 --> 00:01:18.960]  先看看一個美麗的環境
[00:01:18.960 --> 00:01:21.000]  看看一個親密的環境
[00:01:21.000 --> 00:01:23.600]  今天會和大家讀新譯本
[00:01:23.600 --> 00:01:26.960]  不會和大家讀你們慣常讀的和合本
[00:01:26.960 --> 00:01:30.480]  讀的時候可能我們也要小心點讀
[00:01:30.480 --> 00:01:32.560]  我讀了這麼多堂讀了這麼多堂
[00:01:32.560 --> 00:01:33.840]  都還有點嘖嘖咳咳
[00:01:33.840 --> 00:01:36.320]  因爲都不是我們慣常讀的版本
[00:01:36.320 --> 00:01:37.640]  不如我們一起讀吧
[00:01:37.640 --> 00:01:38.240]  好不好
[00:01:38.240 --> 00:01:39.080]  預備
[00:01:39.080 --> 00:01:40.080]  起
[00:01:40.080 --> 00:01:44.480]  耶和華神把那人安置在伊甸園內
[00:01:44.480 --> 00:01:48.200]  叫他耕種和看守那園子
[00:01:48.200 --> 00:01:51.080]  耶和華神吩咐那人說
[00:01:51.080 --> 00:01:53.840]  園中各樣樹上的果子
[00:01:53.840 --> 00:01:55.680]  你都可以喫
[00:01:55.680 --> 00:01:58.680]  只是那枝善惡樹的果子
[00:01:58.680 --> 00:02:00.160]  你不可喫
[00:02:00.160 --> 00:02:02.160]  因爲你喫的時候
[00:02:02.160 --> 00:02:03.880]  你必要死
[00:02:03.880 --> 00:02:05.480]  耶和華神說
[00:02:05.480 --> 00:02:07.440]  那人獨居不好
[00:02:07.440 --> 00:02:11.800]  要爲他造個和他相配的榜首
[00:02:11.800 --> 00:02:13.600]  然後耶和華神
[00:02:13.600 --> 00:02:17.040]  用從那人身上所取的肋骨
[00:02:17.040 --> 00:02:18.960]  造了一個女人
[00:02:18.960 --> 00:02:21.320]  帶她到那人面前
[00:02:21.320 --> 00:02:22.440]  那人說
[00:02:22.440 --> 00:02:25.880]  這是我骨中的骨 肉中的肉
[00:02:25.880 --> 00:02:28.280]  你他當稱爲女人
[00:02:28.280 --> 00:02:31.960]  因她是從男人身上取出來的
[00:02:31.960 --> 00:02:35.600]  那是夫妻二人赤身露體
[00:02:35.600 --> 00:02:38.560]  彼此都不覺得羞恥
[00:02:38.560 --> 00:02:39.960]  哎
[00:02:39.960 --> 00:02:42.480]  我還是有點懶懶的
[00:02:42.480 --> 00:02:46.320]  神和人的關係好不好啊當時
[00:02:46.320 --> 00:02:49.440]  神安置人在伊甸園裏
[00:02:49.440 --> 00:02:51.640]  給人有任務的
[00:02:51.640 --> 00:02:54.000]  人是怎樣的呢
[00:02:54.000 --> 00:02:55.320]  人有任務的
[00:02:55.320 --> 00:02:56.680]  有什麼任務呢
[00:02:56.680 --> 00:02:57.400]  咦
[00:02:57.400 --> 00:02:59.080]  人在和合本剛纔
[00:02:59.080 --> 00:03:00.200]  如果你讀的時候
[00:03:00.200 --> 00:03:01.640]  你讀到什麼
[00:03:01.640 --> 00:03:03.160]  耕種
[00:03:03.160 --> 00:03:04.800]  人有任務是什麼
[00:03:04.800 --> 00:03:05.920]  耕種
[00:03:05.920 --> 00:03:07.080]  如果和合本呢
[00:03:07.080 --> 00:03:08.200]  就修理
[00:03:08.200 --> 00:03:09.680]  所以我今天選了一個
[00:03:09.680 --> 00:03:11.400]  耕種的版本
[00:03:11.400 --> 00:03:12.400]  耕種版本其實
[00:03:12.400 --> 00:03:14.360]  不僅是新譯本的
[00:03:14.360 --> 00:03:17.040]  環球性譯本都是用這個來翻譯
[00:03:17.040 --> 00:03:18.200]  講到伊甸園呢
[00:03:18.200 --> 00:03:19.720]  原來人在伊甸園呢
[00:03:19.720 --> 00:03:22.520]  不是等喫和等擱茶內
[00:03:22.520 --> 00:03:24.880]  伸手換來就張口的
[00:03:24.880 --> 00:03:26.280]  耕種是什麼
[00:03:26.280 --> 00:03:29.800]  耕種是工作和服事
[00:03:29.800 --> 00:03:32.320]  工作我想大家都明白的了
[00:03:32.320 --> 00:03:33.240]  要什麼
[00:03:33.240 --> 00:03:34.800]  努力
[00:03:34.800 --> 00:03:35.520]  動力
[00:03:35.520 --> 00:03:37.440]  要有心的
[00:03:37.440 --> 00:03:39.920]  不知道你做事和上班的時候呢
[00:03:39.920 --> 00:03:41.440]  你的態度
[00:03:41.440 --> 00:03:43.400]  像不像
[00:03:43.400 --> 00:03:44.480]  就是那天
[00:03:44.480 --> 00:03:46.160]  創造時候的呢
[00:03:46.160 --> 00:03:47.480]  不過我們香港人呢
[00:03:47.480 --> 00:03:48.760]  最出名的是什麼
[00:03:48.760 --> 00:03:50.240]  很勤力上班的
[00:03:50.240 --> 00:03:51.000]  是不是
[00:03:51.000 --> 00:03:52.480]  爆風球都要上班的
[00:03:52.480 --> 00:03:53.800]  儘快去搭車的
[00:03:53.800 --> 00:03:55.320]  是不是
[00:03:55.320 --> 00:03:57.360]  但另一個翻譯呢
[00:03:57.360 --> 00:03:58.320]  不是 另一個意思呢
[00:03:58.320 --> 00:03:59.520]  就是服事
[00:03:59.520 --> 00:04:02.360]  侍奉和敬拜神
[00:04:02.360 --> 00:04:04.120]  在伊甸園裏面呢
[00:04:04.120 --> 00:04:06.960]  原來耕種不是苦差來的
[00:04:06.960 --> 00:04:08.920]  是敬拜神啊
[00:04:08.920 --> 00:04:10.520]  是服事神
[00:04:10.520 --> 00:04:13.040]  不過這個伊甸園呢
[00:04:13.040 --> 00:04:15.920]  就不是小公園
[00:04:15.920 --> 00:04:18.880]  不是維多利亞公園
[00:04:18.880 --> 00:04:20.600]  它的範圍很大的
[00:04:20.600 --> 00:04:21.160]  是不是
[00:04:21.160 --> 00:04:23.960]  聖經記載它有四條河包住它
[00:04:23.960 --> 00:04:27.000]  現在還有兩條河還在這個世界上
[00:04:27.000 --> 00:04:29.560]  那就是它的範圍有多大呢
[00:04:29.560 --> 00:04:32.360]  我都想沒知道有多大
[00:04:32.360 --> 00:04:34.160]  不過我們走完香港一天呢
[00:04:34.160 --> 00:04:36.000]  都要一點時間
[00:04:36.000 --> 00:04:38.200]  所以阿當呢
[00:04:38.200 --> 00:04:39.720]  忙不忙碌的
[00:04:39.720 --> 00:04:42.600]  他耕種的範圍大不大
[00:04:42.600 --> 00:04:44.040]  所以他是什麼
[00:04:44.040 --> 00:04:45.720]  殷勤的
[00:04:45.720 --> 00:04:46.960]  跟你周邊的人說
[00:04:46.960 --> 00:04:49.720]  你很勤力的
[00:04:49.720 --> 00:04:51.360]  那時候
[00:04:51.360 --> 00:04:54.600]  現在都不弱的 深信
[00:04:54.600 --> 00:04:56.240]  所以你真的很勤力的
