
[00:00:00.000 --> 00:00:02.000]  今天我要跟各位分享的是
[00:00:02.000 --> 00:00:04.000]  隱藏的珍寶
[00:00:04.000 --> 00:00:06.000]  這是我們在
[00:00:06.000 --> 00:00:08.000]  剛開始我們
[00:00:08.000 --> 00:00:10.000]  讀的那段經文
[00:00:10.000 --> 00:00:12.000]  這是索羅門王的智慧
[00:00:12.000 --> 00:00:14.000]  他說你們要尋求他
[00:00:14.000 --> 00:00:16.000]  你們就尋到
[00:00:16.000 --> 00:00:18.000]  那個隱藏的珍寶
[00:00:18.000 --> 00:00:20.000]  你們就得以認識
[00:00:20.000 --> 00:00:22.000]  葉和華
[00:00:22.000 --> 00:00:24.000]  就得到他的一切
[00:00:24.000 --> 00:00:26.000]  這是我們的神
[00:00:26.000 --> 00:00:28.000]  因為您知道嗎
[00:00:28.000 --> 00:00:30.000]  上帝把應許
[00:00:30.000 --> 00:00:32.000]  還有夢想
[00:00:32.000 --> 00:00:34.000]  放在我們裡面
[00:00:34.000 --> 00:00:36.000]  我同樣的
[00:00:36.000 --> 00:00:38.000]  祂也有相應的能力
[00:00:38.000 --> 00:00:40.000]  與恩賜
[00:00:40.000 --> 00:00:42.000]  放在我們裡面
[00:00:42.000 --> 00:00:44.000]  我們常常以為說神啊
[00:00:44.000 --> 00:00:46.000]  我從小就有這個夢想
[00:00:46.000 --> 00:00:48.000]  但是
[00:00:48.000 --> 00:00:50.000]  我有這個能力嗎
[00:00:50.000 --> 00:00:52.000]  我可以做得到嗎
[00:00:52.000 --> 00:00:54.000]  或者是神你什麼時候
[00:00:54.000 --> 00:00:56.000]  才能夠來幫助我呢
[00:00:56.000 --> 00:00:58.000]  能夠達成我的目的
[00:00:58.000 --> 00:01:00.000]  實現我的夢想呢
[00:01:00.000 --> 00:01:02.000]  你真的放心
[00:01:02.000 --> 00:01:04.000]  如果神
[00:01:04.000 --> 00:01:06.000]  給你這個夢想
[00:01:06.000 --> 00:01:08.000]  祂一定會讓
[00:01:08.000 --> 00:01:10.000]  已經準備了你
[00:01:10.000 --> 00:01:12.000]  去完成
[00:01:12.000 --> 00:01:14.000]  你的夢想
[00:01:14.000 --> 00:01:16.000]  祂會幫助你
[00:01:16.000 --> 00:01:18.000]  祂甚至會使用別的人來幫助你
[00:01:18.000 --> 00:01:20.000]  尤其在
[00:01:20.000 --> 00:01:22.000]  今年
[00:01:22.000 --> 00:01:24.000]  我們剛剛過了猶太新年
[00:01:24.000 --> 00:01:26.000]  這是5780年
[00:01:26.000 --> 00:01:28.000]  這是
[00:01:28.000 --> 00:01:30.000]  猶太那個80
[00:01:30.000 --> 00:01:32.000]  從80到89
[00:01:32.000 --> 00:01:34.000]  這個是
[00:01:34.000 --> 00:01:36.000]  叫做派
[00:01:36.000 --> 00:01:38.000]  那麼這是形狀像一個嘴巴一樣
[00:01:38.000 --> 00:01:40.000]  所以他說
[00:01:40.000 --> 00:01:42.000]  今年我們要宣告
[00:01:42.000 --> 00:01:44.000]  神成就世
[00:01:44.000 --> 00:01:46.000]  今年我們要用嘴巴
[00:01:46.000 --> 00:01:48.000]  來啟動神的能力
[00:01:48.000 --> 00:01:50.000]  所以我們能夠
[00:01:50.000 --> 00:01:52.000]  完成許多的事情
[00:01:52.000 --> 00:01:54.000]  所以我們今年要不停地宣告
[00:01:54.000 --> 00:01:56.000]  神的應許在我們裡面
[00:01:56.000 --> 00:01:58.000]  神的夢想
[00:01:58.000 --> 00:02:00.000]  在我們裡面
[00:02:00.000 --> 00:02:02.000]  我們都有夢想不是嗎
[00:02:02.000 --> 00:02:04.000]  所以你不要擔心
[00:02:04.000 --> 00:02:06.000]  你知道
[00:02:06.000 --> 00:02:08.000]  我特別最明顯一個例子
[00:02:08.000 --> 00:02:10.000]  我們這個張醫生
[00:02:10.000 --> 00:02:12.000]  他叫
[00:02:12.000 --> 00:02:14.000]  Ethan
[00:02:14.000 --> 00:02:16.000]  所以我每次都叫他張醫生
[00:02:16.000 --> 00:02:18.000]  張醫生
[00:02:18.000 --> 00:02:20.000]  他將來真會成一個醫生
[00:02:20.000 --> 00:02:22.000]  你知道嗎
[00:02:22.000 --> 00:02:26.000]  是的這就是當我們
[00:02:26.000 --> 00:02:28.000]  相信我們不停地
[00:02:28.000 --> 00:02:30.000]  宣告的時候
[00:02:30.000 --> 00:02:32.000]  這事情就會成就
[00:02:32.000 --> 00:02:34.000]  我自己從小有一個夢想
[00:02:34.000 --> 00:02:38.000]  我就是要做工程師
[00:02:38.000 --> 00:02:40.000]  我從來沒有夢想說我要做牧師
[00:02:40.000 --> 00:02:44.000]  但是你知道嗎
[00:02:44.000 --> 00:02:46.000]  這就是很奇怪的事情就發生
[00:02:46.000 --> 00:02:48.000]  我確實做到醫工程師
[00:02:48.000 --> 00:02:50.000]  而且我還做得還不錯
[00:02:50.000 --> 00:02:54.000]  但是我後來
[00:02:54.000 --> 00:02:56.000]  回想過來看
[00:02:56.000 --> 00:02:58.000]  其實神在某一個階段
[00:02:58.000 --> 00:03:00.000]  有不同的夢想給你的
[00:03:00.000 --> 00:03:02.000]  像我在小的時候
[00:03:02.000 --> 00:03:04.000]  我是1950年
[00:03:04.000 --> 00:03:06.000]  在台灣出生的第一代
[00:03:06.000 --> 00:03:08.000]  那個時候
[00:03:08.000 --> 00:03:10.000]  剛剛從大陸
[00:03:10.000 --> 00:03:12.000]  跑到台灣去撤退到台灣去
[00:03:12.000 --> 00:03:14.000]  那日子好苦
[00:03:14.000 --> 00:03:16.000]  所以每一個人嘴巴裡面
[00:03:16.000 --> 00:03:18.000]  都是要生產報國
[00:03:18.000 --> 00:03:20.000]  不然就多生幾個孩子
[00:03:20.000 --> 00:03:22.000]  返工大陸
[00:03:22.000 --> 00:03:24.000]  不然就是做工程師
[00:03:24.000 --> 00:03:26.000]  所以我從小
[00:03:26.000 --> 00:03:28.000]  我的志向就是做工程師
[00:03:28.000 --> 00:03:30.000]  我也做到了我也做了一輩子
[00:03:30.000 --> 00:03:32.000]  當我到了五十多歲的時候
[00:03:32.000 --> 00:03:34.000]  也做了二三十年的工程師了
[00:03:34.000 --> 00:03:38.000]  忽然間神啟示我
[00:03:38.000 --> 00:03:40.000]  我要你做牧師
[00:03:40.000 --> 00:03:42.000]  哇我猜
[00:03:42.000 --> 00:03:44.000]  一個新的夢想放在我裡面
[00:03:44.000 --> 00:03:46.000]  我說神啊
[00:03:46.000 --> 00:03:48.000]  你不要搞錯啊
[00:03:48.000 --> 00:03:50.000]  我能夠嗎
[00:03:50.000 --> 00:03:52.000]  你覺得我能嗎
[00:03:52.000 --> 00:03:54.000]  我那個時候真覺得我不能啊
[00:03:54.000 --> 00:03:56.000]  我現在我越看我越像牧師啊
[00:03:56.000 --> 00:04:00.000]  你知道嗎
[00:04:00.000 --> 00:04:02.000]  因為我那時候在教會裡面
[00:04:02.000 --> 00:04:04.000]  我家裡面
[00:04:04.000 --> 00:04:06.000]  我最後一個姓耶穌的
[00:04:06.000 --> 00:04:08.000]  連我的女兒十多歲就信了
[00:04:08.000 --> 00:04:10.000]  我還沒信
[00:04:10.000 --> 00:04:12.000]  所以當我五十左右的時候
[00:04:12.000 --> 00:04:14.000]  我信了耶穌了
[00:04:14.000 --> 00:04:16.000]  我信了耶穌
[00:04:16.000 --> 00:04:18.000]  我這個人有一個毛病吧
[00:04:18.000 --> 00:04:22.000]  就是工程師的個性
[00:04:22.000 --> 00:04:24.000]  我說做我就要把它做好
[00:04:24.000 --> 00:04:26.000]  所以我就很認真啊
[00:04:26.000 --> 00:04:28.000]  我是教會的chairman
[00:04:28.000 --> 00:04:30.000]  專門負責排椅子的
[00:04:30.000 --> 00:04:34.000]  所以我就有一次呢
[00:04:34.000 --> 00:04:36.000]  又是在小組
[00:04:36.000 --> 00:04:38.000]  所以我每次聚會小組
[00:04:38.000 --> 00:04:40.000]  我都第一個到
[00:04:40.000 --> 00:04:42.000]  因為我是chairman
[00:04:42.000 --> 00:04:44.000]  專門排椅子的
[00:04:44.000 --> 00:04:46.000]  結果這排椅子沒有一個人到
[00:04:46.000 --> 00:04:48.000]  結果那天牧師來了
[00:04:48.000 --> 00:04:50.000]  那牧師就說
[00:04:50.000 --> 00:04:52.000]  其他人呢
[00:04:52.000 --> 00:04:54.000]  我說我不知道
[00:04:54.000 --> 00:04:56.000]  我只是排椅子的
[00:04:56.000 --> 00:04:58.000]  那牧師就走的時候呢
[00:04:58.000 --> 00:05:00.000]  給了我一個關愛的眼光
[00:05:00.000 --> 00:05:02.000]  你知道嗎
[00:05:02.000 --> 00:05:04.000]  因為當你在小的事情上面
[00:05:04.000 --> 00:05:06.000]  忠心
[00:05:06.000 --> 00:05:08.000]  神會讓你的夢想越來越大
[00:05:08.000 --> 00:05:10.000]  Hallelujah
[00:05:10.000 --> 00:05:12.000]  我自己都從來不覺得
[00:05:12.000 --> 00:05:14.000]  因為我那個時候在小組裡面
[00:05:14.000 --> 00:05:16.000]  有一個弟兄啊
[00:05:16.000 --> 00:05:18.000]  哇
[00:05:18.000 --> 00:05:20.000]  我向上仰望他
[00:05:20.000 --> 00:05:22.000]  他的聖經讀得也好
[00:05:22.000 --> 00:05:24.000]  他的
[00:05:24.000 --> 00:05:26.000]  帶茶經也帶得棒
[00:05:26.000 --> 00:05:28.000]  他禱告也是
[00:05:28.000 --> 00:05:30.000]  哇好生動
[00:05:30.000 --> 00:05:32.000]  天都開了
[00:05:32.000 --> 00:05:34.000]  然後有一次我聽到牧師說
[00:05:34.000 --> 00:05:36.000]  你什麼時候才要
[00:05:36.000 --> 00:05:38.000]  下來全職啊
[00:05:38.000 --> 00:05:40.000]  我還以為是講我
[00:05:40.000 --> 00:05:42.000]  原來是講他
[00:05:42.000 --> 00:05:44.000]  我心裡有一點失望
[00:05:44.000 --> 00:05:46.000]  然後我就聽他說
[00:05:46.000 --> 00:05:48.000]  你等我賺了一百萬
[00:05:48.000 --> 00:05:50.000]  我家每一個人一百萬
[00:05:50.000 --> 00:05:52.000]  我就下來信耶穌
[00:05:52.000 --> 00:05:54.000]  這個全職服侍神
[00:05:54.000 --> 00:05:56.000]  後來他在灣區去了
[00:05:56.000 --> 00:05:58.000]  他現在有兩棟房子
[00:05:58.000 --> 00:06:00.000]  你說他有沒有四百萬
[00:06:00.000 --> 00:06:02.000]  超過了
[00:06:02.000 --> 00:06:04.000]  他的房子就超過四百萬
[00:06:04.000 --> 00:06:06.000]  感謝神
[00:06:06.000 --> 00:06:08.000]  他沒有下來我倒下來了
[00:06:08.000 --> 00:06:10.000]  他在那邊
[00:06:10.000 --> 00:06:12.000]  因為這個夢想在裡面
[00:06:12.000 --> 00:06:14.000]  在裡面一直繳繞我
[00:06:14.000 --> 00:06:16.000]  你知道我那時候在灣區裡面
[00:06:16.000 --> 00:06:18.000]  我在Cisco上班
[00:06:18.000 --> 00:06:20.000]  我以前在這邊是在AT&T Wireless
