
[00:00:00.000 --> 00:00:03.000]  各位地根姐妹朋友們早安
[00:00:03.000 --> 00:00:07.000]  很高興今天有這個機會跟各位分享信息
[00:00:07.000 --> 00:00:09.000]  你們知道嗎
[00:00:09.000 --> 00:00:11.000]  我們講了一年
[00:00:11.000 --> 00:00:17.000]  各位記得今年的意象是什麼
[00:00:17.000 --> 00:00:19.000]  體驗在族裡面的成長
[00:00:19.000 --> 00:00:23.000]  就是experiencing the encounter with the Lord
[00:00:23.000 --> 00:00:24.000]  當然了
[00:00:24.000 --> 00:00:29.000]  今天基本上是今年最後一次跟各位分享信息
[00:00:29.000 --> 00:00:32.000]  所以我特別最後來跟各位加強一下
[00:00:32.000 --> 00:00:35.000]  到底我們要怎麼樣
[00:00:35.000 --> 00:00:40.000]  能夠經歷到在族裡面的成長
[00:00:40.000 --> 00:00:44.000]  所以我今天的題目叫做更深的經歷族
[00:00:44.000 --> 00:00:47.000]  更深的經歷到神
[00:00:47.000 --> 00:00:49.000]  如果我們看聖經的話
[00:00:49.000 --> 00:00:52.000]  馬太福音從第五章開始
[00:00:52.000 --> 00:00:54.000]  他一直講到第七章
[00:00:54.000 --> 00:00:58.000]  他都是講登山保訓
[00:00:58.000 --> 00:01:02.000]  登山保訓五章一到十二節
[00:01:02.000 --> 00:01:04.000]  他是講到八福
[00:01:04.000 --> 00:01:08.000]  他是講到我們怎麼樣能夠蒙福
[00:01:08.000 --> 00:01:11.000]  然後跟著他就講到說
[00:01:11.000 --> 00:01:13.000]  我們祖靈的操練
[00:01:13.000 --> 00:01:16.000]  還有我們怎麼樣來實做
[00:01:16.000 --> 00:01:18.000]  譬如他跟著就講說
[00:01:18.000 --> 00:01:20.000]  我們怎麼樣奉獻
[00:01:20.000 --> 00:01:23.000]  我們是光我們是炎
[00:01:23.000 --> 00:01:27.000]  我們要怎麼樣來服侍等等
[00:01:27.000 --> 00:01:30.000]  教會三百多年來
[00:01:30.000 --> 00:01:35.000]  最重要有關祖靈操練的三本書
[00:01:35.000 --> 00:01:40.000]  一本是肯定湯瑪斯的效法基督
[00:01:40.000 --> 00:01:42.000]  他主要是講我們外在
[00:01:42.000 --> 00:01:45.000]  怎麼樣有一個聖潔的生活
[00:01:45.000 --> 00:01:51.000]  另外一個是蓋恩夫人的更深經歷耶穌基督
[00:01:51.000 --> 00:01:55.000]  以及釋迦約翰的心靈的黑夜
[00:01:55.000 --> 00:01:57.000]  那麼這兩本書
[00:01:57.000 --> 00:02:02.000]  他主要是講說我們內在生命的根心
[00:02:02.000 --> 00:02:04.000]  尤其是蓋恩夫人
[00:02:04.000 --> 00:02:06.000]  如果各位對她熟
[00:02:06.000 --> 00:02:09.000]  我們都知道她還做了什麼
[00:02:09.000 --> 00:02:12.000]  她還做了荒漠甘泉
[00:02:12.000 --> 00:02:13.000]  她還做了好幾本書
[00:02:13.000 --> 00:02:18.000]  都是我們靈修的時候常常用得到她的
[00:02:18.000 --> 00:02:23.000]  她主要是講說我們內心的生命的根心
[00:02:23.000 --> 00:02:28.000]  所以今天我講的更深經歷主
[00:02:28.000 --> 00:02:32.000]  就是根據她的這本書更深經歷耶穌基督
[00:02:32.000 --> 00:02:37.000]  我來做一個申訴來講這本書的教導
[00:02:37.000 --> 00:02:42.000]  當然我們也知道蓋恩夫人是一個法國人
[00:02:42.000 --> 00:02:47.000]  那麼她的一生其實要不是有主的話
