
[00:00:00.000 --> 00:00:04.500]  上次和大家講了丹尼里的異象
[00:00:04.500 --> 00:00:06.900]  在丹尼里書第七章
[00:00:06.900 --> 00:00:08.900]  如果大家記得的話
[00:00:08.900 --> 00:00:12.300]  丹尼里是看到有四隻野獸
[00:00:12.300 --> 00:00:15.500]  從大海爬上來
[00:00:15.500 --> 00:00:18.500]  一隻跟著一隻爬上岸
[00:00:18.500 --> 00:00:22.400]  我們說獅子是代表巴比倫
[00:00:22.400 --> 00:00:26.800]  我們說紅人是代表馬代波斯
[00:00:26.900 --> 00:00:30.100]  我們說豹是代表希臘
[00:00:30.100 --> 00:00:33.500]  另外有一隻是十隻角的怪獸
[00:00:33.500 --> 00:00:36.400]  是代表羅馬帝國
[00:00:36.400 --> 00:00:38.300]  就在這個時候
[00:00:38.300 --> 00:00:42.400]  丹尼里好像我們在電影院看電影一樣
[00:00:42.400 --> 00:00:46.900]  突然間銀光幕是分開了上高和下低
[00:00:46.900 --> 00:00:50.700]  它突然間能夠看見天上所發生的事
[00:00:50.700 --> 00:00:53.300]  一方面地下是亂七八糟
[00:00:53.300 --> 00:00:55.800]  國攻打國民攻打民
[00:00:55.900 --> 00:00:59.300]  一國是代替了另一國
[00:00:59.300 --> 00:01:04.500]  在天上它突然間看見一片寧靜一片太平
[00:01:04.500 --> 00:01:07.700]  它在天上看見有一個寶座
[00:01:07.700 --> 00:01:11.300]  在寶座上高坐了一位
[00:01:11.300 --> 00:01:14.900]  它叫做是僅古常在者
[00:01:14.900 --> 00:01:20.700]  究竟僅古常在者是代表哪一位?
[00:01:21.300 --> 00:01:26.500]  僅古常在者的英文版本聖經是叫做Ancient of Days
[00:01:26.500 --> 00:01:30.900]  是很古老很古老永遠存在的那一位
[00:01:30.900 --> 00:01:35.300]  在丹尼里書僅古存在的這個名字
[00:01:35.300 --> 00:01:38.900]  只在丹尼里書第七章能夠見到
[00:01:38.900 --> 00:01:44.100]  就是代表那一位自有永有永遠存在的神
[00:01:44.100 --> 00:01:47.100]  祂是掌管一切
[00:01:47.100 --> 00:01:49.300]  雖然地上亂七八糟
[00:01:49.300 --> 00:01:51.700]  但是有神仍然是掌權
[00:01:51.700 --> 00:02:00.700]  我們說僅古常在者在丹尼里書出現了三次
[00:02:00.700 --> 00:02:03.700]  七章八節
[00:02:03.700 --> 00:02:05.500]  七章十三節
[00:02:05.500 --> 00:02:07.300]  和七章二十二節
[00:02:07.300 --> 00:02:11.700]  其實僅古常在者的意思
[00:02:11.700 --> 00:02:13.100]  就是說是神
[00:02:13.100 --> 00:02:15.700]  是自有永有永遠存在的神
[00:02:15.900 --> 00:02:19.500]  所以可以用來形容為父
[00:02:19.500 --> 00:02:22.100]  也可以用來形容為子
[00:02:22.100 --> 00:02:24.700]  也可以用來形容為聖靈
[00:02:24.700 --> 00:02:27.300]  因為三位一體的神都是真神
[00:02:27.300 --> 00:02:30.500]  究竟是形容哪一個呢?
[00:02:30.500 --> 00:02:32.300]  我們要看經文的記載
[00:02:32.300 --> 00:02:35.500]  才知道僅古常在者是說哪一個
[00:02:35.500 --> 00:02:39.300]  七章八節是說坐在寶座上
[00:02:39.300 --> 00:02:41.900]  有人說這樣一定是說父了
[00:02:41.900 --> 00:02:43.700]  其實也不一定
[00:02:44.100 --> 00:02:47.500]  如果你看《約翰福音》第十二章
[00:02:47.500 --> 00:02:49.500]  你會看到使徒約翰
[00:02:49.500 --> 00:02:52.300]  說當年以賽亞先知在這裡
[00:02:52.300 --> 00:02:54.300]  以賽亞書六章所見到
[00:02:54.300 --> 00:02:57.900]  高高在上坐在皇位上的那一位神
[00:02:57.900 --> 00:02:59.300]  是耶穌基督
[00:02:59.300 --> 00:03:03.100]  在丹尼里書七章十三節
[00:03:03.100 --> 00:03:05.500]  比較容易知道說哪一位
[00:03:05.500 --> 00:03:09.300]  因為說人子從僅古常在者
[00:03:09.300 --> 00:03:11.900]  得到權並榮耀是國度
[00:03:11.900 --> 00:03:13.500]  說到有兩位
[00:03:13.500 --> 00:03:16.100]  是三位一體的神中的兩位
