
[00:00:00.000 --> 00:00:06.000]  10年之前,一位基督徒有一個領袖
[00:00:06.000 --> 00:00:13.000]  就要開始一間教會,在港島東區聚焦宣教
[00:00:13.000 --> 00:00:17.000]  本地宣教和海外宣教
[00:00:17.000 --> 00:00:23.000]  幾個月之後,全因堂就開始了
[00:00:29.000 --> 00:00:33.000]  上帝為我們預備在台灣一個地方
[00:00:33.000 --> 00:00:37.000]  接著就發生了很多事
[00:00:37.000 --> 00:00:40.000]  2017年,大家記得
[00:00:40.000 --> 00:00:45.000]  到現在,我們有經歷過社會事件
[00:00:45.000 --> 00:00:49.000]  新冠疫情,移民潮
[00:00:49.000 --> 00:00:53.000]  上個月,我們播道總會,有人告訴我
[00:00:53.000 --> 00:00:59.000]  播道會的人數跌了超過三分之一
[00:00:59.000 --> 00:01:05.000]  整個播道會,60間堂會的人數跌了超過三分之一
[00:01:05.000 --> 00:01:12.000]  在這個情況之下,全因堂當然也會受到這些外圍環境的影響
[00:01:12.000 --> 00:01:18.000]  但是,靠著上帝的保守,我們屹立到如今
[00:01:18.000 --> 00:01:26.000]  不僅如此,去年九月,上帝為我們預備了北角這個這麼好的地方
[00:01:26.000 --> 00:01:30.000]  今天我回來就跟Kid說
[00:01:30.000 --> 00:01:37.000]  我們自己安裝了冷氣,星期天就不能用大廈的冷氣
[00:01:37.000 --> 00:01:40.000]  這麼熱的時候,夠不夠力呢?
[00:01:40.000 --> 00:01:44.000]  Kid說夠力的,我們感謝上帝
[00:01:44.000 --> 00:01:50.000]  上帝為我們預備資金,為我們預備執事,為我們預備童工
[00:01:50.000 --> 00:01:54.000]  我們童心竭力,有這麼美好的地方
[00:01:54.000 --> 00:02:01.000]  今天下午,也會有一個聚會,很多其他堂會的來賓
[00:02:01.000 --> 00:02:08.000]  有些人來想聽這個故事,我們宣教的故事
[00:02:08.000 --> 00:02:12.000]  有些人甚至來想聽我們這個地方是怎樣的
[00:02:12.000 --> 00:02:15.000]  如果大家今天下午可以的話,出席
[00:02:15.000 --> 00:02:19.000]  還有,你是主人家,歡迎他們
[00:02:19.000 --> 00:02:23.000]  就算你沒有報名,現在都可以報名的,出席
[00:02:23.000 --> 00:02:31.000]  這是一個慶祝,我們的神為我們預備了大事
[00:02:31.000 --> 00:02:36.000]  我們知道,隨著時間過去,我們都會老的
[00:02:36.000 --> 00:02:39.000]  今天早上我們崇拜,整天崇拜,我們想到
[00:02:39.000 --> 00:02:43.000]  我們的爸爸媽媽,身體不是很好嗎?
[00:02:43.000 --> 00:02:48.000]  我們的爸爸媽媽年紀不小了,我的爸爸媽媽就不在了
[00:02:48.000 --> 00:02:54.000]  但Kid,小方,江牧師那些爸爸媽媽,個個都不小
[00:02:54.000 --> 00:03:01.000]  其實,當我們展望前面的時候,可能都有點擔心,那怎麼辦呢?
[00:03:01.000 --> 00:03:05.000]  但今天我要跟大家講一段很興奮的經文
[00:03:05.000 --> 00:03:10.000]  就是詩篇126篇,剛才惠雄弟兄跟我們讀
[00:03:10.000 --> 00:03:14.000]  上帝為我們預備了,做了大事
[00:03:14.000 --> 00:03:22.000]  我跟太太7月5號就不可以參加唐慶的會友大會,年夜會
[00:03:22.000 --> 00:03:27.000]  因為我們在台灣,所以如果你不是去台灣的話
[00:03:27.000 --> 00:03:31.000]  我鼓勵你不要去北上旅遊,來參加會友大會
[00:03:31.000 --> 00:03:39.000]  因為我不能夠去到,所以這篇信息也是我心裏的感受
[00:03:39.000 --> 00:03:43.000]  上帝其實是為全因堂做了大事
[00:03:43.000 --> 00:03:54.000]  我們看一看這篇詩篇,頭三節是講到感恩的
[00:03:54.000 --> 00:03:56.000]  為上帝所做的事感恩
[00:03:56.000 --> 00:04:01.000]  第四到第六節為前途盼望依靠
[00:04:01.000 --> 00:04:03.000]  就是這麼簡單
[00:04:03.000 --> 00:04:06.000]  我們全因堂面對的情況也是這樣
