
[00:00:00.000 --> 00:00:07.880]  佔那個罪事的份量有分主角、配角或者閒角
[00:00:07.880 --> 00:00:11.600]  如果從道德去劃分呢?
[00:00:11.600 --> 00:00:15.040]  他可能是好人或者壞人
[00:00:15.040 --> 00:00:18.400]  角色是可以轉移的
[00:00:18.400 --> 00:00:21.520]  譬如在讓福音那個罪事者的筆下呢?
[00:00:21.520 --> 00:00:24.560]  譬如在約翰福音這個敘事者的筆下呢?
[00:00:24.560 --> 00:00:30.200]  這班宗教的領袖按理應該是好人來的
[00:00:30.200 --> 00:00:35.960]  因為他帶領人去認識上帝
[00:00:35.960 --> 00:00:39.440]  但是在這個敘事者的筆下呢?
[00:00:39.440 --> 00:00:47.200]  這群宗教領袖,他們只是一班貪圖權力
[00:00:47.200 --> 00:00:52.080]  身份地位,或者唯利是圖的人
[00:00:52.080 --> 00:00:57.760]  真理對他們來說,他們只是一種包裝工具
[00:00:57.760 --> 00:01:00.640]  襯托自己高人一等
[00:01:00.640 --> 00:01:07.680]  不要忘記場地的場景是聖殿
[00:01:07.680 --> 00:01:14.800]  聖殿是象徵上帝與人同在的一個象徵
[00:01:14.800 --> 00:01:24.480]  但是這個場景,這個聖殿的地方就成為這班宗教領袖去玩弄政治,要去試探耶穌的一個場地
[00:01:24.480 --> 00:01:35.520]  但是場景這個聖殿卻成為這些宗教領袖,他們要去玩弄,去好像政治手段
[00:01:35.520 --> 00:01:41.760]  這班宗教領袖要試探耶穌的方法呢?
[00:01:41.760 --> 00:01:47.840]  他們就用當時一個最喜歡辯論的方法
[00:01:47.840 --> 00:01:53.040]  我們有一種叫兩難的議題,叫做dynamic
[00:01:53.040 --> 00:01:58.800]  意思就是你這樣回答也不對,那樣回答也不對
[00:01:58.800 --> 00:02:05.600]  因為他們把這個行淫的婦人帶到耶穌的面前
[00:02:05.600 --> 00:02:11.840]  他就問我按照摩西的律法怎樣去執行呢?
[00:02:11.840 --> 00:02:14.640]  這個就涉及兩個問題
[00:02:14.640 --> 00:02:19.120]  如果按摩西的律法就要執行死刑
[00:02:19.120 --> 00:02:27.120]  但是猶太人當時沒有行使死刑這個法律的權利
[00:02:27.120 --> 00:02:30.240]  只有羅馬的官員才可以
[00:02:30.240 --> 00:02:33.200]  大家記不記得當耶穌被拉到比拉多的時候
[00:02:33.200 --> 00:02:39.040]  比拉多就不想沾染這些政治事件
[00:02:39.040 --> 00:02:43.040]  叫他們自行處理
[00:02:43.040 --> 00:02:46.000]  猶太人當時怎麼回答呢?
[00:02:46.000 --> 00:02:48.960]  他們說我們沒有殺人的權柄
[00:02:48.960 --> 00:02:54.960]  如果我們有殺人的權柄早就已經下手了
[00:02:54.960 --> 00:03:00.400]  第二個是針對耶穌經常提出的愛的教導
[00:03:00.400 --> 00:03:03.600]  第二個是針對耶穌常常提醒的愛的教導
[00:03:03.600 --> 00:03:06.320]  對罪人的那種包容
[00:03:06.320 --> 00:03:12.400]  所以如果你一個正在行淫的婦人帶到耶穌的面前
[00:03:12.400 --> 00:03:15.120]  如果耶穌說包容他
[00:03:15.120 --> 00:03:19.760]  他們就是侮辱或褻瀆摩西的律法
[00:03:19.760 --> 00:03:23.200]  引起整個猶太人的公憤
[00:03:23.200 --> 00:03:33.040]  所以他們整個敘事的焦點是擺在他們帶著政治的目的
[00:03:33.040 --> 00:03:35.360]  他們想要陷害耶穌
[00:03:35.360 --> 00:03:41.840]  希望抓到這個華病要去制裁他
[00:03:41.840 --> 00:03:47.360]  所以為什麼我說這班宗教領袖
[00:03:47.360 --> 00:03:51.680]  在陽光敘事者的筆下
[00:03:51.680 --> 00:03:54.320]  是一些所謂的奸角
[00:03:54.320 --> 00:03:56.240]  是一些很奸詐的角色
[00:03:56.240 --> 00:03:56.960]  一些壞人
[00:03:56.960 --> 00:04:01.440]  他們本來是將人帶到上帝的面前
[00:04:01.440 --> 00:04:04.480]  做一個正直的天國子民
[00:04:04.480 --> 00:04:09.840]  但是你留意他出現了一種雙面人
[00:04:09.840 --> 00:04:12.160]  在第三節開始
[00:04:12.160 --> 00:04:16.000]  我們可以說用一個法庭審判的場景
[00:04:16.000 --> 00:04:18.800]  有三個布幕
[00:04:18.800 --> 00:04:23.040]  第三節開始我們可以看到很像法庭的一個順序
[00:04:23.040 --> 00:04:24.960]  有三個分幕
[00:04:24.960 --> 00:04:28.560]  第一幕是講控罪
[00:04:28.560 --> 00:04:36.720]  指這些宗教領袖將一位行人的婦人帶到耶穌面前
[00:04:36.720 --> 00:04:38.640]  她要試探耶穌
[00:04:38.640 --> 00:04:41.200]  她要抓住耶穌的把柄
[00:04:41.200 --> 00:04:45.360]  第二幕是一個審訊的過程
[00:04:45.360 --> 00:04:52.000]  耶穌用紙頭在地上畫字
[00:04:52.000 --> 00:04:56.640]  然後簡潔回答這群宗教領袖
[00:04:56.640 --> 00:04:59.920]  第三幕就是結案
[00:04:59.920 --> 00:05:05.040]  這個被捉拿的女人單獨面對耶穌
[00:05:05.040 --> 00:05:08.160]  然後結束警局的敘事
[00:05:08.160 --> 00:05:12.880]  我們比較深入去看一下每一幕的場景
[00:05:12.880 --> 00:05:19.920]  第一幕的場景是類似公審的形式
[00:05:19.920 --> 00:05:24.880]  文史和法律採取了一個行人的婦人
[00:05:24.880 --> 00:05:27.040]  她帶到聖殿
[00:05:27.040 --> 00:05:31.200]  大家都知道聖殿每天川流不息
[00:05:31.200 --> 00:05:35.200]  當時又形容耶穌在聖殿教訓人
[00:05:35.200 --> 00:05:38.320]  又形容當時耶穌正在聖殿教訓人
[00:05:38.320 --> 00:05:46.640]  這群宗教領袖就是要婦人站在人群當中
[00:05:46.640 --> 00:05:52.400]  或者利用群眾的壓力衝著耶穌而來
[00:05:52.400 --> 00:05:59.600]  很明顯這樣一個政治的行動是經過部署和計劃的
[00:05:59.600 --> 00:06:03.920]  她就向耶穌提出她們的指控
[00:06:03.920 --> 00:06:09.040]  她們一開始就說夫子就是老師的意思
[00:06:09.040 --> 00:06:11.920]  留意不是她們突然有事
[00:06:11.920 --> 00:06:17.360]  其實她們是想用一個身份套住耶穌
[00:06:17.360 --> 00:06:19.760]  你是作為老師
[00:06:19.760 --> 00:06:22.480]  你是作為教導律法
[00:06:22.480 --> 00:06:26.720]  你應該是不可以出錯的
[00:06:26.720 --> 00:06:30.320]  否則你就不配為人師表
[00:06:30.320 --> 00:06:33.200]  所以她們的指控是什麼呢
[00:06:33.200 --> 00:06:37.840]  這個婦人正在行刑的時候被捉拿
[00:06:37.840 --> 00:06:42.720]  摩西吩咐我們要用石頭打死她
[00:06:42.720 --> 00:06:46.240]  請問我們應該怎麼做呢
[00:06:46.240 --> 00:06:49.040]  然後第六節就補充了
[00:06:49.040 --> 00:06:52.880]  她們的動機是要試探耶穌
