
[00:00:00.000 --> 00:00:04.040]  很開心今天又可以跟大家分享上帝的壞語
[00:00:04.040 --> 00:00:09.440]  今天我想跟大家分享的經文
[00:00:09.440 --> 00:00:12.340]  或者應該說我想分享的港島主題
[00:00:12.340 --> 00:00:13.840]  是講到吃飯
[00:00:13.840 --> 00:00:15.680]  大家吃過飯了嗎?
[00:00:15.680 --> 00:00:17.640]  今天吃飽了嗎?
[00:00:17.640 --> 00:00:18.380]  飽了OK
[00:00:18.380 --> 00:00:19.180]  還是還沒OK的話
[00:00:19.180 --> 00:00:20.140]  待會出去拿
[00:00:20.140 --> 00:00:21.540]  待會先,不要現在
[00:00:21.540 --> 00:00:22.640]  待會出去拿
[00:00:22.640 --> 00:00:25.980]  我覺得吃是人類生活當中的一個需要
[00:00:25.980 --> 00:00:28.800]  每一天我們都需要去吃東西
[00:00:28.800 --> 00:00:31.100]  我們每一天都有吃飯的習慣
[00:00:31.100 --> 00:00:34.500]  可能有些人要每一天吃兩餐
[00:00:34.500 --> 00:00:36.800]  或者有些人可能一天吃午餐
[00:00:36.800 --> 00:00:38.700]  有些人可能吃便宜的東西就很滿足
[00:00:38.700 --> 00:00:41.300]  有些人不貴就不吃的
[00:00:41.300 --> 00:00:42.700]  就是這樣
[00:00:42.700 --> 00:00:47.900]  有不同的人都有不同的吃飯的文化習慣
[00:00:47.900 --> 00:00:51.200]  又或者傳統對待方式
[00:00:51.200 --> 00:00:52.500]  很多東西我們都可以想的
[00:00:52.500 --> 00:00:54.200]  不知道對你們來說
[00:00:54.200 --> 00:00:58.100]  吃飯又有什麼意義呢?
[00:00:58.100 --> 00:01:01.400]  在聖經當中都有記載有關吃飯的東西
[00:01:01.400 --> 00:01:04.000]  當然在裡面也有記載
[00:01:04.000 --> 00:01:07.500]  耶穌和祂的門徒吃飯的一些經歷
[00:01:07.500 --> 00:01:11.300]  我今天就想跟大家思想其中一段
[00:01:11.300 --> 00:01:17.300]  思想之前我想再邀請大家一起去做個祈禱
[00:01:17.300 --> 00:01:18.300]  親愛的天父感謝祢
[00:01:18.300 --> 00:01:20.400]  今天我們可以一同來到這裡
[00:01:20.400 --> 00:01:23.500]  有機會一同思想祢的話語
[00:01:23.500 --> 00:01:25.700]  沿著次福我們以下的時間
[00:01:25.700 --> 00:01:27.500]  讓我們可以能夠明白
[00:01:27.500 --> 00:01:29.700]  讓我們可以能夠有所得著
[00:01:29.700 --> 00:01:32.300]  以致我們生命當中有所改變
[00:01:32.300 --> 00:01:33.200]  求主祢帶領
[00:01:33.200 --> 00:01:34.600]  奉主祢所聖名祈求
[00:01:34.600 --> 00:01:35.800]  Amen
[00:01:35.800 --> 00:01:38.200]  其中一段的記載
[00:01:38.200 --> 00:01:42.800]  其實就記載在馬太福音的9章9到13節
[00:01:42.800 --> 00:01:44.800]  馬太福音的9章9到13節
[00:01:44.800 --> 00:01:48.200]  其中一節的經文就這樣記載的
[00:01:48.200 --> 00:01:49.300]  其實就是說
[00:01:49.300 --> 00:01:51.400]  耶穌在屋裡坐寂的時候
[00:01:51.400 --> 00:01:53.600]  有好些瑞利和聚人來
[00:01:53.600 --> 00:01:57.100]  與耶穌和祂的門徒一同坐寂
[00:01:57.100 --> 00:01:59.500]  我們看到在這裡就寫著
[00:01:59.500 --> 00:02:02.200]  主耶穌和一班的門徒一同坐寂
[00:02:02.200 --> 00:02:03.700]  準備吃飯
[00:02:03.700 --> 00:02:04.600]  正如剛才所說
