
[00:00:00.000 --> 00:00:04.000]  馬太福音第21章18到22節
[00:00:04.000 --> 00:00:06.000]  請弟兄姐妹翻開聖經
[00:00:06.000 --> 00:00:11.000]  或者看到熒幕上的經文
[00:00:11.000 --> 00:00:16.000]  請聽弟兄來唸
[00:00:16.000 --> 00:00:20.000]  早晨回城的時候
[00:00:20.000 --> 00:00:22.000]  他餓了
[00:00:22.000 --> 00:00:25.000]  看見路旁有一棵無花果樹
[00:00:25.000 --> 00:00:27.000]  就走到路前
[00:00:27.000 --> 00:00:30.000]  在樹上找不着什麼
[00:00:30.000 --> 00:00:33.000]  不過有葉子就對樹說
[00:00:33.000 --> 00:00:36.000]  從今以後你永不結果子
[00:00:36.000 --> 00:00:40.000]  那無花果樹就立刻枯乾了
[00:00:40.000 --> 00:00:42.000]  門徒看見了便稀奇說
[00:00:42.000 --> 00:00:46.000]  無花果樹怎麼立刻枯乾了呢
[00:00:46.000 --> 00:00:48.000]  耶穌回答說
[00:00:48.000 --> 00:00:51.000]  我實在告訴你們
[00:00:51.000 --> 00:00:53.000]  你們若有信心不疑惑
[00:00:53.000 --> 00:00:58.000]  不但能行無花果樹上
[00:00:58.000 --> 00:01:02.000]  若所行的事
[00:01:02.000 --> 00:01:04.000]  就是對這山說
[00:01:04.000 --> 00:01:05.000]  你挪開此地
[00:01:05.000 --> 00:01:08.000]  投在海里也必成就
[00:01:08.000 --> 00:01:09.000]  你們禱告
[00:01:09.000 --> 00:01:10.000]  無論求什麼
[00:01:10.000 --> 00:01:16.000]  只要信就必得着
[00:01:16.000 --> 00:01:19.000]  讀經到這邊
[00:01:19.000 --> 00:01:23.000]  接下來有請謝楚英姑娘爲我們贈道
[00:01:23.000 --> 00:01:26.000]  她今天的講題是「只有葉子」
[00:01:26.000 --> 00:01:37.000]  我們請張震陽弟兄爲大家翻譯
[00:01:37.000 --> 00:01:40.000]  願平安臨到人間
[00:01:40.000 --> 00:01:43.000]  有一首很好的詩歌
[00:01:43.000 --> 00:01:48.000]  感謝主今天生命團契爲我們獻詩
[00:01:48.000 --> 00:01:53.000]  教會原來都隱藏了很多詩班在這裏
[00:01:53.000 --> 00:01:56.000]  希望他們繼續努力
[00:01:56.000 --> 00:02:00.000]  有一首詩歌叫「只有葉子」
[00:02:00.000 --> 00:02:05.000]  內容是「只有葉子獻恩主」
[00:02:05.000 --> 00:02:07.000]  面對着恩主
[00:02:07.000 --> 00:02:11.000]  應該將果子獻給她
[00:02:11.000 --> 00:02:13.000]  但詩歌說
[00:02:13.000 --> 00:02:18.000]  只有葉子獻恩主
[00:02:18.000 --> 00:02:22.000]  她的心何等悲傷
[00:02:22.000 --> 00:02:24.000]  只有將葉子獻給恩主
[00:02:24.000 --> 00:02:26.000]  沒有真實的果子
[00:02:26.000 --> 00:02:30.000]  是一件叫神悲傷的事情
[00:02:30.000 --> 00:02:32.000]  馬太福音提到
[00:02:32.000 --> 00:02:36.000]  耶穌在世上最後的一週
[00:02:36.000 --> 00:02:39.000]  騎着驢進入耶路撒冷
[00:02:39.000 --> 00:02:42.000]  衆人前呼後擁
[00:02:42.000 --> 00:02:44.000]  高唱和賽納
[00:02:44.000 --> 00:02:48.000]  後來又出城往伯大利住宿
[00:02:48.000 --> 00:02:52.000]  第二天大早清晨
[00:02:52.000 --> 00:02:56.000]  耶穌帶着門徒去聖殿
[00:02:56.000 --> 00:02:59.000]  那個時候耶穌餓了
[00:02:59.000 --> 00:03:04.000]  看見路旁那棵無花果樹
[00:03:04.000 --> 00:03:08.000]  於是就和門徒走到樹的前面
[00:03:08.000 --> 00:03:12.000]  只有滿目的葉子
[00:03:12.000 --> 00:03:16.000]  找不到果子來充飢
[00:03:16.000 --> 00:03:20.000]  耶穌就咒咒那棵樹
[00:03:20.000 --> 00:03:22.000]  從那以後
[00:03:22.000 --> 00:03:24.000]  永不再結果子
[00:03:24.000 --> 00:03:29.000]  爲什麼耶穌要咒咒那棵無花果樹呢?
[00:03:29.000 --> 00:03:32.000]  咒咒的原因在哪裏呢?
[00:03:32.000 --> 00:03:35.000]  從表面來看
[00:03:35.000 --> 00:03:38.000]  好像不是很合理
[00:03:38.000 --> 00:03:41.000]  因爲當時是逾越節
[00:03:41.000 --> 00:03:46.000]  四月是沒有無花果樹結果的時候
[00:03:46.000 --> 00:03:50.000]  所以應該是沒有無花果果實的
