
[00:00:00.000 --> 00:00:03.000]  請各位再一次同心祈禱
[00:00:03.000 --> 00:00:07.000]  昌禧天父,我們感謝祢
[00:00:07.000 --> 00:00:11.000]  因為祢在萬人之中揀選了我們
[00:00:11.000 --> 00:00:14.000]  使我們成為祢的兒女
[00:00:14.000 --> 00:00:19.000]  藉著主耶穌基督,登身十甲流出補血
[00:00:19.000 --> 00:00:24.000]  讓我們的罪得赦免,成為新造的人
[00:00:24.000 --> 00:00:28.000]  使我們今天能夠來到祢的殿裡敬拜祢
[00:00:28.000 --> 00:00:30.000]  我們獻上感謝
[00:00:30.000 --> 00:00:33.000]  我們亦將在座有未信的朋友
[00:00:33.000 --> 00:00:38.000]  同樣向禱告交託給祢
[00:00:38.000 --> 00:00:43.000]  求主祢親自在他們的心門求門
[00:00:43.000 --> 00:00:48.000]  讓主耶穌基督能夠早日進入他們的內心
[00:00:48.000 --> 00:00:54.000]  能夠去掌管,讓他們能夠成為得救的兒女
[00:00:55.000 --> 00:00:58.000]  做回天父兒女的名分
[00:00:58.000 --> 00:01:01.000]  禱告交託,奉耶穌名求,阿門
[00:01:25.000 --> 00:01:29.000]  這是一些枝子,這些是果子
[00:01:29.000 --> 00:01:36.000]  我相信大家常去市場或超級市場
[00:01:36.000 --> 00:01:39.000]  當去超級市場看到很多水果的時候
[00:01:39.000 --> 00:01:42.000]  我特別喜歡看葡萄子
[00:01:42.000 --> 00:01:45.000]  因為你會發覺葡萄子一抽
[00:01:45.000 --> 00:01:48.000]  又大粒,又光澤
[00:01:48.000 --> 00:01:52.000]  再加上一些葉,一抽出來
[00:01:53.000 --> 00:01:57.000]  感覺是一個很豐滿的感覺
[00:01:57.000 --> 00:02:01.000]  是一個很美麗的感覺,有很新鮮的感覺
[00:02:01.000 --> 00:02:07.000]  因為看到葡萄子是一抽,不是一粒兩粒
[00:02:07.000 --> 00:02:11.000]  是走在一起,感覺是很美好
[00:02:11.000 --> 00:02:16.000]  耶穌基督用葡萄樹和枝子
[00:02:16.000 --> 00:02:19.000]  代表了祂和我們的關係
