
[00:00:00.000 --> 00:00:03.940]  很高興今天能夠跟大家分享上帝的說話
[00:00:03.940 --> 00:00:06.600]  我們今天能夠在這個地方當中
[00:00:06.600 --> 00:00:09.600]  其實有很多弟兄姊妹的努力
[00:00:09.600 --> 00:00:14.000]  特別是剛才當大家為宣教一分鐘祈禱的時候
[00:00:14.000 --> 00:00:16.000]  我想起一位牧者
[00:00:16.000 --> 00:00:18.000]  我想起瑪麗遜牧師
[00:00:18.000 --> 00:00:19.280]  大家知道瑪麗遜牧師是誰嗎?
[00:00:19.280 --> 00:00:20.500]  知道的舉手好嗎?
[00:00:20.500 --> 00:00:21.500]  知道的舉手
[00:00:21.500 --> 00:00:23.000]  Dr. Robert Morrison
[00:00:23.000 --> 00:00:24.800]  他當時想起家庭的時候
[00:00:24.800 --> 00:00:28.000]  當年他被神呼召來到中國的時候
[00:00:28.000 --> 00:00:29.800]  我印象中他好像26歲左右
[00:00:29.800 --> 00:00:31.000]  有沒有人26歲的?
[00:00:31.000 --> 00:00:32.000]  有沒有人26歲的?
[00:00:32.000 --> 00:00:33.500]  有沒有人不敢舉手的?
[00:00:33.500 --> 00:00:35.000]  每個人都20歲以下
[00:00:35.000 --> 00:00:38.000]  來到中國的時候
[00:00:38.000 --> 00:00:40.000]  他很愛太太
[00:00:40.000 --> 00:00:41.500]  也很愛他的家人
[00:00:41.500 --> 00:00:45.000]  但是他知道他有一個更大的愛
[00:00:45.000 --> 00:00:48.000]  就是他知道愛他那位的上帝
[00:00:48.000 --> 00:00:51.000]  是配得他現象最好
[00:00:51.000 --> 00:00:52.000]  而上帝感動他
[00:00:52.000 --> 00:00:55.000]  去到中國這個地方傳福音
[00:00:55.000 --> 00:00:56.000]  如果大家有機會
[00:00:56.000 --> 00:00:57.000]  去到澳門的時候
[00:00:57.000 --> 00:00:59.000]  去到澳門有沒有人去過澳門的?
[00:00:59.000 --> 00:01:00.000]  去過澳門的
[00:01:00.000 --> 00:01:04.000]  除了去買不同的食物回來的時候
[00:01:04.000 --> 00:01:07.000]  有機會可以去白鴿巢公園
[00:01:07.000 --> 00:01:09.000]  旁邊有一個瑪麗遜堂
[00:01:09.000 --> 00:01:10.000]  一個很小的教堂
[00:01:10.000 --> 00:01:11.000]  白色的教堂
[00:01:11.000 --> 00:01:12.000]  非常小的教堂
[00:01:12.000 --> 00:01:15.000]  後面有一個基督教墓地
[00:01:15.000 --> 00:01:18.000]  有瑪麗遜牧師的一個墓
[00:01:18.000 --> 00:01:21.000]  和他太太和他很小的一個孩子
[00:01:21.000 --> 00:01:23.000]  當時他來到中國
[00:01:23.000 --> 00:01:24.000]  他很愛我們
[00:01:24.000 --> 00:01:25.000]  以至我們今天
[00:01:25.000 --> 00:01:26.000]  我們不單止是同福堂
[00:01:26.000 --> 00:01:28.000]  我們是播道會
[00:01:28.000 --> 00:01:30.000]  中國基督教播道會同福堂
[00:01:30.000 --> 00:01:31.000]  我們的生命
[00:01:31.000 --> 00:01:33.000]  我們今天能夠這麼年輕地信著
[00:01:33.000 --> 00:01:35.000]  其實不是必然的
[00:01:35.000 --> 00:01:37.000]  是很多弟兄姊妹的生命
[00:01:37.000 --> 00:01:38.000]  他擺上
[00:01:38.000 --> 00:01:39.000]  所以我們譬如說宣教
[00:01:39.000 --> 00:01:40.000]  好像很離地
[00:01:40.000 --> 00:01:41.000]  現在香港也有很多事情要搞
[00:01:41.000 --> 00:01:42.000]  我不需要宣教
[00:01:42.000 --> 00:01:43.000]  但不是的
[00:01:43.000 --> 00:01:45.000]  這個是教會的歷史
[00:01:45.000 --> 00:01:47.000]  其實是宣教的歷史
[00:01:47.000 --> 00:01:48.000]  如果教會不傳福音
[00:01:48.000 --> 00:01:49.000]  不宣教
[00:01:49.000 --> 00:01:50.000]  不祈禱的時候
[00:01:50.000 --> 00:01:53.000]  這間好像不是耶穌基督所呼召的教會
[00:01:53.000 --> 00:01:54.000]  所以求主要幫助我們
[00:01:54.000 --> 00:01:56.000]  所以今天我們說到愛的時候
[00:01:56.000 --> 00:01:58.000]  其實聖經裡面說到
[00:01:58.000 --> 00:02:01.000]  我們今天是被上帝呼召的這群門徒
[00:02:01.000 --> 00:02:02.000]  是有特徵
[00:02:02.000 --> 00:02:03.000]  有看得見的愛
[00:02:03.000 --> 00:02:04.000]  我們有一個愛
[00:02:04.000 --> 00:02:05.000]  不是自己擠一些愛出來
[00:02:05.000 --> 00:02:06.000]  你沒有愛
[00:02:06.000 --> 00:02:07.000]  很難擠一些愛出來
[00:02:07.000 --> 00:02:08.000]  你擠你旁邊的人
[00:02:08.000 --> 00:02:09.000]  只是笑而已
[00:02:09.000 --> 00:02:11.000]  你要有那份的愛
[00:02:11.000 --> 00:02:12.000]  那怎麼樣呢
[00:02:12.000 --> 00:02:13.000]  我們很難有愛的
[00:02:13.000 --> 00:02:14.000]  憑我們自己
[00:02:14.000 --> 00:02:15.000]  大家是不是
[00:02:15.000 --> 00:02:16.000]  很有愛
[00:02:16.000 --> 00:02:17.000]  很有限的愛
[00:02:17.000 --> 00:02:18.000]  甚至今天說到
[00:02:18.000 --> 00:02:21.000]  上次兩星期
[00:02:21.000 --> 00:02:23.000]  Pastor Jim說到
[00:02:23.000 --> 00:02:24.000]  愛篇
[00:02:24.000 --> 00:02:25.000]  一個愛篇
[00:02:25.000 --> 00:02:27.000]  覺得人的愛很有限
[00:02:27.000 --> 00:02:29.000]  人的愛真的很有限
[00:02:29.000 --> 00:02:30.000]  坦白說
[00:02:30.000 --> 00:02:33.000]  但是當我們的生命連結在主耶穌基督的時候
[00:02:33.000 --> 00:02:36.000]  我們才有那份真正的愛
[00:02:36.000 --> 00:02:37.000]  記不記得
[00:02:37.000 --> 00:02:38.000]  最後這個
[00:02:38.000 --> 00:02:39.000]  記不記得
[00:02:39.000 --> 00:02:40.000]  有沒有人會背的
[00:02:40.000 --> 00:02:41.000]  記不記得怎樣背
[00:02:41.000 --> 00:02:42.000]  上星期那兩段聖經
[00:02:42.000 --> 00:02:43.000]  已經說了兩星期了
[00:02:43.000 --> 00:02:45.000]  Pastor Jim很傷心的
[00:02:45.000 --> 00:02:47.000]  愛是什麼
[00:02:47.000 --> 00:02:48.000]  恆久忍耐
[00:02:48.000 --> 00:02:50.000]  有恩慈
[00:02:50.000 --> 00:02:51.000]  愛是怎麼樣
[00:02:51.000 --> 00:02:52.000]  不嫉妒
[00:02:52.000 --> 00:02:53.000]  不自誇
[00:02:53.000 --> 00:02:54.000]  不張狂
[00:02:54.000 --> 00:02:55.000]  不害羞的事
[00:02:55.000 --> 00:02:56.000]  怎麼樣
[00:02:56.000 --> 00:02:58.000]  不求知的處
[00:02:58.000 --> 00:02:59.000]  不輕易發怒
[00:02:59.000 --> 00:03:00.000]  有沒有人在生氣
[00:03:00.000 --> 00:03:01.000]  有沒有人在生氣
[00:03:01.000 --> 00:03:02.000]  不輕易發怒
[00:03:02.000 --> 00:03:04.000]  不計算人的惡
[00:03:04.000 --> 00:03:06.000]  不喜歡不義
[00:03:06.000 --> 00:03:07.000]  只喜歡真理
[00:03:07.000 --> 00:03:08.000]  四個凡是林
[00:03:08.000 --> 00:03:10.000]  有沒有用過凡是林
[00:03:10.000 --> 00:03:11.000]  凡是包容
[00:03:11.000 --> 00:03:12.000]  凡是相信
[00:03:12.000 --> 00:03:14.000]  凡是盼望
[00:03:14.000 --> 00:03:15.000]  凡是忍耐
[00:03:15.000 --> 00:03:16.000]  愛是永不止息
[00:03:16.000 --> 00:03:17.000]  你和你身邊的弟子妹妹
[00:03:17.000 --> 00:03:19.000]  記住刷凡是林
[00:03:19.000 --> 00:03:20.000]  刷凡是林
[00:03:20.000 --> 00:03:21.000]  凡是
[00:03:21.000 --> 00:03:22.000]  四個凡是
[00:03:22.000 --> 00:03:24.000]  這裡說到愛
[00:03:24.000 --> 00:03:25.000]  一個愛的生命
[00:03:25.000 --> 00:03:27.000]  一個生命的表徵
[00:03:27.000 --> 00:03:29.000]  當我們今天這個季題
[00:03:29.000 --> 00:03:31.000]  分享漢德傑的愛的時候
[00:03:31.000 --> 00:03:33.000]  很想和大家分享
[00:03:33.000 --> 00:03:34.000]  這個新約
[00:03:34.000 --> 00:03:35.000]  上兩星期
[00:03:35.000 --> 00:03:36.000]  Pastor Jim分享了
[00:03:36.000 --> 00:03:38.000]  這個愛篇
[00:03:38.000 --> 00:03:39.000]  但今次很想和大家
[00:03:39.000 --> 00:03:41.000]  分享這個雅歌
[00:03:41.000 --> 00:03:42.000]  我真的是第一次
[00:03:42.000 --> 00:03:43.000]  分享雅歌
[00:03:43.000 --> 00:03:44.000]  真的很努力
[00:03:44.000 --> 00:03:45.000]  給大家預備的
[00:03:45.000 --> 00:03:46.000]  大家知不知道
[00:03:46.000 --> 00:03:47.000]  真的很努力預備的
[00:03:47.000 --> 00:03:48.000]  這篇訊息
[00:03:48.000 --> 00:03:50.000]  雅歌是舊約的情詩
[00:03:50.000 --> 00:03:52.000]  不知道大家是否很想
[00:03:52.000 --> 00:03:54.000]  繼續有這個愛的生命
[00:03:54.000 --> 00:03:55.000]  有沒有人很想
[00:03:55.000 --> 00:03:56.000]  繼續有這個愛的生命
[00:03:56.000 --> 00:03:57.000]  愛的生命
[00:03:57.000 --> 00:03:58.000]  有人說
[00:03:58.000 --> 00:03:59.000]  有沒有人覺得自己
[00:03:59.000 --> 00:04:00.000]  沒有什麼愛心
[00:04:00.000 --> 00:04:01.000]  有沒有人覺得自己
[00:04:01.000 --> 00:04:02.000]  沒有什麼愛心
