
[00:00:00.000 --> 00:00:05.020]  希望我們好好思想,新一年我們能夠實踐到,
[00:00:05.020 --> 00:00:07.960]  透過這幾句真理幫我們活得更好。
[00:00:07.960 --> 00:00:10.560]  希望在新的一年我們好好的思想,
[00:00:10.560 --> 00:00:13.440]  也希望這幾句的經文幫助我們做得到。
[00:00:13.440 --> 00:00:16.800]  好,先思想頭四個字,「常常喜樂」。
[00:00:16.800 --> 00:00:20.040]  我們先看看頭四個字,「常常喜樂」。
[00:00:20.040 --> 00:00:21.440]  聽起來很簡單,
[00:00:21.440 --> 00:00:23.800]  聽起來好像很簡單,
[00:00:23.800 --> 00:00:26.360]  但是,大家明白正常來說呢?
[00:00:26.360 --> 00:00:28.160]  正常來說,
[00:00:28.160 --> 00:00:31.440]  人只在順境的時候才會喜樂。
[00:00:31.440 --> 00:00:34.560]  人只在順境的時候才會喜樂。
[00:00:34.560 --> 00:00:37.640]  在逆境的時候呢,其實是很難喜樂的。
[00:00:37.640 --> 00:00:40.560]  在逆境的時候很難會喜樂。
[00:00:40.560 --> 00:00:44.640]  所以,聖經,普羅就要我們常常喜樂呢,
[00:00:44.640 --> 00:00:46.480]  這是很違反人性的。
[00:00:46.480 --> 00:00:49.320]  讓我們常常喜樂是違反人性的。
[00:00:49.320 --> 00:00:51.360]  那其實在整本聖經裏面呢,
[00:00:51.360 --> 00:00:52.880]  有很多東西是違反人性的。
[00:00:52.880 --> 00:00:56.240]  在整本的聖經裏面,其實有很多都違反人性。
[00:00:56.240 --> 00:00:58.040]  你記不記得有百記有句說話,
[00:00:58.040 --> 00:01:00.360]  「他使人夜間歌唱」。
[00:01:00.360 --> 00:01:02.080]  你記得約博記有句話說,
[00:01:02.080 --> 00:01:03.960]  「他使人夜間歌唱」。
[00:01:03.960 --> 00:01:05.280]  很好的這句說話,
[00:01:05.280 --> 00:01:06.680]  「他使人夜間歌唱」。
[00:01:06.680 --> 00:01:08.760]  「他使人夜間歌唱」。
[00:01:08.760 --> 00:01:10.960]  真是一個很好的例子來的。
[00:01:10.960 --> 00:01:13.480]  這是一個很好的例子。
[00:01:13.480 --> 00:01:14.880]  但是保羅真的做到。
[00:01:14.880 --> 00:01:17.000]  但是保羅確實可以做得到。
[00:01:17.000 --> 00:01:18.680]  我們正常人呢,
[00:01:18.680 --> 00:01:20.880]  是你很平順,
[00:01:20.880 --> 00:01:23.720]  很開心的時候,你就歌唱啦。
[00:01:23.720 --> 00:01:27.560]  我們正常人在平順,喜樂的時候,會歌唱。
[00:01:27.560 --> 00:01:30.080]  你住在一間很漂亮的酒店,
[00:01:30.080 --> 00:01:31.320]  對著很漂亮的海景,
[00:01:31.320 --> 00:01:32.920]  那你就歌唱啦。
[00:01:32.920 --> 00:01:35.120]  你住在一個很好的酒店,
[00:01:35.120 --> 00:01:37.200]  外面的景色很好,你會歌唱。
[00:01:37.200 --> 00:01:39.040]  你見見香港很多朋友,
[00:01:39.040 --> 00:01:41.200]  一起去卡拉OK,你就歌唱啦。
[00:01:41.200 --> 00:01:44.240]  你很健康,有很多朋友去卡拉OK,
[00:01:44.240 --> 00:01:45.200]  你會歌唱。
[00:01:45.200 --> 00:01:46.960]  但是保羅不是喲。
[00:01:46.960 --> 00:01:48.440]  保羅並不是這樣子。
[00:01:48.440 --> 00:01:49.440]  約博不是喲。
[00:01:49.440 --> 00:01:50.680]  約博也不是這樣子。
[00:01:50.680 --> 00:01:59.040]  保羅是坐在菲律賓的監牢裡面的時候,
[00:01:59.040 --> 00:02:01.680]  深夜的時候,
[00:02:01.680 --> 00:02:04.320]  他真的歌唱喲。
[00:02:04.320 --> 00:02:06.040]  敬拜神喲。
[00:02:06.040 --> 00:02:09.120]  搞到地大震動喲。
[00:02:09.120 --> 00:02:12.680]  他真的做到常常喜樂喲。
[00:02:12.680 --> 00:02:14.920]  所以你不要以為保羅講一下喲。
[00:02:14.920 --> 00:02:17.440]  你不要以為保羅只是提一提而已。
[00:02:17.440 --> 00:02:19.800]  他真的做得到喲。
[00:02:19.800 --> 00:02:22.320]  但是很多人做不到。
[00:02:22.320 --> 00:02:25.960]  很多人,我們的人生是常常埋怨。
[00:02:25.960 --> 00:02:28.720]  很多時候,我們的人生都會常常埋怨,
[00:02:28.720 --> 00:02:30.120]  而不是常常喜樂的。
[00:02:30.120 --> 00:02:31.880]  而不是常常喜樂。
[00:02:31.880 --> 00:02:35.680]  甚至教會裡面,有時候你會見到某些電影姐妹。
[00:02:35.680 --> 00:02:39.520]  甚至我們在教會裡,也會看到某些的弟兄姐妹。
[00:02:39.520 --> 00:02:42.680]  每一樣東西,他都往壞處去想喲。
[00:02:42.680 --> 00:02:45.320]  每一件事,他都往壞處去想。
[00:02:45.320 --> 00:02:47.680]  他總是好像很多人虧負了他一樣喲。
[00:02:47.680 --> 00:02:49.440]  好像很多人都虧負了他。
[00:02:49.440 --> 00:02:51.120]  傷害了他喲。
[00:02:51.120 --> 00:02:52.880]  對他不住喲。
[00:02:52.880 --> 00:02:55.440]  在工作、公司的地方,總是不開心喲。
[00:02:55.440 --> 00:02:57.640]  在工作的地方,也是不開心。
[00:02:57.640 --> 00:02:59.640]  每個家人對他都是不好喲。
[00:02:59.640 --> 00:03:01.400]  每個人都好像對他不好。
[00:03:01.400 --> 00:03:03.040]  教會每個人都沒有愛心喲。
[00:03:03.040 --> 00:03:04.840]  教會好像每個人都沒有愛心。
[00:03:04.840 --> 00:03:06.680]  他遇到每一件事都倒霉喲。
[00:03:06.680 --> 00:03:08.280]  他遇到每件事都很倒霉。
[00:03:08.280 --> 00:03:10.120]  不順利喲。
[00:03:10.120 --> 00:03:12.320]  他做每一件事,覺得自己是失敗喲。
[00:03:12.320 --> 00:03:14.000]  他做每件事都覺得會失敗。
[00:03:14.000 --> 00:03:15.360]  神不祝福他喲。
[00:03:15.360 --> 00:03:16.560]  神不祝福他。
[00:03:16.560 --> 00:03:19.920]  有時候,有些這樣的想法的人,真的很慘喲。
[00:03:19.920 --> 00:03:23.360]  有這種想法的人,其實他的人生是很悲慘的。
[00:03:23.360 --> 00:03:24.320]  很難喜樂喲。
[00:03:24.320 --> 00:03:25.760]  很難喜樂。
[00:03:25.760 --> 00:03:26.880]  你是不是這樣的人呢?
[00:03:26.880 --> 00:03:28.080]  你是這樣子的人嗎?
[00:03:28.080 --> 00:03:29.080]  幸好不是喲。
[00:03:29.080 --> 00:03:30.520]  幸好我們都不是。
[00:03:30.520 --> 00:03:33.600]  你周圍有沒有弟兄姊妹,有沒有朋友是這樣的人呢?
[00:03:33.600 --> 00:03:36.440]  你周圍有沒有弟兄姊妹,或者朋友是這樣子呢?
[00:03:36.440 --> 00:03:38.080]  你可以想想,可能有的。
[00:03:38.080 --> 00:03:39.680]  你想一想,可能會有。
[00:03:39.680 --> 00:03:41.280]  你可以怎樣幫他呢?
[00:03:41.280 --> 00:03:43.320]  你可以如何來幫助他呢?
