
[00:00:00.000 --> 00:00:03.080]  今個禮拜我們開始一個新的講道系列
[00:00:03.080 --> 00:00:05.120]  系列的名稱叫做
[00:00:05.120 --> 00:00:07.500]  下一站的幸福
[00:00:07.500 --> 00:00:09.400]  我相信講到幸福這件事
[00:00:09.400 --> 00:00:10.800]  沒有誰說不要的
[00:00:10.800 --> 00:00:12.080]  有沒有誰不要的
[00:00:12.080 --> 00:00:13.440]  每個人都要的
[00:00:13.440 --> 00:00:15.800]  但問題是這個字我們經常聽
[00:00:15.800 --> 00:00:17.800]  什麼叫幸福呢
[00:00:17.800 --> 00:00:19.960]  現在我們這些高科技的人很容易
[00:00:19.960 --> 00:00:20.920]  馬上Google一下
[00:00:20.920 --> 00:00:22.320]  我也學你們扮高科技
[00:00:22.320 --> 00:00:23.640]  我又Google一下
[00:00:23.640 --> 00:00:24.880]  什麼叫幸福呢
[00:00:24.880 --> 00:00:26.600]  如果你在Google翻譯
[00:00:26.600 --> 00:00:27.880]  它翻譯是什麼
[00:00:27.880 --> 00:00:31.680]  Happiness 就是這樣
[00:00:31.680 --> 00:00:32.600]  沒錯了
[00:00:32.600 --> 00:00:34.400]  Google一下的時候
[00:00:34.400 --> 00:00:36.000]  它的翻譯就是Happiness
[00:00:36.000 --> 00:00:37.440]  就是我們經常說的那個
[00:00:37.440 --> 00:00:39.880]  開心快樂
[00:00:39.880 --> 00:00:43.160]  當然也有些人將這個幸福
[00:00:43.160 --> 00:00:45.360]  翻譯爲Blessedness
[00:00:45.360 --> 00:00:47.920]  就是祝福有福
[00:00:47.920 --> 00:00:50.720]  我們可以解讀爲
[00:00:50.720 --> 00:00:52.520]  我們做事順利
[00:00:52.520 --> 00:00:53.840]  做事成功
[00:00:53.840 --> 00:00:56.160]  你覺得生活很滿足
[00:00:56.160 --> 00:00:58.600]  這些都是一些有關幸福的
[00:00:58.600 --> 00:01:00.720]  給我們一些觀念
[00:01:00.720 --> 00:01:02.720]  不過如果我今天問你
[00:01:02.720 --> 00:01:04.920]  你覺得幸福是什麼呢
[00:01:04.920 --> 00:01:07.120]  如果你給我的定義的話
[00:01:07.120 --> 00:01:08.440]  你怎麼去解讀
[00:01:08.440 --> 00:01:11.080]  你心中認爲的那個幸福呢
[00:01:11.080 --> 00:01:12.360]  想一想
[00:01:12.360 --> 00:01:13.480]  在想的時候
[00:01:13.480 --> 00:01:15.800]  其實很多人對這個幸福
[00:01:15.800 --> 00:01:17.200]  都有不同的體會
[00:01:17.200 --> 00:01:19.440]  我們看看一個短片
[00:01:26.160 --> 00:01:28.160]  (這一幕是在拍攝的)
[00:01:56.960 --> 00:01:58.960]  (這一幕是在拍攝的)
[00:01:58.960 --> 00:02:22.840]  (這一幕是在拍攝的)
[00:02:26.160 --> 00:02:28.160]  (這一幕是在拍攝的)
[00:02:28.160 --> 00:02:44.160]  (這一幕是在拍攝的)
[00:02:56.160 --> 00:02:58.160]  (這一幕是在拍攝的)
[00:02:58.160 --> 00:03:08.160]  (這一幕是在拍攝的)
[00:03:08.160 --> 00:03:17.160]  (這一幕是在拍攝的)
[00:03:17.160 --> 00:03:25.160]  我不知道當你看這個短片的時候呢
[00:03:25.160 --> 00:03:28.160]  你心裏能不能夠爲自己的幸福
[00:03:28.160 --> 00:03:31.160]  都留下一個定義
[00:03:31.160 --> 00:03:33.160]  當我看這個短片的時候呢
[00:03:33.160 --> 00:03:35.160]  我得到一個印象
[00:03:35.160 --> 00:03:38.160]  就是這些人所說的幸福呢
[00:03:38.160 --> 00:03:40.160]  是短暫的
[00:03:40.160 --> 00:03:43.160]  而且因爲環境而有改變
[00:03:43.160 --> 00:03:45.160]  是相對的
[00:03:45.160 --> 00:03:47.160]  在衆多的幸福當中
[00:03:47.160 --> 00:03:49.160]  如果你留心去看的時候
[00:03:49.160 --> 00:03:52.160]  其實你看到一個共通點
[00:03:52.160 --> 00:03:56.160]  共通點就是說原來這些人所說的幸福
[00:03:56.160 --> 00:03:59.160]  是一個很主觀的感受
[00:03:59.160 --> 00:04:01.160]  大家同意嗎
[00:04:01.160 --> 00:04:02.160]  你自己怎麼看吧
[00:04:02.160 --> 00:04:04.160]  看你什麼處境裏面
[00:04:04.160 --> 00:04:06.160]  就不是一個客觀
[00:04:06.160 --> 00:04:11.160]  和永久的生活質素
[00:04:11.160 --> 00:04:13.160]  不知道你心中認爲的幸福
[00:04:13.160 --> 00:04:15.160]  是不是都是這樣的呢
[00:04:15.160 --> 00:04:17.160]  是不是和這些人差不多呢
[00:04:17.160 --> 00:04:19.160]  如果你信耶穌的話
[00:04:19.160 --> 00:04:20.160]  你是基督徒呢
[00:04:20.160 --> 00:04:21.160]  我告訴你
[00:04:21.160 --> 00:04:22.160]  這個情況是有點不同的
[00:04:22.160 --> 00:04:24.160]  因爲聖經裏面所說的幸福呢
[00:04:24.160 --> 00:04:26.160]  原來就不是這樣的
[00:04:26.160 --> 00:04:27.160]  我們看看聖經裏面
[00:04:27.160 --> 00:04:29.160]  怎麼去說幸福呢
[00:04:29.160 --> 00:04:31.160]  詩人在詩篇十六篇第二節
[00:04:31.160 --> 00:04:33.160]  和十一節那裏告訴我們
[00:04:33.160 --> 00:04:35.160]  什麼叫幸福
[00:04:35.160 --> 00:04:37.160]  他說我對上主說
[00:04:37.160 --> 00:04:38.160]  你是我的主
[00:04:38.160 --> 00:04:42.160]  你是我一切幸福的源頭
[00:04:42.160 --> 00:04:43.160]  然後十一節那裏說
[00:04:43.160 --> 00:04:45.160]  你會指示我生命的道路
[00:04:45.160 --> 00:04:46.160]  在你的面前呢
[00:04:46.160 --> 00:04:48.160]  我滿有喜樂
[00:04:48.160 --> 00:04:50.160]  在你的身邊
[00:04:50.160 --> 00:04:52.160]  我有永遠的幸福
[00:04:52.160 --> 00:04:53.160]  大家看到嗎
[00:04:53.160 --> 00:04:55.160]  這個幸福聖經所形容的
[00:04:55.160 --> 00:04:57.160]  和剛纔我們所看到的
[00:04:57.160 --> 00:04:59.160]  有沒有什麼不同的地方呢
[00:04:59.160 --> 00:05:00.160]  剛纔的幸福
[00:05:00.160 --> 00:05:01.160]  是主觀的
