
[00:00:00.000 --> 00:00:04.920]  今天我們一起讀詩篇121篇
[00:00:04.920 --> 00:00:09.680]  詩篇121篇
[00:00:09.680 --> 00:00:12.120]  我要向山舉目
[00:00:12.120 --> 00:00:14.880]  我的幫助從何而來
[00:00:14.880 --> 00:00:19.320]  我的幫助從造天地的耶和華而來
[00:00:19.320 --> 00:00:22.440]  他必不叫你的腳搖動
[00:00:22.440 --> 00:00:25.320]  保護你的必不打盹
[00:00:25.520 --> 00:00:30.280]  保護以色列的也不打盹也不睡覺
[00:00:30.280 --> 00:00:33.000]  保護你的是耶和華
[00:00:33.000 --> 00:00:36.440]  耶和華在你右邊任避你
[00:00:36.440 --> 00:00:39.680]  白日太陽必不傷你
[00:00:39.680 --> 00:00:42.920]  夜間月亮必不害你
[00:00:42.920 --> 00:00:48.120]  耶和華要保護你免受一切的災害
[00:00:48.120 --> 00:00:50.800]  祂要保護你的性命
[00:00:50.800 --> 00:00:52.520]  你出你入
[00:00:52.520 --> 00:00:54.760]  耶和華要保護你
[00:00:54.960 --> 00:00:58.240]  從今時直到永遠
[00:00:58.240 --> 00:01:00.880]  今天我們講到的題目是
[00:01:00.880 --> 00:01:04.160]  「我信神是我的幫助」
[00:01:04.160 --> 00:01:07.240]  「我信神是我的幫助」
[00:01:07.240 --> 00:01:11.120]  好,電影節目我們先玩一個遊戲,好嗎?
[00:01:11.120 --> 00:01:14.440]  好,在家裡的電影節目準備好了
[00:01:14.440 --> 00:01:19.760]  有獎的,答對就家裡的爸爸獎
[00:01:19.760 --> 00:01:24.920]  以下哪個號碼不是求助的號碼呢?
[00:01:25.120 --> 00:01:27.120]  有6個
[00:01:27.120 --> 00:01:37.120]  000,110,112,119,121,911,999
[00:01:37.120 --> 00:01:39.320]  6個號碼
[00:01:39.320 --> 00:01:45.200]  誰不是呢?肯定?
[00:01:45.200 --> 00:01:48.360]  好,000
[00:01:48.360 --> 00:01:54.720]  是我們澳洲的求救電話,這是總機電話
[00:01:54.920 --> 00:02:01.120]  112是歐盟的
[00:02:01.120 --> 00:02:07.560]  而美國加拿大的是911
[00:02:07.560 --> 00:02:12.440]  110或者119的呢?知道嗎?
[00:02:12.440 --> 00:02:14.640]  不知道?
[00:02:14.640 --> 00:02:21.040]  中國大陸,台灣和日本都是用110或者119的
[00:02:21.040 --> 00:02:23.240]  999的
[00:02:23.440 --> 00:02:30.160]  香港,澳門,英聯邦的國家等等都是用999的
[00:02:30.160 --> 00:02:34.360]  那剩下的是121
[00:02:34.360 --> 00:02:37.360]  121,今天很想告訴你
[00:02:37.360 --> 00:02:39.560]  121,是不是呢?
[00:02:39.560 --> 00:02:44.240]  121也是的,這是一個屬靈求助的電話
[00:02:44.240 --> 00:02:47.920]  724你也可以打電話給神求救的
[00:02:48.120 --> 00:02:53.520]  整首詩都說到,表達到神是我們的幫助
[00:02:53.520 --> 00:02:56.120]  是我們整個人生裏面的祝福
[00:02:56.120 --> 00:03:01.120]  你隨時可以藉著詩篇121篇向神去求救
[00:03:01.120 --> 00:03:04.120]  今天我們透過這首詩篇去看看
[00:03:04.120 --> 00:03:06.320]  在我們現實生活環境當中
[00:03:06.320 --> 00:03:10.120]  對我們現在有什麼提醒,有什麼鼓勵,有什麼幫助
[00:03:10.120 --> 00:03:16.320]  第一點,其實我們人生就是不斷時時刻刻很想找一些幫助
[00:03:16.520 --> 00:03:19.320]  四處尋求這些幫助
[00:03:19.320 --> 00:03:23.320]  詩篇裏面說我的幫助從何而來
[00:03:23.320 --> 00:03:26.320]  這首詩篇是上行之詩
[00:03:26.320 --> 00:03:34.320]  大概的背景很可能是有很多居住在外地的以色列人
[00:03:34.320 --> 00:03:40.320]  他們一年三次會回到耶路撒冷守節日,過這個很重要的節日
