
[00:00:00.000 --> 00:00:06.500]  我估計我們今天在座的都未曾有過坐牢的經驗
[00:00:06.500 --> 00:00:09.600]  不過對於我們所有移民來的人
[00:00:09.600 --> 00:00:11.800]  我估計對某一部分的移民來講
[00:00:11.800 --> 00:00:15.500]  我們為了有時候滿足這個移民局的要求
[00:00:15.500 --> 00:00:19.400]  我們不情願地都要坐所謂的移民監
[00:00:19.400 --> 00:00:23.900]  而在於今天我們這個新冠疫情的年代
[00:00:23.900 --> 00:00:25.500]  我們要去其他的國家
[00:00:25.500 --> 00:00:29.100]  去其他地方有時候都要受到隔離
[00:00:29.100 --> 00:00:30.500]  我們叫這個叫什麼?
[00:00:30.500 --> 00:00:32.000]  疫情監
[00:00:32.000 --> 00:00:36.400]  所以某個程度上我們都有一些監禁的經驗
[00:00:36.400 --> 00:00:38.700]  而今天的故事我們所看到的
[00:00:38.700 --> 00:00:41.400]  閱讀的就是關於在丹尼尼
[00:00:41.400 --> 00:00:44.500]  這個當時的以色列民
[00:00:44.500 --> 00:00:48.500]  是被擄到去一個異國的地方
[00:00:48.500 --> 00:00:51.800]  我們叫這個他們坐的是國難監
[00:00:51.800 --> 00:00:55.000]  我們坐這個疫情監很多時候坐七天
[00:00:55.000 --> 00:00:58.300]  不過對於當時被擄到去巴菲倫的
[00:00:58.300 --> 00:01:00.200]  這一幫的以色列民
[00:01:00.200 --> 00:01:01.600]  他們坐的不是七天
[00:01:01.600 --> 00:01:03.300]  是七十年
[00:01:03.300 --> 00:01:05.100]  在這七十年的裏面
[00:01:05.100 --> 00:01:06.900]  將要完結了
[00:01:06.900 --> 00:01:08.900]  我們看到經文
[00:01:08.900 --> 00:01:11.200]  丹尼尼做了一個很長的祈禱
[00:01:11.200 --> 00:01:13.700]  今天就讓我在這個祈禱裏面
[00:01:13.700 --> 00:01:15.800]  跟他們學習一些屬靈功課
[00:01:15.800 --> 00:01:20.100]  我們大家都知道當這個波斯帝國
[00:01:20.100 --> 00:01:22.900]  取代了巴比倫帝國之後
[00:01:22.900 --> 00:01:25.900]  來到這個大利烏王的第一年
[00:01:25.900 --> 00:01:28.900]  聖經的記載就是說有一天丹尼尼就是
[00:01:28.900 --> 00:01:34.100]  在耶利米這個書上閱讀到神的話語
[00:01:34.100 --> 00:01:37.600]  大家都知道耶利米是丹尼尼年代的一個先知
[00:01:37.600 --> 00:01:38.900]  他跟丹尼尼不同
[00:01:38.900 --> 00:01:41.000]  丹尼尼就被擄到去巴比倫
[00:01:41.000 --> 00:01:44.700]  而耶利米就是留守在耶路撒冷
[00:01:44.700 --> 00:01:47.300]  跟盛夏的以色列民一同
[00:01:47.300 --> 00:01:51.800]  在破爛了的耶路撒冷城裏面來生活
[00:01:51.800 --> 00:01:55.200]  而在那個時候耶利米就宣告神的說話
[00:01:55.400 --> 00:01:56.100]  他怎樣說呢?
[00:01:56.100 --> 00:01:59.400]  在這個耶利米書的二十九章十到十四節
[00:01:59.400 --> 00:02:00.700]  那裏他講到
[00:02:00.700 --> 00:02:04.600]  在巴比倫耶和華曾經命定
[00:02:04.600 --> 00:02:07.100]  在七十年滿了之後
[00:02:07.100 --> 00:02:11.300]  神就會容讓在巴比倫的以色列民
[00:02:11.300 --> 00:02:12.800]  可以返回到他
[00:02:12.800 --> 00:02:15.300]  歸回耶路撒冷城
[00:02:15.300 --> 00:02:17.100]  我們大家都知道
[00:02:17.100 --> 00:02:19.100]  丹尼尼是第一批
[00:02:19.100 --> 00:02:23.700]  第一批被擄到這個巴比倫
[00:02:23.700 --> 00:02:26.400]  而當時的日期
[00:02:26.400 --> 00:02:29.300]  大概在主前的六百零五年
[00:02:29.300 --> 00:02:32.000]  去到大理烏王的元年
[00:02:32.000 --> 00:02:34.500]  就是主前的五百三十八年
[00:02:34.500 --> 00:02:35.900]  如果大家記得計算的話
[00:02:35.900 --> 00:02:36.600]  就是說
[00:02:36.600 --> 00:02:41.500]  丹尼尼閱讀到耶利米這個神的說話的時候
