
[00:00:00.000 --> 00:00:04.840]  歡迎大家來到五樓的周六崇拜
[00:00:04.840 --> 00:00:06.640]  由今年一月開始
[00:00:06.640 --> 00:00:10.400]  我們一直在研讀《馬可福音》
[00:00:10.400 --> 00:00:14.520]  我們講到系列的總題叫做「非凡的見證」
[00:00:14.520 --> 00:00:18.320]  不是因為馬可是一個非凡的作者
[00:00:18.320 --> 00:00:22.680]  而是因為主耶穌基督是一個非凡的救主
[00:00:22.680 --> 00:00:27.760]  今天所讀的經文是《馬可福音》第六章第一至六節
[00:00:27.760 --> 00:00:32.840]  我們講的題目是主耶穌基督的異感還鄉
[00:00:32.840 --> 00:00:34.840]  如果你上星期在這裡的時候
[00:00:34.840 --> 00:00:40.160]  你應該記得我們玩了一個很精彩的拼圖遊戲
[00:00:40.160 --> 00:00:45.720]  拼圖的謎面是兩個女兒的醫治神蹟
[00:00:45.720 --> 00:00:48.120]  但謎底卻很不一樣
[00:00:48.120 --> 00:00:52.200]  謎底是讀一教主耶穌基督的肖像
[00:00:52.200 --> 00:00:53.880]  耶穌究竟是誰?
[00:00:53.880 --> 00:00:56.640]  你知不知道耶穌是誰?
[00:00:56.640 --> 00:01:00.960]  祂不是一個擁有特異功能的江湖術士
[00:01:00.960 --> 00:01:05.200]  也不是一個醫術高明的再世華佗
[00:01:05.200 --> 00:01:10.880]  祂來是要將我們從罪惡的深淵裡拯救出來
[00:01:10.880 --> 00:01:14.600]  祂來要將我們從上帝的左隔拿去
[00:01:14.600 --> 00:01:19.000]  祂來要使我們與上帝和好
[00:01:19.000 --> 00:01:20.440]  靠著祂的十字架
[00:01:20.440 --> 00:01:23.040]  靠著祂的空墳墓
[00:01:23.040 --> 00:01:28.240]  有一天,祂要將我們從死亡裡復活
[00:01:28.240 --> 00:01:31.560]  得享祂永遠的生命
[00:01:31.560 --> 00:01:33.800]  這是上星期的訊息
[00:01:33.800 --> 00:01:38.320]  今天我想繼續和你玩一個猜謎的遊戲
[00:01:38.320 --> 00:01:42.720]  謎面是耶穌意感還鄉
[00:01:42.720 --> 00:01:48.240]  有沒有想過謎底又會是什麼呢?
[00:01:48.240 --> 00:01:51.040]  在聖經裡馬可姆直接告訴我們
[00:01:51.040 --> 00:01:54.280]  耶穌的家鄉是哪個城鎮
[00:01:54.280 --> 00:01:56.240]  但其實我們很肯定
[00:01:56.240 --> 00:01:59.840]  他所說的家鄉不是南面的伯利恆
[00:01:59.840 --> 00:02:03.800]  而是約瑟一家走難去了埃及
[00:02:03.800 --> 00:02:09.280]  回到聖地之後所住的一個地方叫做拿撒勒
[00:02:09.280 --> 00:02:12.400]  這個家鄉不是耶穌出生的地方
[00:02:12.400 --> 00:02:16.120]  這個家鄉卻是耶穌成長的搖籃
[00:02:16.120 --> 00:02:19.640]  耶穌從祂幾歲大到祂三十歲左右
[00:02:19.640 --> 00:02:24.640]  都住在這個地方叫做拿撒勒
[00:02:24.640 --> 00:02:27.040]  在耶穌未離開拿撒勒之前
[00:02:27.040 --> 00:02:30.400]  祂是一個普通的木匠
[00:02:30.400 --> 00:02:33.360]  雖然木匠這份工作也算不錯
[00:02:33.360 --> 00:02:36.400]  但說真的沒有什麼人會羨慕祂
[00:02:36.400 --> 00:02:37.880]  但現在過了幾個月
[00:02:37.880 --> 00:02:39.520]  可能一年可能兩年
[00:02:39.520 --> 00:02:44.640]  耶穌突然間回到祂的家鄉
