
[00:00:00.000 --> 00:00:02.000]  底子會早晨
[00:00:02.000 --> 00:00:05.760]  感謝主今天能夠再次和大家分享神的話語
[00:00:05.760 --> 00:00:08.000]  我們一起聽頭吐局
[00:00:08.000 --> 00:00:09.440]  超上帝多謝你
[00:00:09.440 --> 00:00:11.680]  你讓我們在主日當中
[00:00:11.680 --> 00:00:12.880]  讓你有生命氣息
[00:00:12.880 --> 00:00:14.720]  來到向你敬拜
[00:00:14.720 --> 00:00:17.360]  主要是讓我們的心呈現你
[00:00:17.360 --> 00:00:19.200]  與你的話語來到當中
[00:00:19.200 --> 00:00:20.320]  與我們同在
[00:00:20.320 --> 00:00:21.840]  去指引我們的生命
[00:00:21.840 --> 00:00:25.520]  讓我們知道在天國的為分當中
[00:00:25.520 --> 00:00:28.000]  我們都有份去見證你榮耀你
[00:00:28.000 --> 00:00:30.000]  幫助我們使用我們
[00:00:30.000 --> 00:00:33.040]  不單止用言語去將福音傳遍
[00:00:33.040 --> 00:00:35.040]  而是用我們的生命
[00:00:35.040 --> 00:00:37.040]  去表現福音的大力
[00:00:37.040 --> 00:00:39.040]  以上是一個奉耶穌的祈禱
[00:00:39.040 --> 00:00:43.760]  我不知道底子會
[00:00:43.760 --> 00:00:45.760]  平時開車上班的時候
[00:00:45.760 --> 00:00:47.760]  你有沒有留意
[00:00:47.760 --> 00:00:49.760]  街邊除了車之外
[00:00:49.760 --> 00:00:51.440]  都有人跑步的
[00:00:51.440 --> 00:00:52.960]  當有人跑步的時候
[00:00:52.960 --> 00:00:54.960]  我的心真是開心
[00:00:54.960 --> 00:00:56.480]  又跑步這麼好陽光
[00:00:56.480 --> 00:00:58.480]  我都想跑一趟
[00:00:58.480 --> 00:01:00.480]  不知為何主人那天見到有人跑步
[00:01:00.480 --> 00:01:02.480]  我都想跑一趟
[00:01:02.480 --> 00:01:04.480]  有人踩單車有人跑步
[00:01:04.480 --> 00:01:07.360]  很吸引人踩單車有人跑步
[00:01:07.360 --> 00:01:10.080]  這麼好的天氣在雪梨環境當中
[00:01:10.080 --> 00:01:14.080]  有一個問題
[00:01:14.080 --> 00:01:16.720]  在你生命當中除了信仰之外
[00:01:16.720 --> 00:01:19.200]  不知道有什麼東西影響著你
[00:01:19.200 --> 00:01:20.480]  對於你來說
[00:01:20.480 --> 00:01:22.480]  對於我來說
[00:01:22.480 --> 00:01:24.480]  在我認識耶穌之前
[00:01:24.480 --> 00:01:26.480]  我就在中學
[00:01:26.480 --> 00:01:30.480]  很喜歡玩活動
[00:01:30.480 --> 00:01:32.480]  野外活動
[00:01:32.480 --> 00:01:34.480]  因為我參加了童軍
[00:01:34.480 --> 00:01:36.480]  「Boys Go」
[00:01:36.480 --> 00:01:38.480]  可以有步操
[00:01:38.480 --> 00:01:40.480]  又可以學「Bear's cooking」
[00:01:40.480 --> 00:01:42.480]  行山走來走去
[00:01:42.480 --> 00:01:44.480]  攀山涉水
[00:01:44.480 --> 00:01:46.480]  這個位置都是我的
[00:01:46.480 --> 00:01:48.480]  我在想
[00:01:48.480 --> 00:01:50.480]  為何我會參加童軍呢
[00:01:50.480 --> 00:01:52.480]  有沒有想過為何我會參加童軍呢
[00:01:52.480 --> 00:01:54.480]  除了很喜歡玩
[00:01:54.480 --> 00:01:56.480]  事緣
[00:01:56.480 --> 00:01:58.480]  我現在參加童軍
[00:01:58.480 --> 00:02:00.480]  我在小六準備升中一的時候
[00:02:00.480 --> 00:02:02.480]  終於有很多課外活動
