
[00:00:00.000 --> 00:00:02.440]  那我首先都想問問大家
[00:00:02.440 --> 00:00:04.200]  你
[00:00:04.200 --> 00:00:07.180]  覺得什麼是知足呢?
[00:00:07.180 --> 00:00:10.100]  不是吃火鍋的知足,雖然我也很喜歡吃
[00:00:10.100 --> 00:00:13.200]  什麼是知足呢?對於你來說
[00:00:13.200 --> 00:00:19.360]  是不是想做的事
[00:00:19.360 --> 00:00:21.900]  就可以做,那叫知足呢?
[00:00:21.900 --> 00:00:23.600]  有些人回頭
[00:00:23.600 --> 00:00:25.140]  又不是
[00:00:25.140 --> 00:00:28.080]  可能是達到一些目標
[00:00:29.120 --> 00:00:30.120]  會不會呢?
[00:00:30.120 --> 00:00:32.420]  分多一些嗎?
[00:00:32.420 --> 00:00:34.120]  有錢?
[00:00:34.120 --> 00:00:40.180]  或者有些人說
[00:00:40.180 --> 00:00:43.180]  我滿足於現狀就是知足
[00:00:43.180 --> 00:00:45.640]  甚至有些人說得很
[00:00:45.640 --> 00:00:48.760]  圓的,我無慾無求的
[00:00:48.760 --> 00:00:52.680]  我心境很平靜,不知道你有沒有
[00:00:52.680 --> 00:00:53.920]  這些朋友
[00:00:53.920 --> 00:00:57.880]  或者我不貪心的,我不跟別人爭
[00:00:58.740 --> 00:01:01.720]  大家可能最近都有看奧運
[00:01:01.720 --> 00:01:04.720]  不過我今天又不是說奧運
[00:01:04.720 --> 00:01:07.580]  你看到運動員拿到獎牌
[00:01:07.580 --> 00:01:10.300]  其實是不是很知足呢?
[00:01:10.300 --> 00:01:12.220]  有沒有想過?
[00:01:12.220 --> 00:01:15.360]  為什麼跟大家說這件事呢?
[00:01:15.360 --> 00:01:18.260]  其實因為我跟大家一起
[00:01:18.260 --> 00:01:21.220]  已經一年半有多了
[00:01:21.220 --> 00:01:24.260]  常常有時在你們中間都會聽你們說
[00:01:24.260 --> 00:01:27.180]  做事一段時間,經歷不同的事情
[00:01:27.180 --> 00:01:30.160]  或者你們的人生都開始進入
[00:01:30.160 --> 00:01:33.180]  不同的階段,通常都會發現
[00:01:33.180 --> 00:01:36.160]  好像不像以前小時候那樣
[00:01:36.160 --> 00:01:39.260]  讀書的時候,講到好像
[00:01:39.260 --> 00:01:42.220]  很久以前,好像很老,不是
[00:01:42.220 --> 00:01:45.180]  不過確實,真的不再是讀書的年代
[00:01:45.180 --> 00:01:49.180]  所以總是會多了一些煩惱
[00:01:49.180 --> 00:01:52.180]  人好像沒那麼容易開心
[00:01:52.180 --> 00:01:55.180]  尤其是你進入職場
[00:01:55.180 --> 00:01:58.180]  面對著世界有不同的挑戰
[00:01:58.180 --> 00:02:01.180]  通常都比較是物質上的誘惑
[00:02:01.180 --> 00:02:04.180]  剛才有人說,有錢就可能知足
[00:02:04.180 --> 00:02:07.180]  是不是?可能都是鼓吹
[00:02:07.180 --> 00:02:10.180]  你們追求著一些卓越
[00:02:10.180 --> 00:02:13.180]  成功,可以享受的人生
[00:02:13.180 --> 00:02:16.180]  我又不知道大家有沒有聽過
[00:02:16.180 --> 00:02:19.180]  所謂的人生勝利組呢?
[00:02:19.180 --> 00:02:23.180]  其實呢,我們其實雖然
[00:02:23.180 --> 00:02:26.180]  世界是這樣推我們
[00:02:26.180 --> 00:02:29.180]  你要向著這個方向
[00:02:29.180 --> 00:02:32.180]  但其實我們都面對很多的挑戰
[00:02:32.180 --> 00:02:35.180]  困難,包括有時是別人會要求你
[00:02:35.180 --> 00:02:38.180]  或者一些很突發的事,你沒遇過的
[00:02:38.180 --> 00:02:41.180]  或者一些你期待的事
[00:02:41.180 --> 00:02:44.180]  但你又發覺,有很多限制
[00:02:44.180 --> 00:02:47.180]  就是你做不到
[00:02:47.180 --> 00:02:50.180]  做不到,通常都會出現什麼問題呢?
[00:02:50.180 --> 00:02:53.180]  你會焦慮,你會有壓力
[00:02:53.180 --> 00:02:56.180]  有情緒,對不對?
[00:02:56.180 --> 00:02:59.180]  說起什麼叫知足的時候
[00:02:59.180 --> 00:03:02.180]  我就想起,我幾歲大的時候
[00:03:02.180 --> 00:03:05.180]  我媽媽經常有句說話,可能大家都聽過
[00:03:05.180 --> 00:03:08.180]  她經常跟我說
[00:03:08.180 --> 00:03:11.180]  有衣有食,就當知足
[00:03:11.180 --> 00:03:14.180]  你有沒有聽過?
[00:03:14.180 --> 00:03:17.180]  有,有,有,其實這個說話是聖經來的
[00:03:17.180 --> 00:03:20.180]  我媽媽當時還沒信耶穌,不知道為什麼她會說
[00:03:20.180 --> 00:03:23.180]  總之她經常提醒我們
[00:03:23.180 --> 00:03:26.180]  為什麼呢?原因是因為
[00:03:26.180 --> 00:03:29.180]  我幾歲大的時候,當時家裡都比較窮
[00:03:29.180 --> 00:03:32.180]  我們一家四口,有個姐姐
[00:03:32.180 --> 00:03:35.180]  我們其實是住板間房
