
[00:00:00.000 --> 00:00:02.000]  上一次的講道
[00:00:02.000 --> 00:00:05.000]  就講我們很熟悉很熱門的經文
[00:00:05.000 --> 00:00:06.000]  記不記得是甚麼
[00:00:06.000 --> 00:00:08.000]  祈禱與掛慮的
[00:00:08.000 --> 00:00:09.000]  應當一無掛慮
[00:00:09.000 --> 00:00:10.000]  只要凡事著著
[00:00:10.000 --> 00:00:12.000]  禱告、祈求和感謝
[00:00:12.000 --> 00:00:14.000]  將你們所要的告訴神
[00:00:14.000 --> 00:00:16.000]  神所賜出人意外的平安
[00:00:16.000 --> 00:00:20.000]  必在基督耶穌裏保守你們的心懷意念
[00:00:20.000 --> 00:00:21.000]  我記得上次講
[00:00:21.000 --> 00:00:23.000]  神是保守我們的是甚麼呢
[00:00:23.000 --> 00:00:25.000]  原來是保守我們的心懷意念
[00:00:25.000 --> 00:00:26.000]  是我們的內心
[00:00:26.000 --> 00:00:28.000]  今天講另一節
[00:00:28.000 --> 00:00:30.000]  也是很熱門我們常用的經文
[00:00:30.000 --> 00:00:34.000]  就是神能照著運行在我們心裏的大力
[00:00:34.000 --> 00:00:37.000]  充充足足的成就一切
[00:00:37.000 --> 00:00:41.000]  超過我們所求所想的
[00:00:41.000 --> 00:00:45.000]  神是否真的能夠成就
[00:00:45.000 --> 00:00:48.000]  超過我們一切所求所想的呢
[00:00:48.000 --> 00:00:50.000]  當我們或者我們的親友
[00:00:50.000 --> 00:00:52.000]  要計劃某些事情的時候
[00:00:52.000 --> 00:00:53.000]  我們祈禱
[00:00:53.000 --> 00:00:54.000]  神啊你就成就吧
[00:00:54.000 --> 00:00:57.000]  或者當我們的親友在危難的時候
[00:00:57.000 --> 00:00:59.000]  神啊求你醫治他、保守他
[00:00:59.000 --> 00:01:01.000]  又或者當教會積極面對礦塘
[00:01:01.000 --> 00:01:03.000]  要籌錢建塘
[00:01:03.000 --> 00:01:06.000]  神是否就是這樣來供應我們
[00:01:06.000 --> 00:01:08.000]  超過我們所求所想呢
[00:01:08.000 --> 00:01:10.000]  我們不少時候都會經歷
[00:01:10.000 --> 00:01:12.000]  是的,真的超過我們所求所想
[00:01:12.000 --> 00:01:14.000]  但同樣不少的時候沒有的
[00:01:14.000 --> 00:01:15.000]  上帝沒有答應
[00:01:15.000 --> 00:01:18.000]  例如我們的親友依然在病的當中
[00:01:18.000 --> 00:01:19.000]  他未痊癒
[00:01:19.000 --> 00:01:21.000]  或者甚至他真的要離世
[00:01:21.000 --> 00:01:24.000]  神是否真的能夠成就一切
[00:01:24.000 --> 00:01:30.000]  超過我們所求所想的呢
[00:01:30.000 --> 00:01:32.000]  這節的經文很重要
[00:01:32.000 --> 00:01:35.000]  但很多時候我們又讀得太快
[00:01:35.000 --> 00:01:37.000]  又看得太快
[00:01:37.000 --> 00:01:38.000]  又不理上下文
[00:01:38.000 --> 00:01:39.000]  只當它是金句
[00:01:39.000 --> 00:01:40.000]  噠噠出來
[00:01:40.000 --> 00:01:44.000]  成就一切超過我們所求所想的
[00:01:44.000 --> 00:01:47.000]  今天很想和大家一起
[00:01:47.000 --> 00:01:49.000]  細心去再看這段經文
[00:01:49.000 --> 00:01:52.000]  究竟保羅告訴我們的是甚麼呢
[00:01:52.000 --> 00:01:53.000]  當我們細心看的時候
[00:01:53.000 --> 00:01:55.000]  保羅講這番說話
[00:01:55.000 --> 00:01:57.000]  是講到人的內在生命
[00:01:57.000 --> 00:02:00.000]  講到人和上帝的關係
[00:02:00.000 --> 00:02:04.000]  怎樣在當我們很想祈求
