
[00:00:00.000 --> 00:00:01.000]  各位聽众你們好
[00:00:01.000 --> 00:00:02.000]  今天很開心
[00:00:02.000 --> 00:00:03.000]  也很感謝神
[00:00:03.000 --> 00:00:05.000]  給我機會來由大家當中
[00:00:05.000 --> 00:00:07.000]  分享神的說話
[00:00:07.000 --> 00:00:09.000]  在今年最後一年
[00:00:09.000 --> 00:00:12.000]  我們送走二三了
[00:00:12.000 --> 00:00:13.000]  其實
[00:00:13.000 --> 00:00:17.000]  下一年可能有些人要迎接二三的
[00:00:17.000 --> 00:00:19.000]  二三對我們來說
[00:00:19.000 --> 00:00:21.000]  也不是一些理想的事
[00:00:21.000 --> 00:00:23.000]  無論如何
[00:00:23.000 --> 00:00:26.000]  每一年的年尾的時候
[00:00:26.000 --> 00:00:28.000]  很多的電台
[00:00:28.000 --> 00:00:30.000]  電視節目
[00:00:30.000 --> 00:00:33.000]  都會去回顧那一年的事
[00:00:33.000 --> 00:00:35.000]  揀選十大新聞
[00:00:35.000 --> 00:00:37.000]  甚至會說
[00:00:37.000 --> 00:00:38.000]  下一年會更加好
[00:00:38.000 --> 00:00:39.000]  陳茂波也說
[00:00:39.000 --> 00:00:42.000]  下一年一定會比香港越來越好
[00:00:42.000 --> 00:00:46.000]  究竟回顧是對還是錯呢
[00:00:46.000 --> 00:00:47.000]  我自己在想
[00:00:47.000 --> 00:00:51.000]  聖經裡往往有些很矛盾的經文
[00:00:51.000 --> 00:00:55.000]  所以引致有些不信耶穌的人
[00:00:55.000 --> 00:00:56.000]  質疑聖經
[00:00:56.000 --> 00:00:59.000]  究竟你們所說的東西是很矛盾的
[00:00:59.000 --> 00:01:02.000]  究竟回顧是應該還是不應該呢
[00:01:02.000 --> 00:01:04.000]  不如我們先看一些矛盾的經文
[00:01:04.000 --> 00:01:07.000]  我們看看文數記第二十三章
[00:01:07.000 --> 00:01:08.000]  第二十九節
[00:01:08.000 --> 00:01:10.000]  我們一起來讀出好嗎
[00:01:24.000 --> 00:01:27.000]  耶和華就後悔做人在地上
[00:01:27.000 --> 00:01:29.000]  心中憂傷
[00:01:29.000 --> 00:01:30.000]  很明顯
[00:01:30.000 --> 00:01:32.000]  很多段經文說到
[00:01:32.000 --> 00:01:34.000]  神是去傳之的
[00:01:34.000 --> 00:01:36.000]  所以不會後悔
[00:01:36.000 --> 00:01:38.000]  但是也有經文說到
[00:01:38.000 --> 00:01:40.000]  神後悔做人在地上
[00:01:40.000 --> 00:01:42.000]  這不是很矛盾嗎
[00:01:42.000 --> 00:01:44.000]  另外一段的經文
[00:01:44.000 --> 00:01:46.000]  我們會來看看
[00:01:46.000 --> 00:01:55.000]  在《出禮及記》第三十四章第六到第七節
[00:01:55.000 --> 00:01:58.000]  好像無法運作
[00:01:58.000 --> 00:02:00.000]  好
[00:02:00.000 --> 00:02:02.000]  我們一起來讀出禮及記
[00:02:02.000 --> 00:02:05.000]  第三十四章第六到第七節
[00:02:16.000 --> 00:02:32.000]  (聖經中)
[00:02:32.000 --> 00:02:34.000]  這段經文說到神去自己的屬性
[00:02:34.000 --> 00:02:36.000]  祂樂於赦免人的罪
[00:02:36.000 --> 00:02:37.000]  寬恕
[00:02:37.000 --> 00:02:40.000]  但是一句話令我們很感受心
[00:02:40.000 --> 00:02:42.000]  是我們很渴求的
[00:02:42.000 --> 00:02:44.000]  他說耶和華是公義的神
[00:02:44.000 --> 00:02:46.000]  萬不以有罪的為無罪
[00:02:46.000 --> 00:02:48.000]  無罪的為有罪
[00:02:48.000 --> 00:02:50.000]  這句話很好
[00:02:50.000 --> 00:02:52.000]  但是下面一句就有問題了
[00:02:52.000 --> 00:02:54.000]  祂會追討祂的罪
[00:02:54.000 --> 00:02:56.000]  自父及子直到三四代
[00:02:56.000 --> 00:02:59.000]  我們很討厭這些連坐法
[00:02:59.000 --> 00:03:02.000]  一人犯罪全家受罰
[00:03:02.000 --> 00:03:04.000]  但是我們又看看
[00:03:04.000 --> 00:03:07.000]  聖經又有另外一段經文
[00:03:07.000 --> 00:03:08.000]  有不同的看法
[00:03:08.000 --> 00:03:10.000]  而西結書第十八章二十節
[00:03:10.000 --> 00:03:12.000]  我們一起來讀出
[00:03:12.000 --> 00:03:15.000]  唯有犯罪的他必死亡
[00:03:15.000 --> 00:03:18.000]  兒子必不擔當父親的罪孽
[00:03:18.000 --> 00:03:21.000]  父親也不擔當兒子的罪孽
[00:03:21.000 --> 00:03:24.000]  義人的善果必歸自己
[00:03:24.000 --> 00:03:27.000]  惡人的惡報也必歸自己
[00:03:27.000 --> 00:03:28.000]  我想這一段經文
