
[00:00:00.000 --> 00:00:03.100]  早晨 主佑你們平安
[00:00:03.100 --> 00:00:04.900]  我又來到多倫多了
[00:00:04.900 --> 00:00:08.800]  上次好像是七年前來過這裏
[00:00:08.800 --> 00:00:10.100]  牧師吩咐的
[00:00:10.100 --> 00:00:13.400]  叫我講一講我信主之後
[00:00:13.400 --> 00:00:15.000]  一直到現在爲止
[00:00:15.000 --> 00:00:16.600]  一個使命是什麼
[00:00:16.600 --> 00:00:19.400]  我真的不敢講太多
[00:00:19.400 --> 00:00:21.600]  因爲做得很不夠
[00:00:21.600 --> 00:00:24.100]  不過今天嘗試和大家分享
[00:00:24.100 --> 00:00:26.800]  在短短的人生裏面
[00:00:26.800 --> 00:00:28.400]  我經歷了些什麼
[00:00:28.400 --> 00:00:32.500]  有多少人是特意來看看香港小姐變成怎樣的
[00:00:32.500 --> 00:00:34.000]  不要緊 舉手吧
[00:00:34.000 --> 00:00:36.200]  我還在這裏
[00:00:36.200 --> 00:00:39.100]  我是1975年的香港小姐
[00:00:39.100 --> 00:00:42.400]  請隔離的手指 腳趾都借給你
[00:00:42.400 --> 00:00:43.900]  兩個人都不夠數
[00:00:43.900 --> 00:00:45.200]  感恩我還在這裏
[00:00:45.200 --> 00:00:46.000]  還有一樣東西就是
[00:00:46.000 --> 00:00:48.800]  我覺得神有時候讓我們去經歷一些東西
[00:00:48.800 --> 00:00:53.100]  總有祂美好的原因和福氣
[00:00:53.100 --> 00:00:55.500]  因爲我選了香港小姐之後
[00:00:55.500 --> 00:00:57.500]  慢慢慢慢的經歷看到
[00:00:57.500 --> 00:01:01.900]  原來神是真的讓每一個願意跟隨祂的人
[00:01:01.900 --> 00:01:06.400]  可以在人生裏面經歷祂真正的美好的福氣
[00:01:06.400 --> 00:01:08.100]  是無限的恩典
[00:01:08.100 --> 00:01:10.000]  那時候是這樣的 現在是這樣的
[00:01:10.000 --> 00:01:12.900]  很多朋友都喜歡近距離來看我
[00:01:12.900 --> 00:01:14.100]  沒問題的
[00:01:14.100 --> 00:01:16.800]  我這個人很省錢的 你知道嗎
[00:01:16.800 --> 00:01:19.100]  我又不捨得給錢他改用
[00:01:19.100 --> 00:01:20.700]  我又怕他改到不知怎樣
[00:01:20.700 --> 00:01:22.500]  我又怕痛
[00:01:22.500 --> 00:01:25.200]  所以我告訴你頭頭腳腳都是真的
[00:01:25.200 --> 00:01:30.300]  這個就是我選神做我們跟着祂的形象做的
[00:01:30.300 --> 00:01:32.100]  你一改就不是了 是不是
[00:01:32.100 --> 00:01:34.300]  還有這個電是神給我們的
[00:01:34.300 --> 00:01:36.100]  我們真的要好好保養它
[00:01:36.100 --> 00:01:38.000]  我經常都強調健康的
