
[00:00:00.000 --> 00:00:05.160]  1942年大戰盡得如火如荼
[00:00:05.160 --> 00:00:09.020]  英軍在埃及的北非一個地方
[00:00:09.020 --> 00:00:13.120]  首次大敗隆美爾的德軍
[00:00:13.120 --> 00:00:17.440]  這就是阿拉莫
[00:00:17.440 --> 00:00:21.700]  英軍以前未打贏過
[00:00:21.700 --> 00:00:24.500]  之後亦未輸過給德軍
[00:00:24.500 --> 00:00:26.420]  英軍就很開心
[00:00:26.420 --> 00:00:30.060]  大戰很快會結束
[00:00:30.060 --> 00:00:31.500]  很開心
[00:00:31.500 --> 00:00:35.420]  但邱吉爾在一次演講時說
[00:00:35.420 --> 00:00:38.420]  Now it's not the end
[00:00:38.420 --> 00:00:41.980]  It is not even the beginning of the end
[00:00:41.980 --> 00:00:46.700]  But it is perhaps the end of the beginning
[00:00:46.700 --> 00:00:48.380]  這不是結束
[00:00:48.380 --> 00:00:50.540]  這不是結束的開始
[00:00:50.540 --> 00:00:56.400]  也許剛剛開了個頭
[00:00:56.400 --> 00:01:00.900]  阿拉莫是The end of the beginning
[00:01:00.900 --> 00:01:05.620]  張臨奇是The beginning of the end
[00:01:05.620 --> 00:01:08.780]  是終末的開始
[00:01:08.780 --> 00:01:14.660]  聖經對終的觀念有兩個論述
[00:01:14.660 --> 00:01:19.100]  一個就是在亞當裏面創造論的終結
[00:01:19.100 --> 00:01:23.940]  一個就是在基督裏面的救贖論的終末
[00:01:23.940 --> 00:01:29.020]  創造論在傳道書第三章第一第二節
[00:01:29.020 --> 00:01:31.780]  凡事都有定期
[00:01:31.780 --> 00:01:34.380]  天下萬物都有定時
[00:01:34.380 --> 00:01:37.820]  生有時死有時
[00:01:37.820 --> 00:01:42.660]  災眾有時不出災眾也有時
[00:01:42.660 --> 00:01:44.100]  聖經的智慧文學
[00:01:44.100 --> 00:01:47.660]  好像傳道書、針研和很多的詩篇
[00:01:47.660 --> 00:01:52.420]  上上提醒我們人生是有終結的
[00:01:52.420 --> 00:01:55.940]  智慧文學是從創造世界
[00:01:55.940 --> 00:02:01.580]  以冷盡的眼光來看分層的世事
[00:02:01.580 --> 00:02:04.980]  是現實人生的清醒劑
[00:02:04.980 --> 00:02:09.540]  自然生物界有開始也有結束
[00:02:09.540 --> 00:02:13.100]  人有一生必有一死
[00:02:13.100 --> 00:02:15.500]  道府登高的詩是這樣說
[00:02:15.500 --> 00:02:26.140]  無邊落幕蕭蕭下,不斷長江滾滾落
[00:02:26.140 --> 00:02:29.540]  樹葉發芽,茁壯成長
[00:02:29.540 --> 00:02:35.260]  由翠綠轉淡黃,由淡黃轉淺闊
[00:02:35.260 --> 00:02:41.020]  枯葉驚風一吹,蕭蕭而下,化作黃土
[00:02:41.020 --> 00:02:45.980]  人年輕時銳氣凌厲,像上游的河
[00:02:45.980 --> 00:02:49.260]  河出高山,破峽而出
