
[00:00:00.000 --> 00:00:02.000]  各位電視節目 你們好
[00:00:02.000 --> 00:00:06.760]  今天我跟大家分享這篇經文的原因
[00:00:06.760 --> 00:00:12.360]  我就是看到大家教會的連題
[00:00:12.360 --> 00:00:14.960]  大家知不知道
[00:00:14.960 --> 00:00:17.720]  有沒有打出來 打在後面
[00:00:17.720 --> 00:00:21.060]  我發覺教會連題定了之後
[00:00:21.060 --> 00:00:23.560]  連定的人都不太記得
[00:00:23.560 --> 00:00:25.440]  我希望你們不是這樣
[00:00:25.440 --> 00:00:28.100]  心意更新 作好鑾石
[00:00:28.100 --> 00:00:33.560]  心意更新 我就想起這篇聖經跟大家分享
[00:00:33.560 --> 00:00:35.560]  向安提阿教會學習
[00:00:35.560 --> 00:00:40.080]  就是剛才我們看的司祥傳十一章十九到三十節
[00:00:40.080 --> 00:00:41.880]  如果你有手機或者方便的話
[00:00:41.880 --> 00:00:43.200]  你可以打開自己的聖經
[00:00:43.200 --> 00:00:44.920]  因為講道就是講聖經
[00:00:44.920 --> 00:00:47.600]  希望你看著聖經會更加明白一些
[00:00:47.600 --> 00:00:49.920]  後面的同工也幫我們打出來
[00:00:49.920 --> 00:00:52.300]  不過如果你有 或者在家中的電視節目
[00:00:52.300 --> 00:00:54.840]  如果方便的話 也請你打開聖經
[00:00:54.840 --> 00:00:59.820]  司祥傳十一章十九到三十節
[00:00:59.820 --> 00:01:01.320]  我相信不少弟兄姊妹
[00:01:01.320 --> 00:01:02.820]  你回到教會一段時間
[00:01:02.820 --> 00:01:07.120]  你一定不會對安提阿這三個字陌生
[00:01:07.120 --> 00:01:11.040]  而你再記得多一點
[00:01:11.040 --> 00:01:15.380]  安提阿教會在司祥傳十三章記載他
[00:01:15.380 --> 00:01:18.200]  成為普世差傳
[00:01:18.200 --> 00:01:20.960]  即是上帝從一個地方差遣人出去
[00:01:20.960 --> 00:01:23.780]  甚至是海外地方 跨文化地方
[00:01:23.780 --> 00:01:28.120]  差傳工作第一間的神簡宣教教會
[00:01:28.120 --> 00:01:29.660]  就是安提阿教會
[00:01:29.660 --> 00:01:34.280]  司祥傳十三章記載保羅、巴拿巴第一對宣教士
[00:01:34.280 --> 00:01:37.740]  代表安提阿教會被參拜出去
[00:01:37.740 --> 00:01:39.920]  這是很特別的地方
[00:01:39.920 --> 00:01:44.460]  因為教會最先起初的時間是在耶路撒冷
