
[00:00:00.000 --> 00:00:02.300]  願獨人口中的言語
[00:00:02.300 --> 00:00:04.800]  弟兄姊妹的心思意念
[00:00:04.800 --> 00:00:06.600]  蒙聖靈的啟迪
[00:00:06.600 --> 00:00:07.800]  蒙主的月亮
[00:00:07.800 --> 00:00:10.200]  禱告藉主耶穌基督的聖名而求
[00:00:10.200 --> 00:00:11.200]  阿門
[00:00:11.200 --> 00:00:18.200]  梁法堂的堂慶
[00:00:18.200 --> 00:00:22.800]  是定在每年的十二月第一個主日
[00:00:22.800 --> 00:00:27.400]  而這個主日多數都是章林期的開始
[00:00:27.400 --> 00:00:30.800]  章林期就是教會年曆
[00:00:30.800 --> 00:00:36.000]  就是教會一個年度裡面一個新的開始
[00:00:36.000 --> 00:00:39.800]  因為是預備迎接基督救主的誕降
[00:00:39.800 --> 00:00:44.400]  代表著世界要迎向這個光明的新希望
[00:00:44.400 --> 00:00:47.800]  很快就會因著基督的降臨而出現
[00:00:47.800 --> 00:00:49.600]  所以教會的年曆
[00:00:49.600 --> 00:00:53.800]  也都定在章林期做一個新的開始
[00:00:53.800 --> 00:00:56.000]  一共有四個主日
[00:00:56.000 --> 00:00:59.600]  接著就是聖誕節
[00:00:59.600 --> 00:01:02.000]  當我們慶祝堂慶的時候
[00:01:02.000 --> 00:01:04.200]  其實也是提醒我們
[00:01:04.200 --> 00:01:06.200]  教會的出現
[00:01:06.200 --> 00:01:08.000]  教會的使命
[00:01:08.000 --> 00:01:10.400]  就是要向世人宣告
[00:01:10.400 --> 00:01:14.800]  光明的新希望快要來臨
[00:01:14.800 --> 00:01:18.800]  就好像我們聽到有些夫婦
[00:01:18.800 --> 00:01:22.600]  他們很快就會做爸爸媽媽
[00:01:22.600 --> 00:01:25.000]  大家都會來祝賀
[00:01:25.000 --> 00:01:28.200]  大家一起感受到那種興奮
[00:01:28.200 --> 00:01:30.000]  那種雀躍
[00:01:30.000 --> 00:01:33.200]  因為這個是代表著這一對夫婦
[00:01:33.200 --> 00:01:36.000]  對於未來有一種盼望
[00:01:36.000 --> 00:01:37.400]  有憧憬
[00:01:37.400 --> 00:01:41.400]  所以可以很安心地來孕育他們的下一代
[00:01:41.400 --> 00:01:42.600]  相反
[00:01:42.600 --> 00:01:45.400]  如果他們覺得前景很暗淡
[00:01:45.400 --> 00:01:46.800]  沒什麼信心
[00:01:46.800 --> 00:01:51.400]  他們對於生兒育女都會有猶疑
[00:01:51.400 --> 00:01:55.400]  政府的統計處在2018年的12月
[00:01:55.400 --> 00:01:56.400]  就是去年
[00:01:56.400 --> 00:02:00.000]  在它的香港統計月刊裡面
[00:02:00.000 --> 00:02:02.000]  有一份專題的文章
[00:02:02.000 --> 00:02:06.600]  去探討1981年到2017年
[00:02:06.600 --> 00:02:09.400]  香港的生育趨勢
[00:02:09.400 --> 00:02:12.800]  從這些統計數字可以看到
[00:02:12.800 --> 00:02:15.200]  在過去36年裡面
[00:02:15.200 --> 00:02:16.800]  香港的生育率
[00:02:16.800 --> 00:02:20.000]  大概出現一種下跌的趨勢
[00:02:20.000 --> 00:02:24.000]  即是越來越少嬰兒出生
[00:02:24.000 --> 00:02:25.800]  我相信就算不用統計
[00:02:25.800 --> 00:02:27.800]  大家自己都會感受到
[00:02:27.800 --> 00:02:30.200]  現在有小朋友
[00:02:30.200 --> 00:02:33.600]  和以前有小朋友的情況是很不同的
[00:02:33.600 --> 00:02:38.200]  現在寧願有些年輕夫婦養幾隻貓幾隻狗
[00:02:38.200 --> 00:02:41.600]  都未必想來生小朋友的
[00:02:41.600 --> 00:02:44.400]  所以當我們在教會裡面看到這麼多小朋友
[00:02:44.400 --> 00:02:46.800]  我們都會覺得很興奮
[00:02:46.800 --> 00:02:52.600]  這個香港的生育率下跌的情況
[00:02:52.600 --> 00:02:55.200]  最明顯在什麼時候出現呢?
[00:02:55.200 --> 00:02:58.000]  就是由1997年開始
[00:02:58.000 --> 00:03:03.200]  當年有59,250名嬰兒出生
[00:03:03.200 --> 00:03:06.200]  但是到了1998年是一年之間
[00:03:06.200 --> 00:03:08.600]  這一年之間相差了多少呢?
[00:03:08.600 --> 00:03:13.400]  1998年有52,977名
[00:03:13.400 --> 00:03:16.800]  即是說差了差不多6,000
[00:03:16.800 --> 00:03:23.000]  接近7,000嬰兒出生率的下降
[00:03:23.000 --> 00:03:26.200]  然後再繼續走下去
[00:03:26.200 --> 00:03:28.000]  最低點是去到哪裡呢?
[00:03:28.000 --> 00:03:30.200]  就是2003年
[00:03:30.200 --> 00:03:31.600]  大家都會記得
[00:03:31.600 --> 00:03:34.000]  SARS那一年
[00:03:34.000 --> 00:03:38.400]  那一年裡面有46,965名嬰兒出生
[00:03:38.400 --> 00:03:43.400]  這是三十多年裡面最低的位置
[00:03:43.400 --> 00:03:44.600]  只有4萬多
[00:03:44.600 --> 00:03:46.400]  即是最多59,000多
[00:03:46.400 --> 00:03:49.600]  一直下降到46,000多
[00:03:49.600 --> 00:03:51.200]  少了很多
[00:03:51.200 --> 00:03:52.600]  後來呢
[00:03:52.600 --> 00:03:54.400]  到了2012年
[00:03:54.400 --> 00:03:56.400]  上升得很厲害
[00:03:56.400 --> 00:03:59.400]  有88,584名
[00:03:59.400 --> 00:04:01.000]  為什麼會有這麼多呢?
[00:04:01.000 --> 00:04:02.400]  就是因為在那段時間
[00:04:02.400 --> 00:04:04.000]  可能大家都會經常聽到
[00:04:04.000 --> 00:04:06.400]  所謂一些雙非的兒童
[00:04:06.400 --> 00:04:09.000]  父母和他們自己
[00:04:09.000 --> 00:04:13.200]  本來都未必會在香港出生或成長
[00:04:13.200 --> 00:04:15.800]  但是有些父母
[00:04:15.800 --> 00:04:19.800]  他們從國內來到香港生小朋友
[00:04:19.800 --> 00:04:23.400]  所以數字急速上升
[00:04:23.400 --> 00:04:27.400]  這些年份的數字其實是說了些什麼呢?
[00:04:27.400 --> 00:04:30.800]  就是在97到98年之間
[00:04:30.800 --> 00:04:33.000]  有亞洲的金融風暴
[00:04:33.000 --> 00:04:35.600]  2003年有SARS的爆發
[00:04:35.600 --> 00:04:39.200]  所以整個出生率都下降
[00:04:39.200 --> 00:04:41.200]  因為大家對於前景
[00:04:41.200 --> 00:04:43.000]  感覺到不明朗
[00:04:43.000 --> 00:04:44.200]  很悲觀
[00:04:44.200 --> 00:04:47.200]  所以連出生率都下降了
[00:04:47.200 --> 00:04:50.000]  當到了2012年的時候
[00:04:50.000 --> 00:04:52.400]  因著一種特殊的政策的出現
[00:04:52.400 --> 00:04:56.200]  所以又令到出生率提高
[00:04:56.200 --> 00:04:58.200]  這些升升跌跌
[00:04:58.200 --> 00:05:00.200]  反映著一種樂觀
[00:05:00.200 --> 00:05:02.200]  或者悲觀的情緒
[00:05:02.200 --> 00:05:03.400]  同樣
[00:05:03.400 --> 00:05:06.000]  當我們迎接救主的誕降
[00:05:06.000 --> 00:05:09.200]  就是我們要對未來有一種期許
[00:05:09.200 --> 00:05:11.200]  有一個盼望
[00:05:11.200 --> 00:05:12.600]  新的日子
[00:05:12.600 --> 00:05:14.800]  轉變是會有出現
[00:05:14.800 --> 00:05:17.200]  在這個主日當中
[00:05:17.200 --> 00:05:19.200]  有三段經文
[00:05:19.200 --> 00:05:21.200]  讓我們一起來思想
[00:05:21.200 --> 00:05:24.000]  包括有《以賽亞書》的第二章
[00:05:24.000 --> 00:05:26.000]  《羅馬書》的十三章
[00:05:26.000 --> 00:05:29.000]  和《馬太福音》的二十四章
[00:05:29.000 --> 00:05:30.800]  這三段經文
[00:05:30.800 --> 00:05:33.600]  都提醒在末後的日子
[00:05:33.600 --> 00:05:35.400]  信徒要警醒
[00:05:35.400 --> 00:05:39.000]  要去等候上帝的日子到臨
[00:05:39.000 --> 00:05:40.800]  而今天我們會集中去看
[00:05:40.800 --> 00:05:42.400]  《羅馬書》十三章
[00:05:42.400 --> 00:05:46.400]  十一至十四節這一段的訊息
[00:05:46.400 --> 00:05:48.800]  這段經文有一個特色
[00:05:48.800 --> 00:05:50.200]  特色是什麼呢?
[00:05:50.200 --> 00:05:52.800]  特色就是有一些一對一對
[00:05:52.800 --> 00:05:55.200]  相反的字眼
[00:05:55.200 --> 00:05:59.400]  去突出整段經文的教導焦點
[00:05:59.400 --> 00:06:00.800]  我們可以看一下
[00:06:00.800 --> 00:06:03.000]  在第十一節到第十四節
[00:06:03.000 --> 00:06:06.200]  有什麼相反的字眼出現呢?
[00:06:06.200 --> 00:06:09.200]  一開始我們會看到在第十一節
[00:06:09.200 --> 00:06:14.000]  就是睡夢和醒來
[00:06:14.000 --> 00:06:16.200]  就是在睡覺、在做夢
[00:06:16.200 --> 00:06:19.600]  或是醒了、起床、不再做夢了
[00:06:19.600 --> 00:06:21.400]  這是第一對
[00:06:21.400 --> 00:06:25.800]  然後繼續下去我們看到第十二節
[00:06:25.800 --> 00:06:29.000]  黑夜和白晝
[00:06:29.000 --> 00:06:30.600]  黑夜已深
[00:06:30.600 --> 00:06:32.200]  白晝將近
[00:06:32.200 --> 00:06:34.400]  就是非常非常黑
[00:06:34.400 --> 00:06:36.200]  黑到看不到光
[00:06:36.200 --> 00:06:37.600]  伸手不見五指
[00:06:37.600 --> 00:06:39.600]  但亦都是
[00:06:39.600 --> 00:06:42.800]  黎明來到之前的黑夜就是這樣
[00:06:42.800 --> 00:06:44.800]  然後黎明出現
[00:06:44.800 --> 00:06:46.400]  白晝出現
[00:06:46.400 --> 00:06:48.400]  這是第二對
[00:06:48.400 --> 00:06:50.400]  第三對在哪裡呢?
[00:06:50.400 --> 00:06:52.000]  就在第十三節
[00:06:52.000 --> 00:06:54.400]  第十三節是說什麼呢?
[00:06:54.400 --> 00:06:55.800]  就是我們要看到
[00:06:55.800 --> 00:06:58.000]  每一個暗會當中
[00:06:58.000 --> 00:07:01.000]  我們要在這個光明當中
[00:07:01.000 --> 00:07:04.000]  我們不應該做一些不好的事情
[00:07:04.000 --> 00:07:08.000]  我們要帶上這個光明的兵器
[00:07:08.000 --> 00:07:11.000]  除了有這些字眼之外
[00:07:11.000 --> 00:07:12.600]  在這段經文裏面
[00:07:12.600 --> 00:07:15.800]  其實亦都隱含了一些早期教會
[00:07:15.800 --> 00:07:18.000]  在洗禮儀式上的庸語
[00:07:18.000 --> 00:07:22.000]  一會兒會和大家交代
[00:07:22.000 --> 00:07:26.000]  我們看羅馬書第十三章這段經文
[00:07:26.000 --> 00:07:29.600]  其實是緊接著第十二章所說的
[00:07:29.600 --> 00:07:31.200]  第十二章是說什麼呢?
