
[00:00:00.000 --> 00:00:05.040]  8月21日大埔堂舉行會友大會選舉執事
[00:00:05.040 --> 00:00:08.360]  以我所知葵涌堂 上水堂 九龍灣堂
[00:00:08.360 --> 00:00:11.120]  都在那天選舉堂委
[00:00:11.120 --> 00:00:15.200]  統一以來當選執事的時候
[00:00:15.200 --> 00:00:18.800]  就會參考《市民傳》第六章一至七節
[00:00:18.800 --> 00:00:21.920]  因為這段經文似乎是告訴我們
[00:00:21.920 --> 00:00:25.480]  傳道人要專心以祈禱傳道為事
[00:00:25.480 --> 00:00:26.720]  其餘的工作
[00:00:26.720 --> 00:00:31.000]  管理飯食的工作 行政的工作交給弟兄姊妹做
[00:00:31.000 --> 00:00:34.640]  他們就選立七個人被稱為執事
[00:00:34.640 --> 00:00:38.480]  但如果我們細心再看這段經文的時候
[00:00:38.480 --> 00:00:40.560]  尤其是繼續看下去
[00:00:40.560 --> 00:00:44.040]  看六章八節 看到第八章尾的時候
[00:00:44.040 --> 00:00:46.440]  你會發現其實執事的工作
[00:00:46.440 --> 00:00:48.840]  不只是管理飯食
[00:00:48.840 --> 00:00:53.400]  或者我們叫做不只是做行政的工作
[00:00:53.400 --> 00:00:57.200]  而是他們都肩負起福音的使命
[00:00:57.200 --> 00:01:02.160]  四處去見證耶穌傳揚主的道
[00:01:02.160 --> 00:01:05.280]  我們回看剛才讀的那段經文
[00:01:05.280 --> 00:01:07.480]  第一節告訴我們
[00:01:07.480 --> 00:01:09.440]  初期的教會面對一個問題
[00:01:09.440 --> 00:01:11.120]  就是有講希利尼語
[00:01:11.120 --> 00:01:13.200]  即希伯來語的猶太人
[00:01:13.200 --> 00:01:16.120]  他們的寡婦發出一些怨言
[00:01:16.120 --> 00:01:18.120]  因為他們被忽略
[00:01:18.120 --> 00:01:20.080]  第一節 那時門徒增多
[00:01:20.080 --> 00:01:22.080]  有說希利尼語的猶太人
[00:01:22.080 --> 00:01:24.040]  向希伯來人發怨言
[00:01:24.040 --> 00:01:26.880]  因為在天天的功級上
[00:01:26.880 --> 00:01:30.160]  忽略了他們的寡婦
[00:01:30.160 --> 00:01:33.280]  原來那時是何時呢?
[00:01:33.280 --> 00:01:35.520]  就是耶穌離世升天之後
[00:01:35.520 --> 00:01:37.920]  你看《使徒人傳》第一至第五章
[00:01:37.920 --> 00:01:39.040]  發生了什麼事呢?
[00:01:39.040 --> 00:01:42.720]  祂離世升天就吩咐門徒要等候聖靈降臨
[00:01:42.720 --> 00:01:45.920]  結果聖靈就降臨 充滿門徒了
[00:01:45.920 --> 00:01:48.320]  充滿門徒不只是講別國的話
[00:01:48.320 --> 00:01:52.000]  他們有信心站起來講見證
[00:01:52.000 --> 00:01:54.000]  彼得為耶穌作見證
[00:01:54.000 --> 00:01:55.680]  帶領了三千人信主
[00:01:55.680 --> 00:01:57.120]  繼續作見證
[00:01:57.120 --> 00:01:59.840]  帶領了南丁第二次的講道
[00:01:59.840 --> 00:02:01.200]  五千人信主
[00:02:01.200 --> 00:02:03.840]  連埋婦孺可能是超過一萬
[00:02:03.840 --> 00:02:06.400]  信徒聚集神的道
[00:02:06.400 --> 00:02:08.160]  繼續興旺
[00:02:08.160 --> 00:02:10.240]  教會運作的方式是怎樣呢?
[00:02:10.240 --> 00:02:11.760]  信徒上上來
