
[00:00:00.000 --> 00:00:03.400]  今天我們來思想《羅馬書》第十四章
[00:00:03.400 --> 00:00:06.400]  《羅馬書》第十四章基本上
[00:00:06.400 --> 00:00:12.680]  籠統來說它是說一些關於食物的問題
[00:00:12.680 --> 00:00:16.440]  但其實這個問題本身也是
[00:00:16.440 --> 00:00:21.240]  擴展開去其實是關於教會合一的問題
[00:00:21.240 --> 00:00:23.080]  這個關於食物的問題
[00:00:23.080 --> 00:00:26.360]  《羅馬書》第十四章其實也是很有意思的
[00:00:26.360 --> 00:00:31.200]  因為這個問題本身不只是羅馬教會獨有
[00:00:31.200 --> 00:00:34.800]  早期的教會其實在不同的地方
[00:00:34.800 --> 00:00:37.360]  都有面對著這樣的挑戰
[00:00:37.360 --> 00:00:41.040]  這個挑戰就是關於吃不吃肉的問題
[00:00:41.040 --> 00:00:46.280]  之前說哥林多前書的時候
[00:00:46.280 --> 00:00:49.040]  基本上已經用了三次來講
[00:00:49.040 --> 00:00:51.640]  因為哥林多前書用了三章的聖經
[00:00:51.640 --> 00:00:53.800]  第八章、第九章、第十章
[00:00:53.800 --> 00:00:56.720]  保羅很詳細的去講關於
[00:00:56.720 --> 00:00:59.200]  因為吃肉的問題
[00:00:59.200 --> 00:01:02.360]  帶給哥林多教會很多的爭拗
[00:01:02.360 --> 00:01:04.160]  很多的困難和混亂
[00:01:04.160 --> 00:01:07.640]  而保羅就用了三章的聖經來講
[00:01:07.640 --> 00:01:10.200]  到了《羅馬書》的時候
[00:01:10.200 --> 00:01:12.640]  基本上都有同樣的問題
[00:01:12.640 --> 00:01:15.680]  不過可能羅馬教會所面對的沒有哥林多這麼厲害
[00:01:15.680 --> 00:01:19.240]  但是保羅就比較講一個籠統的原則
[00:01:19.240 --> 00:01:21.040]  而在當中其實我相信
[00:01:21.040 --> 00:01:23.200]  對於今天的我們來說
[00:01:23.200 --> 00:01:27.520]  都是有非常重要的指導作用的
[00:01:27.520 --> 00:01:30.640]  因為我們今天當然未必有吃肉的問題
[00:01:30.640 --> 00:01:33.080]  但是其實當中背後是在講
[00:01:33.080 --> 00:01:37.520]  教會面對著不同的人有不同的意見
[00:01:37.520 --> 00:01:39.160]  怎麼可以合一呢?
[00:01:39.160 --> 00:01:42.400]  教會面對著不同的人有不同的意見的時候
[00:01:42.400 --> 00:01:45.120]  我們怎麼可以彼此接納
[00:01:45.120 --> 00:01:49.120]  但是也要各人去尊重對方的不同呢?
[00:01:49.120 --> 00:01:52.120]  這個我相信特別是今時今日的社會
[00:01:52.120 --> 00:01:55.440]  這樣的一個挑戰就更加嚴重了
[00:01:55.440 --> 00:01:56.400]  因為似乎
[00:01:56.400 --> 00:02:01.240]  各人大家的想法
[00:02:01.240 --> 00:02:03.280]  可以南轅北轍的
[00:02:03.280 --> 00:02:06.200]  即使是活在同一個時空當中
[00:02:06.200 --> 00:02:09.040]  而各人大家的意見不同的時候
[00:02:09.040 --> 00:02:11.280]  怎麼來尊重別人
[00:02:11.280 --> 00:02:13.080]  也是怎麼去接納不同呢?
[00:02:13.080 --> 00:02:17.400]  今天這段聖經我們就可以去看看了
[00:02:17.400 --> 00:02:19.520]  一開始的時候
[00:02:19.520 --> 00:02:24.440]  保羅就引申他們要討論的問題
[00:02:24.440 --> 00:02:27.320]  其實都是關於食物的問題
[00:02:27.320 --> 00:02:28.280]  是非常有關的
[00:02:28.280 --> 00:02:29.960]  他說:有人信百物都可吃
[00:02:29.960 --> 00:02:32.520]  但那軟弱的人只吃蔬菜
[00:02:32.520 --> 00:02:36.320]  這個就是在當時羅馬的社會
[00:02:36.320 --> 00:02:38.760]  就有這樣的挑戰
[00:02:38.760 --> 00:02:40.720]  或者有這樣的掙扎
[00:02:40.720 --> 00:02:41.480]  基督徒
[00:02:41.480 --> 00:02:45.280]  就是他們當時的肉
[00:02:45.280 --> 00:02:47.960]  也一樣
[00:02:47.960 --> 00:02:51.320]  他們有吃牛肉、豬肉、羊肉
