
[00:00:00.000 --> 00:00:02.000]  一起來低頭祈禱
[00:00:02.000 --> 00:00:05.360]  親愛的天父,我們感謝祢的恩典
[00:00:05.360 --> 00:00:07.160]  賜給我們有生命的氣息
[00:00:07.160 --> 00:00:09.960]  今天可以繼續來到這裡敬拜祢
[00:00:09.960 --> 00:00:11.960]  來聽祢的說話
[00:00:11.960 --> 00:00:16.160]  我們求聖靈在我們中間幫助我們明白祢的說話
[00:00:16.160 --> 00:00:18.160]  來認識祢更多
[00:00:18.160 --> 00:00:21.160]  奉耶穌基督的名祈禱,阿門
[00:00:21.160 --> 00:00:26.760]  在我們的信仰歷程當中
[00:00:26.760 --> 00:00:28.760]  時時會有很多問題
[00:00:28.760 --> 00:00:31.760]  使我們灰心和困擾
[00:00:31.760 --> 00:00:34.760]  但是我們要記得
[00:00:34.760 --> 00:00:38.760]  聖經從來沒有答應過
[00:00:38.760 --> 00:00:40.760]  一個人只要成為基督徒
[00:00:40.760 --> 00:00:42.760]  就會一帆風順
[00:00:42.760 --> 00:00:44.760]  平安大吉
[00:00:44.760 --> 00:00:48.760]  沒有任何困難或者令人傷痛的事發生
[00:00:48.760 --> 00:00:54.760]  相反,聖經時時提醒我們
[00:00:54.760 --> 00:00:57.760]  在屬靈的世界中
[00:00:57.760 --> 00:01:01.760]  我們有一個看不見的大仇敵
[00:01:01.760 --> 00:01:03.760]  他最大的目標
[00:01:03.760 --> 00:01:05.760]  就是使我們灰心
[00:01:05.760 --> 00:01:07.760]  如果有可能的話
[00:01:07.760 --> 00:01:10.760]  甚至使我們否認上帝
[00:01:10.760 --> 00:01:12.760]  放棄信仰
[00:01:12.760 --> 00:01:15.760]  另一方面
[00:01:15.760 --> 00:01:19.760]  聖經也給我們清楚的教訓和例子
[00:01:19.760 --> 00:01:24.760]  教導我們如何面對人生的苦難
[00:01:26.760 --> 00:01:30.760]  如何面對疑惑的困擾
[00:01:30.760 --> 00:01:35.760]  而得到上帝所應許的平安和喜樂
[00:01:35.760 --> 00:01:38.760]  很多人在信仰上
[00:01:38.760 --> 00:01:40.760]  一個主要的困擾
[00:01:40.760 --> 00:01:45.760]  就是上次我們研究哈巴谷書第一章的時候
[00:01:45.760 --> 00:01:54.760]  在未得到答案的問題
[00:01:54.760 --> 00:01:58.760]  如果上帝真是聖潔公義
[00:01:58.760 --> 00:02:02.760]  為何惡人或不信上帝的人
[00:02:02.760 --> 00:02:05.760]  得勢享福
[00:02:05.760 --> 00:02:09.760]  而信主的人卻要受欺壓受苦呢?
[00:02:09.760 --> 00:02:12.760]  在未解答這個問題之前
[00:02:12.760 --> 00:02:14.760]  我想說這個問題
[00:02:14.760 --> 00:02:18.760]  不是我們現代人才有的問題
[00:02:18.760 --> 00:02:22.760]  在我們過去曾經研讀過約伯記
[00:02:22.760 --> 00:02:25.760]  探討過這個問題
[00:02:25.760 --> 00:02:27.760]  其實這個問題
[00:02:27.760 --> 00:02:31.760]  和人類的歷史一樣古老
[00:02:31.760 --> 00:02:34.760]  因為從人類的始祖亞當和夏娃
[00:02:34.760 --> 00:02:37.760]  犯罪之後開始產生這個問題
[00:02:37.760 --> 00:02:39.760]  有人曾經問過我
[00:02:39.760 --> 00:02:42.760]  如果上帝是聖潔公義的
[00:02:42.760 --> 00:02:44.760]  為何亞當夏娃犯罪
[00:02:44.760 --> 00:02:47.760]  就要連累我們全人類呢?
[00:02:47.760 --> 00:02:51.760]  而我們今天和大家一起思想的是
[00:02:51.760 --> 00:02:54.760]  為何這個老問題
[00:02:54.760 --> 00:02:56.760]  在幾千年來
[00:02:56.760 --> 00:03:02.760]  一直使很多人困擾呢?
[00:03:02.760 --> 00:03:05.760]  是不是聖經沒有給我們
[00:03:05.760 --> 00:03:08.760]  肯定清楚的答案呢?
[00:03:08.760 --> 00:03:10.760]  我想最主要的原因
[00:03:10.760 --> 00:03:13.760]  就是其實上帝給了我們答案
