
[00:00:00.000 --> 00:00:02.120]  好,大師姐妹,大家早晨
[00:00:02.120 --> 00:00:04.280]  讓我們在聆聽主導的意思
[00:00:04.280 --> 00:00:06.920]  我們一起再次同心低頭禱告
[00:00:06.920 --> 00:00:10.520]  仰望主耶穌
[00:00:10.520 --> 00:00:11.520]  蔡父神,多謝祢
[00:00:11.520 --> 00:00:14.840]  讓我們在這個世界裡面
[00:00:14.840 --> 00:00:18.200]  仍然享受到上主祢的創造
[00:00:18.200 --> 00:00:22.120]  雖然我們看見每一天的天氣
[00:00:22.120 --> 00:00:23.880]  陰晴月缺
[00:00:23.880 --> 00:00:27.160]  可能帶來很多給我們一些挑戰
[00:00:27.160 --> 00:00:29.200]  但是相反,這些挑戰
[00:00:29.200 --> 00:00:32.320]  從屬神的指紋的角度來看
[00:00:32.320 --> 00:00:35.480]  更加是讓我們去依靠上主
[00:00:35.480 --> 00:00:40.200]  與神同行的一些更緊密的關係
[00:00:40.200 --> 00:00:41.800]  求祢的帶領幫助
[00:00:41.800 --> 00:00:44.920]  讓我們今天再次打開祢的說話
[00:00:44.920 --> 00:00:46.600]  去透過丹尼里
[00:00:46.600 --> 00:00:48.840]  以及祂的三個朋友
[00:00:48.840 --> 00:00:51.360]  一起的侍奉見證
[00:00:51.360 --> 00:00:55.160]  讓我們看到一個真正屬靈人的生命樣式
[00:00:55.160 --> 00:00:57.880]  也讓我們能夠在見過之後
[00:00:57.880 --> 00:01:00.600]  要重新反思
[00:01:00.600 --> 00:01:03.200]  我們今天的屬靈情況是如何
[00:01:03.200 --> 00:01:06.280]  也應該怎樣去更精準調校
[00:01:06.280 --> 00:01:09.080]  我們屬靈的態度
[00:01:09.080 --> 00:01:12.200]  在上主祢裡面應當如何餘活
[00:01:12.200 --> 00:01:13.720]  求祢的帶領幫助
[00:01:13.720 --> 00:01:16.160]  讓謙卑受戒的心
[00:01:16.160 --> 00:01:19.760]  都能夠在我們每一個屬靈的指紋裡面
[00:01:19.760 --> 00:01:22.560]  準確地去領受祢的教訓之後
[00:01:22.560 --> 00:01:25.080]  生命得到更新變化
[00:01:25.080 --> 00:01:26.400]  我們同心的禱告
[00:01:26.400 --> 00:01:28.560]  奉靠主耶蘇基督
[00:01:28.560 --> 00:01:30.240]  得聖的名字而求
[00:01:30.240 --> 00:01:31.200]  阿們
[00:01:56.440 --> 00:01:59.680]  至於教會的網站上面的版本
[00:01:59.680 --> 00:02:02.680]  已經是修正了這方面的資料
