
[00:00:00.000 --> 00:00:03.000]  在古代有一個詩人和一個修士
[00:00:03.000 --> 00:00:05.000]  他們是好朋友
[00:00:05.000 --> 00:00:08.000]  亦是常常的鬥智
[00:00:08.000 --> 00:00:12.000]  有一次,這個詩人隨口問身邊的修士一句話
[00:00:12.000 --> 00:00:15.000]  「你看到我像甚麼?」
[00:00:15.000 --> 00:00:19.000]  這個修士很有禮貌地微微笑地對這個詩人說
[00:00:19.000 --> 00:00:24.000]  「先生,你看起來真像一個古代的聖人」
[00:00:24.000 --> 00:00:26.000]  這個詩人聽到就很開心
[00:00:26.000 --> 00:00:28.000]  「哇,古代的聖人?」
[00:00:28.000 --> 00:00:35.000]  所以這個詩人就很開心
[00:00:35.000 --> 00:00:38.000]  這個修士就反問這個詩人
[00:00:38.000 --> 00:00:41.000]  「先生,你又看我像甚麼?」
[00:00:41.000 --> 00:00:43.000]  這個詩人心想
[00:00:43.000 --> 00:00:46.000]  「我常常和你鬥智都輸給你」
[00:00:46.000 --> 00:00:49.000]  「不如這次讓我贏一局厲害的」
[00:00:49.000 --> 00:00:51.000]  心裏就說
[00:00:51.000 --> 00:00:55.000]  「好啊,我看你在我眼中就像一坨大便」
[00:00:55.000 --> 00:00:57.000]  然後很開心地揚長而去
[00:00:57.000 --> 00:01:03.000]  回到家裏就很有趣地將這個戰果和這個妹妹分享
[00:01:03.000 --> 00:01:06.000]  這個詩人的妹妹搖頭嘆息
[00:01:06.000 --> 00:01:10.000]  「哥哥,這次你輸了,並且輸得很慘」
[00:01:10.000 --> 00:01:11.000]  這個詩人說
[00:01:11.000 --> 00:01:16.000]  「為甚麼呢?我一來一回說他是大便,為甚麼我會輸呢?」
[00:01:16.000 --> 00:01:18.000]  這個妹妹就說
[00:01:18.000 --> 00:01:23.000]  「一個人心裏傳了甚麼,看到的就像甚麼」
[00:01:23.000 --> 00:01:26.000]  這個修士心裏是聖潔的
[00:01:26.000 --> 00:01:30.000]  他看見你,就看見一個聖人的一樣
[00:01:30.000 --> 00:01:34.000]  「但是哥哥,你心裏所傳的,看到的就是甚麼的時候」
[00:01:34.000 --> 00:01:38.000]  「你看見這個修士就像一坨大便那樣」
[00:01:38.000 --> 00:01:40.000]  「豈不是告訴人家」
[00:01:40.000 --> 00:01:43.000]  「哥哥,你心裏所傳的,都是一坨的甚麼」
[00:01:43.000 --> 00:01:45.000]  「大便嗎?」
[00:01:45.000 --> 00:01:48.000]  「丙姐妹,我們看看左邊」
[00:01:48.000 --> 00:01:51.000]  「我們看看右邊」
[00:01:51.000 --> 00:01:54.000]  「你看看台上這個人」
[00:01:54.000 --> 00:01:57.000]  「是甚麼來的?像甚麼?」
[00:01:57.000 --> 00:02:02.000]  「聖人」
[00:02:02.000 --> 00:02:03.000]  是的
[00:02:03.000 --> 00:02:09.000]  其實,確實在我們內心世界充滿了甚麼的時候
[00:02:09.000 --> 00:02:10.000]  主耶穌也這麼說
[00:02:10.000 --> 00:02:13.000]  心裏所充滿的,口就說出來
[00:02:13.000 --> 00:02:16.000]  或者我們看到,就看到甚麼
[00:02:16.000 --> 00:02:18.000]  確實我們心靜
[00:02:18.000 --> 00:02:23.000]  我們就會發現原來原先我們認定這個人是壞人的時候
[00:02:23.000 --> 00:02:25.000]  又好像沒有那麼壞
[00:02:25.000 --> 00:02:27.000]  我們看到烏煙瘴氣的日子
[00:02:27.000 --> 00:02:32.000]  看一看,其實在裏面還有很多值得感恩的事情
[00:02:32.000 --> 00:02:34.000]  在過去一段日子裏面
[00:02:34.000 --> 00:02:36.000]  自己裏面有很多的挫折感
[00:02:36.000 --> 00:02:39.000]  有很多因為無力改變而來的失望
[00:02:39.000 --> 00:02:43.000]  有一股怒氣,常常找機會要爆發出來
[00:02:43.000 --> 00:02:45.000]  我太太常常這樣警告我
[00:02:45.000 --> 00:02:47.000]  如果不去處理
